term,fdr,Odds Ratio,Combined Score,Genes,description
QUIZARTINIB,0.4476899,3.889719,11.06692,PDGFRB;CSF1R;PDGFRA;KIT;IDH2,QUIZARTINIB
BRIVANIB,0.4476899,3.889719,11.06692,FLT4;FGFR4;FGFR3;FGFR2;FGFR1,BRIVANIB
AGS 16C3F,0.4476899,3.889719,11.06692,TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,AGS 16C3F
ATORVASTATIN,0.4476899,2.335497,6.581145,POR;ITGAM;LIPC;LEPR;TFPI;APOA5;HLA-DRB1;TGM2;HSPD1,ATORVASTATIN
LOVASTATIN,0.4476899,2.335497,6.581145,CETP;NT5E;IDH1;LPL;TFPI;THBS1;LIPA;LDLR;APOA5,LOVASTATIN
MLN 8054,0.4476899,2.335497,6.581145,LYN;PAK1;SRC;FLT4;TYRO3;BTK;FGFR3;PTK2;FGFR1,MLN 8054
XL228,0.4476899,4.666335,12.36564,SRC;FGFR3;FGFR2;FGFR1,XL228
THEOPHYLLINE,0.4476899,4.666335,12.36564,PRKAR2B;PDE3A;PDE5A;MPO,THEOPHYLLINE
CRENOLANIB,0.4476899,4.666335,12.36564,PDGFRB;PDGFRA;IDH1;IDH2,CRENOLANIB
AMOXICILLIN,0.4476899,4.666335,12.36564,HLA-B;HLA-DPB1;HLA-C;HLA-DRB1,AMOXICILLIN
SARACATINIB,0.4476899,4.666335,12.36564,EML4;SRC;IDH1;DDR2,SARACATINIB
HYDROCHLOROTHIAZIDE,0.4476899,2.33483,6.061736,VASP;USP5;SERPINE1;PDE3A;CSK;AGT;NUCB2;PTGS1,HYDROCHLOROTHIAZIDE
LAMIVUDINE,0.4476899,2.800798,7.129055,ABCC4;MMP1;HLA-B;PGK1;CMPK1;NME1,LAMIVUDINE
VATALANIB,0.4476899,2.800798,7.129055,PDGFRB;PDGFRA;CSF1R;PTPRB;FLT4;KIT,VATALANIB
BEVACIZUMAB,0.4476899,1.8688,4.720343,PDGFRB;CCT3;EML4;HSP90AB1;MMP2;IDH1;KIT;VEGFC;ANXA11;CSPG4;THBS2;MMP9,BEVACIZUMAB
LINIFANIB,0.4476899,1.618278,4.062406,PDGFRB;CAMK2B;LYN;PDGFRA;CSF1R;NTRK2;ROCK1;SRC;ROCK2;FLT4;MAPK14;PTK2;SLK;AXL;TAOK1;KIT;FGFR3;PRKG1,LINIFANIB
PAMIDRONATE,0.4476899,6.997511,17.34096,COL1A1;MMP2;SPP1,PAMIDRONATE
X 82,0.4476899,6.997511,17.34096,PDGFRB;PDGFRA;FLT4,X 82
ORLISTAT,0.4476899,6.997511,17.34096,FASN;SERPINE1;LPL,ORLISTAT
OUABAIN,0.4476899,6.997511,17.34096,IDH1;STAT3;ATP1A1,OUABAIN
ISTAROXIME,0.4476899,6.997511,17.34096,ATP2A2;ATP1B3;ATP1A1,ISTAROXIME
PAZOPANIB,0.4476899,1.786481,4.411104,PDGFRB;PDGFRA;CSF1R;FLT4;HLA-B;PTK2;TAOK1;KIT;SCGB3A1;FYN;FGFR3;FGFR2;FGFR1,PAZOPANIB
DASATINIB,0.4476899,1.558568,3.844679,PDGFRB;LYN;PDGFRA;CSF1R;SYK;SRC;IDH1;IDH2;MAPK14;CRKL;SLK;TEC;AXL;TAOK1;KIT;BTK;FYN;FGFR3;DDR2;FGFR1,DASATINIB
LABETALOL,0.4476899,inf,inf,LPL;HPSE,LABETALOL
ASTEMIZOLE,0.4476899,inf,inf,IDH1;HPSE,ASTEMIZOLE
IUPHAR.LIGAND:1052,0.4476899,inf,inf,ADH4;ATP5ME,IUPHAR.LIGAND:1052
FINASTERIDE,0.4476899,inf,inf,FGFR1;TGM2,FINASTERIDE
ISOSORBIDE DINITRATE,0.4476899,inf,inf,GUCY1A1;GUCY1B1,ISOSORBIDE DINITRATE
FLOXURIDINE,0.4476899,inf,inf,IDH1;ENO2,FLOXURIDINE
MIDAZOLAM,0.4476899,inf,inf,TPM3;TGM2,MIDAZOLAM
ALFUZOSIN,0.4476899,inf,inf,GAA;HSD17B10,ALFUZOSIN
CALCITRIOL,0.4476899,inf,inf,TG;GDF15,CALCITRIOL
IBUDILAST,0.4476899,inf,inf,PDE3A;PDE5A,IBUDILAST
LEVOSIMENDAN,0.4476899,inf,inf,TNNC1;PDE3A,LEVOSIMENDAN
GANETESPIB,0.4476899,inf,inf,HSP90AA1;HSP90AB1,GANETESPIB
URIDINE,0.4476899,inf,inf,SERPINE1;SLC29A1,URIDINE
AMCINONIDE,0.4476899,inf,inf,ANXA1;IDH1,AMCINONIDE
INFLIXIMAB,0.4496019,2.334165,5.530219,ADAM17;HLA-B;HLA-DPB1;HLA-C;HLA-DRB1;IVL;HLA-E,INFLIXIMAB
TRASTUZUMAB EMTANSINE,0.4496019,2.916667,6.742746,TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,TRASTUZUMAB EMTANSINE
IXABEPILONE,0.4496019,2.916667,6.742746,TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,IXABEPILONE
MK 2461,0.4496019,2.916667,6.742746,PDGFRB;NTRK2;FLT4;FGFR2;FGFR1,MK 2461
ENALAPRIL,0.4496019,2.916667,6.742746,DSP;HSPA4;GSR;PDE5A;AGT,ENALAPRIL
EPOTHILONE D,0.4496019,2.916667,6.742746,TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,EPOTHILONE D
DOLASTATIN 10,0.4496019,2.916667,6.742746,TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,DOLASTATIN 10
ABT 751,0.4496019,2.916667,6.742746,TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,ABT 751
HALOPERIDOL,0.5102967,1.910044,4.15334,NT5E;TOR1A;MAOB;HSPA4;NTS;MAPK14;HSPG2;LDLR;UGT2B7,HALOPERIDOL
