,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
58,GO:0014070,response to organic cyclic compound,GO:0014070,0.1544403,8.322363,29.87419,ABCB4;PMAIP1,Response To Organic Cyclic Compound (GO:0014070)
59,GO:0032103,positive regulation of response to external stimulus,GO:0032103,0.1544403,5.320152,20.27121,WNT5A;S100A9;CCL26,Positive Regulation Of Response To External Stimulus (GO:0032103)
60,GO:0043009,chordate embryonic development,GO:0043009,0.1544403,8.053083,28.44597,WNT7B;WNT5A,Chordate Embryonic Development (GO:0043009)
61,GO:1905208,negative regulation of cardiocyte differentiation,GO:1905208,0.1544403,41.20417,141.6987,DKK1,Negative Regulation Of Cardiocyte Differentiation (GO:1905208)
62,GO:0019317,fucose catabolic process,GO:0019317,0.1544403,123.6375,509.8895,FUT10,Fucose Catabolic Process (GO:0019317)
63,GO:0006954,inflammatory response,GO:0006954,0.1544403,5.320152,20.27121,WNT5A;S100A9;CCL26,Inflammatory Response (GO:0006954)
64,GO:0034341,response to type II interferon,GO:0034341,0.1544403,9.249883,34.91121,WNT5A;CCL26,Response To Type II Interferon (GO:0034341)
65,GO:0070233,negative regulation of T cell apoptotic process,GO:0070233,0.1544403,123.6375,509.8895,PIP,Negative Regulation Of T Cell Apoptotic Process (GO:0070233)
66,GO:0045741,positive regulation of epidermal growth factor-activated receptor activity,GO:0045741,0.1544403,61.8125,230.1042,FBXW7,Positive Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0045741)
67,GO:1900378,positive regulation of secondary metabolite biosynthetic process,GO:1900378,0.1544403,41.20417,141.6987,CDH3,Positive Regulation Of Secondary Metabolite Biosynthetic Process (GO:1900378)
68,GO:0006813,potassium ion transport,GO:0006813,0.1544403,13.88748,62.3066,KCNJ2;TMEM175,Potassium Ion Transport (GO:0006813)
69,GO:0045916,negative regulation of complement activation,GO:0045916,0.1544403,41.20417,141.6987,CD55,Negative Regulation Of Complement Activation (GO:0045916)
70,GO:0030278,regulation of ossification,GO:0030278,0.1544403,9.606621,36.89402,WNT5A;DKK1,Regulation Of Ossification (GO:0030278)
71,GO:0043506,regulation of JUN kinase activity,GO:0043506,0.1544403,10.86296,44.05943,WNT5A;DKK1,Regulation Of JUN Kinase Activity (GO:0043506)
72,GO:0050679,positive regulation of epithelial cell proliferation,GO:0050679,0.1544403,6.000611,24.67757,CDH3;WNT5A;CCL26,Positive Regulation Of Epithelial Cell Proliferation (GO:0050679)
73,GO:0046546,development of primary male sexual characteristics,GO:0046546,0.1544403,14.70588,67.45071,WNT5A;NR0B1,Development Of Primary Male Sexual Characteristics (GO:0046546)
74,GO:0031346,positive regulation of cell projection organization,GO:0031346,0.1544403,5.556561,21.7758,TIAM1;WNT5A;S100A9,Positive Regulation Of Cell Projection Organization (GO:0031346)
75,GO:0045453,bone resorption,GO:0045453,0.1544403,61.8125,230.1042,RAB3D,Bone Resorption (GO:0045453)
76,GO:0002695,negative regulation of leukocyte activation,GO:0002695,0.1544403,41.20417,141.6987,IL31RA,Negative Regulation Of Leukocyte Activation (GO:0002695)
77,GO:0050806,positive regulation of synaptic transmission,GO:0050806,0.1544403,8.610214,31.41836,SYT1;GRIK2,Positive Regulation Of Synaptic Transmission (GO:0050806)
78,GO:0048791,calcium ion-regulated exocytosis of neurotransmitter,GO:0048791,0.1544403,61.8125,230.1042,SYT1,Calcium Ion-Regulated Exocytosis Of Neurotransmitter (GO:0048791)
79,GO:0048699,generation of neurons,GO:0048699,0.1544403,4.83925,17.30369,RYK;WNT7B;WNT5A,Generation Of Neurons (GO:0048699)
80,GO:0032364,intracellular oxygen homeostasis,GO:0032364,0.1594732,30.9,99.49186,WNT7B,Intracellular Oxygen Homeostasis (GO:0032364)
81,GO:0002501,peptide antigen assembly with MHC protein complex,GO:0002501,0.1594732,30.9,99.49186,TAPBPL,Peptide Antigen Assembly With MHC Protein Complex (GO:0002501)
82,GO:0051045,negative regulation of membrane protein ectodomain proteolysis,GO:0051045,0.1594732,30.9,99.49186,TIMP3,Negative Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051045)
83,GO:0001676,long-chain fatty acid metabolic process,GO:0001676,0.1594732,7.340283,24.74604,FAAH;ACADL,Long-Chain Fatty Acid Metabolic Process (GO:0001676)
84,GO:1903859,regulation of dendrite extension,GO:1903859,0.1594732,30.9,99.49186,SYT1,Regulation Of Dendrite Extension (GO:1903859)
