Protein_Group	Genes	LV_Mouse_Plasma_125_ul_vs_Mouse_Plasma_logFC	LV_Mouse_Plasma_125_ul_vs_Mouse_Plasma_pval	Removed?	Contaminant?
Q91YX5	Lpgat1	-5.44129109773911	0.0075574145612195	No	No
Q99NH0	Ankrd17	-3.90698577208611	0.0071602703689528	No	No
Q9CPR5	Mrpl15	-3.14272978435763	0.0064820906341422	No	No
Q9CRC9	Gnpda2	-5.3595727807833	0.0009466110122393	No	No
Q9D1K7	gene	-3.92170860939526	8.97473554371059e-07	No	No
Q9DB25	Alg5	-3.40141525497225	0.0051697414828982	No	No
Q9DBD2	Marchf8	-3.63548325193347	0.0096349271500183	No	No
Q9DBE8	Alg2	-3.72764626284296	0.0049821670263974	No	No
Q9DCM0	Ethe1	-3.28927256723975	0.0093521601844148	No	No
Q9ESW4	Agk	-3.54694505506073	0.0018228366367136	No	No
Q9JI99	Sgpp1	-6.39817737292253	2.79513056526846e-07	No	No
Q9JIS8	Slc12a4	-3.06674953524599	0.0002993869208224	No	No
Q9QX47	Son	-3.82954306410984	0.0001476544666824	No	No
