term,fdr,Odds Ratio,Combined Score,Genes,description
DAP12 Interactions,0.3044509,4.40121,10.84386,SIGLEC14;B2M,DAP12 Interactions
Zinc Influx Into Cells by the SLC39 Gene Family,0.3044509,13.138,31.54861,SLC39A10,Zinc Influx Into Cells by the SLC39 Gene Family
AMPK Inhibits chREBP Transcriptional Activation Activity,0.3044509,13.138,31.54861,ADIPOQ,AMPK Inhibits chREBP Transcriptional Activation Activity
Neurotransmitter Clearance,0.3044509,13.138,31.54861,BCHE,Neurotransmitter Clearance
Biosynthesis of DHA-derived SPMs,0.3044509,13.138,31.54861,LTA4H,Biosynthesis of DHA-derived SPMs
Glycogen Storage Diseases,0.3044509,13.138,31.54861,GBE1,Glycogen Storage Diseases
Glycogen Synthesis,0.3044509,13.138,31.54861,GBE1,Glycogen Synthesis
HDL Assembly,0.3044509,13.138,31.54861,A2M,HDL Assembly
Vitamin D (Calciferol) Metabolism,0.3044509,13.138,31.54861,GC,Vitamin D (Calciferol) Metabolism
EPH-Ephrin Signaling,0.3162865,2.890466,6.797293,EFNB2;EPHB2;EPHB4,EPH-Ephrin Signaling
Adipogenesis,0.3173981,4.061414,9.490259,FABP4;ADIPOQ,Adipogenesis
Role of ABL in ROBO-SLIT Signaling,0.3202609,10.5088,23.41637,ROBO1,Role of ABL in ROBO-SLIT Signaling
Nectin Necl Trans Heterodimerization,0.3202609,10.5088,23.41637,NECTIN1,Nectin Necl Trans Heterodimerization
Biosynthesis of Specialized Proresolving Mediators (SPMs),0.3202609,10.5088,23.41637,LTA4H,Biosynthesis of Specialized Proresolving Mediators (SPMs)
CD163 Mediating an Anti-Inflammatory Response,0.3202609,10.5088,23.41637,CD163,CD163 Mediating an Anti-Inflammatory Response
Glycosphingolipid Biosynthesis,0.3202609,10.5088,23.41637,B4GALT5,Glycosphingolipid Biosynthesis
Phenylalanine and Tyrosine Metabolism,0.3202609,10.5088,23.41637,HPD,Phenylalanine and Tyrosine Metabolism
Defective F9 Activation,0.3202609,10.5088,23.41637,F11,Defective F9 Activation
Reactions Specific to the Complex N-glycan Synthesis Pathway,0.3202609,10.5088,23.41637,FUCA1,Reactions Specific to the Complex N-glycan Synthesis Pathway
Epigenetic Regulation by WDR5-containing Histone Modifying Complexes,0.3202609,3.770161,8.370054,FABP4;ADIPOQ,Epigenetic Regulation by WDR5-containing Histone Modifying Complexes
Amyloid Fiber Formation,0.3202609,3.770161,8.370054,CST3;B2M,Amyloid Fiber Formation
Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers,0.3460028,2.561369,5.368663,IGLV3-27;IGKV2D-30;IGKV2-30,Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers
Zinc Transporters,0.3460028,8.756,18.24176,SLC39A10,Zinc Transporters
Aspirin ADME,0.3460028,8.756,18.24176,BCHE,Aspirin ADME
Digestion,0.3460028,8.756,18.24176,GUCA2A,Digestion
Digestion and Absorption,0.3460028,8.756,18.24176,GUCA2A,Digestion and Absorption
Urea Cycle,0.3460028,8.756,18.24176,OTC,Urea Cycle
Heparan Sulfate Heparin (HS-GAG) Metabolism,0.363823,3.296875,6.637111,EXT1;EXT2,Heparan Sulfate Heparin (HS-GAG) Metabolism
Adherens Junctions Interactions,0.363823,3.196481,6.284679,ANG;NECTIN1,Adherens Junctions Interactions
Diseases Associated With Glycosaminoglycan Metabolism,0.363823,3.196481,6.284679,EXT1;EXT2,Diseases Associated With Glycosaminoglycan Metabolism
Fc Epsilon Receptor (FCERI) Signaling,0.363823,1.885001,3.705369,IGLV3-16;IGLV3-27;IGKV2D-30;IGHE;IGKV2-30,Fc Epsilon Receptor (FCERI) Signaling
Anchoring Fibril Formation,0.363823,7.504,14.70045,COL4A2,Anchoring Fibril Formation
Synthesis of Leukotrienes (LT) and Eoxins (EX),0.363823,7.504,14.70045,LTA4H,Synthesis of Leukotrienes (LT) and Eoxins (EX)
Terminal Pathway of Complement,0.363823,7.504,14.70045,C7,Terminal Pathway of Complement
Defective Factor IX Causes Hemophilia B,0.363823,7.504,14.70045,F11,Defective Factor IX Causes Hemophilia B
Activation of RAC1,0.3882314,6.565,12.14792,ROBO1,Activation of RAC1
Nef Mediated Downregulation of MHC Class I Complex Cell Surface Expression,0.3882314,6.565,12.14792,B2M,Nef Mediated Downregulation of MHC Class I Complex Cell Surface Expression
HuR (ELAVL1) Binds and Stabilizes mRNA,0.3882314,6.565,12.14792,ENPP2,HuR (ELAVL1) Binds and Stabilizes mRNA
Chemokine Receptors Bind Chemokines,0.3882314,6.565,12.14792,PPBP,Chemokine Receptors Bind Chemokines
Lysine Catabolism,0.3882314,6.565,12.14792,PIPOX,Lysine Catabolism
Factors Involved in Megakaryocyte Development and Platelet Production,0.3931051,2.233597,4.061608,HBG2;HBB;HBD,Factors Involved in Megakaryocyte Development and Platelet Production
FCGR3A-mediated Phagocytosis,0.3931051,1.908728,3.377521,IGLV3-16;IGLV3-27;IGKV2D-30;IGKV2-30,FCGR3A-mediated Phagocytosis
Parasite Infection,0.3931051,1.908728,3.377521,IGLV3-16;IGLV3-27;IGKV2D-30;IGKV2-30,Parasite Infection
Leishmania Phagocytosis,0.3931051,1.908728,3.377521,IGLV3-16;IGLV3-27;IGKV2D-30;IGKV2-30,Leishmania Phagocytosis
Endosomal Vacuolar Pathway,0.3931051,5.834667,10.23512,B2M,Endosomal Vacuolar Pathway
N-Glycan Antennae Elongation,0.3931051,5.834667,10.23512,B4GALT5,N-Glycan Antennae Elongation
NOTCH2 Activation and Transmission of Signal to the Nucleus,0.3931051,5.834667,10.23512,CNTN1,NOTCH2 Activation and Transmission of Signal to the Nucleus
Glutathione Synthesis and Recycling,0.3931051,5.834667,10.23512,GSS,Glutathione Synthesis and Recycling
Metal Ion SLC Transporters,0.3931051,5.834667,10.23512,SLC39A10,Metal Ion SLC Transporters
Assembly of Collagen Fibrils and Other Multimeric Structures,0.3931051,2.773769,4.865625,COL4A2;PXDN,Assembly of Collagen Fibrils and Other Multimeric Structures
Regulation of Actin Dynamics for Phagocytic Cup Formation,0.3931051,1.891393,3.306297,IGLV3-16;IGLV3-27;IGKV2D-30;IGKV2-30,Regulation of Actin Dynamics for Phagocytic Cup Formation
Aflatoxin Activation and Detoxification,0.4098678,5.2504,8.757657,ACY1,Aflatoxin Activation and Detoxification
Signal Regulatory Protein Family Interactions,0.4098678,5.2504,8.757657,SIRPA,Signal Regulatory Protein Family Interactions
PECAM1 Interactions,0.4098678,5.2504,8.757657,INPP5D,PECAM1 Interactions
Signaling by NOTCH2,0.4098678,5.2504,8.757657,CNTN1,Signaling by NOTCH2
Metabolism of Steroid Hormones,0.4098678,5.2504,8.757657,SERPINA6,Metabolism of Steroid Hormones
Degradation of the Extracellular Matrix,0.4105311,2.05765,3.413416,COL4A2;A2M;KLKB1,Degradation of the Extracellular Matrix
Cell-cell Junction Organization,0.4141223,2.56963,4.22125,ANG;NECTIN1,Cell-cell Junction Organization
Non-integrin membrane-ECM Interactions,0.4345834,2.393328,3.688472,DDR1;COL4A2,Non-integrin membrane-ECM Interactions
Metabolism,0.4345834,1.217411,1.874326,ACY1;GBE1;GPT;SERPINA6;CA1;CA3;CA2;INPP5D;ENPP2;LTA4H;GC;AOC3;BCHE;CKM;GSS;ADIPOQ;PIPOX;BPGM;FABP1;EXT1;EXT2;FABP4;PSAT1;BLVRB;HPD;B4GALT5;OTC,Metabolism
Parasitic Infection Pathways,0.4345834,1.604808,2.461852,CD163;IGLV3-16;IGLV3-27;IGKV2D-30;IGKV2-30,Parasitic Infection Pathways
Leishmania Infection,0.4345834,1.604808,2.461852,CD163;IGLV3-16;IGLV3-27;IGKV2D-30;IGKV2-30,Leishmania Infection
Paracetamol ADME,0.4345834,4.374,6.644506,ACY1,Paracetamol ADME
Synthesis of IP3 and IP4 in the Cytosol,0.4345834,4.374,6.644506,INPP5D,Synthesis of IP3 and IP4 in the Cytosol
"Synthesis, Secretion, and Deacylation of Ghrelin",0.4345834,4.374,6.644506,BCHE,"Synthesis, Secretion, and Deacylation of Ghrelin"
Interleukin Receptor SHC Signaling,0.4345834,4.374,6.644506,INPP5D,Interleukin Receptor SHC Signaling
Metabolism of Angiotensinogen to Angiotensins,0.4345834,4.374,6.644506,CPB2,Metabolism of Angiotensinogen to Angiotensins
Vitamin B5 (Pantothenate) Metabolism,0.4345834,4.374,6.644506,ENPP2,Vitamin B5 (Pantothenate) Metabolism
