"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0032722","GO:0032722",35,"GO:0001819",0.533584399638658,72,"positive regulation of chemokine production","positive regulation of cytokine production",0.812399086757991,0.408,0.781
"GO:0032103","GO:0032103",24,"GO:0032101",0.533584399638658,620,"positive regulation of response to external stimulus","regulation of response to external stimulus",0.8296,0.395857142857143,0.922
"GO:0048545","GO:0048545",90,"GO:0044320",0.533584399638658,330,"response to steroid hormone","cellular response to leptin stimulus",0.919172602739726,0.374571428571429,0.635
"GO:0030326","GO:0030326",154,"GO:0042733",0.533584399638658,120,"embryonic limb morphogenesis","embryonic digit morphogenesis",0.924199086757991,0.368666666666667,0.931
"GO:0030193","GO:0030193",134,"GO:1900047",0.533584399638658,68,"regulation of blood coagulation","negative regulation of hemostasis",0.812202739726027,0.35,0.974
"GO:0006813","GO:0006813",42,"GO:0090279",0.533584399638658,241,"potassium ion transport","regulation of calcium ion import",0.9665899543379,0.347615384615385,0.598
"GO:0045668","GO:0045668",152,"GO:0045667",0.533584399638658,65,"negative regulation of osteoblast differentiation","regulation of osteoblast differentiation",0.844462100456621,0.339833333333333,0.941
"GO:0045742","GO:0045742",60,"GO:0007167",0.533584399638658,27,"positive regulation of epidermal growth factor receptor signaling pathway","enzyme-linked receptor protein signaling pathway",0.84428401826484,0.332285714285714,0.669
"GO:0042059","GO:0042059",60,"GO:0007167",0.533584399638658,27,"negative regulation of epidermal growth factor receptor signaling pathway","enzyme-linked receptor protein signaling pathway",0.844202739726027,0.326571428571429,0.677
"GO:0090313","GO:0090313",146,"GO:1904950",0.533584399638658,34,"regulation of protein targeting to membrane","negative regulation of establishment of protein localization",0.90794794520548,0.319727272727273,0.715
"GO:1903670","GO:1903670",47,"GO:0016525",0.533584399638658,61,"regulation of sprouting angiogenesis","negative regulation of angiogenesis",0.853285844748858,0.318176470588235,0.805
