Protein_Group,Genes,ETP-56035_6hr,ETP-56328_6hr,ETP-56168_6hr
Q6ZNJ1,NBEAL2,No,No,No
Q6ZNW5,GDPGP1,No,No,No
Q6ZPD9,DPY19L3,No,No,No
Q6ZQN7,SLCO4C1,No,No,No
Q6ZQX7,LIAT1,No,No,No
Q6ZRI6,C15orf39,No,No,No
Q6ZRP7,QSOX2,No,No,No
Q6ZRQ5,MMS22L,No,No,No
Q6ZRS2,SRCAP,No,No,No
Q6ZRV2,FAM83H,No,No,No
Q6ZS11,RINL,No,No,No
Q6ZS17,RIPOR1,No,No,No
Q6ZS30,NBEAL1,No,No,No
Q6ZS86,GK5,No,No,No
Q6ZSB9,ZBTB49,No,No,No
Q6ZSJ8,C1orf122,No,No,No
Q6ZSR9,,No,No,No
Q6ZSS3,ZNF621,No,No,No
Q6ZSS7,MFSD6,No,No,No
Q6ZSZ5,ARHGEF18,No,No,No
Q6ZT07,TBC1D9,No,No,No
Q6ZT12,UBR3,No,No,No
Q6ZT21,TMPPE,No,No,No
Q6ZT98,TTLL7,No,No,No
Q6ZTN6,ANKRD13D,No,No,No
Q6ZTW0,TPGS1,No,No,No
Q6ZU35,CRACD,No,No,No
Q6ZU65,UBN2,No,No,No
Q6ZU80,CEP128,No,No,No
Q6ZUJ8,PIK3AP1,No,No,No
Q6ZUM4,ARHGAP27,No,No,No
Q6ZUS6,CCDC149,No,No,No
Q6ZUT1,NKAPD1,No,No,No
Q6ZUT9,DENND5B,No,No,No
Q6ZUX7,LHFPL2,No,No,No
Q6ZV73,FGD6,No,No,No
Q6ZV89,SH2D5,No,No,No
Q6ZVD8,PHLPP2,No,No,No
Q6ZVK8,NUDT18,No,No,No
Q6ZVM7,TOM1L2,No,No,No
Q6ZVX7,NCCRP1,No,No,No
Q6ZW13,C16orf86,DMSO_6hr,No,No
Q6ZW31,SYDE1,No,No,No
Q6ZW49,PAXIP1,No,No,No
Q6ZW76,ANKS3,No,No,No
Q6ZWB6,KCTD8,No,No,DMSO_6hr
Q6ZWJ1,STXBP4,No,No,No
Q6ZWK4,RHEX,No,No,No
Q6ZWL3,CYP4V2,No,DMSO_6hr,No
Q6ZWT7,MBOAT2,No,No,No
Q6ZXV5,TMTC3,No,No,No
Q6ZYL4,GTF2H5,No,No,No
Q709C8,VPS13C,No,No,No
Q709F0,ACAD11,No,No,No
Q70CQ2,USP34,No,No,No
Q70CQ3,USP30,No,No,No
Q70CQ4,USP31,No,No,No
Q70E73,RAPH1,No,No,No
Q70EK8,USP53,No,No,No
Q70EK9,USP51,No,No,No
Q70EL1,USP54,No,No,No
Q70EL2,USP45,No,No,No
Q70EL4,USP43,No,No,No
Q70HW3,SLC25A26,No,No,No
Q70IA6,MOB2,No,No,No
Q70IA8,MOB3C,No,No,No
Q70J99,UNC13D,No,No,No
Q70JA7,CHSY3,No,No,No
Q70SY1,CREB3L2,No,No,No
Q70UQ0,IKBIP,No,No,No
Q70Z53,FRA10AC1,No,No,No
Q712K3,UBE2R2,No,No,No
Q719H9,KCTD1,No,No,No
Q71F23,CENPU,No,No,No
Q71F56,MED13L,No,No,No
Q71RC2,LARP4,No,No,No
Q71RG4,TMUB2,No,No,No
Q71SY5,MED25,No,No,No
Q71U36,TUBA1A,No,No,No
Q71UM5,RPS27L,No,No,No
Q75N03,CBLL1,No,No,No
Q75QN2,INTS8,No,No,No
Q75T13,PGAP1,No,No,No
Q765P7,MTSS2,No,No,No
Q76FK4,NOL8,No,No,No
Q76I76,SSH2,No,No,No
Q76L83,ASXL2,No,No,No
Q76N32,CEP68,No,No,No
Q76N89,HECW1,No,No,No
Q7KYR7,BTN2A1,No,No,No
Q7KZ85,SUPT6H,No,No,No
Q7KZF4,SND1,No,No,No
Q7KZI7,MARK2,No,No,No
Q7KZN9,COX15,No,No,No
Q7L014,DDX46,No,No,No
Q7L099,RUFY3,No,No,No
Q7L0Q8,RHOU,No,No,No
Q7L0Y3,TRMT10C,No,No,No
Q7L1Q6,BZW1,No,No,No
Q7L1T6,CYB5R4,No,No,No
Q7L1V2,MON1B,No,No,No
Q7L1W4,LRRC8D,No,No,No
Q7L211,ABHD13,No,No,No
Q7L266,ASRGL1,No,No,No
Q7L273,KCTD9,No,No,No
Q7L2E3,DHX30,No,No,No
Q7L2H7,EIF3M,No,No,No
Q7L2J0,MEPCE,No,No,No
Q7L2K0,TEDC2,No,No,No
Q7L2R6,ZNF765,No,No,No
Q7L2Z9,CENPQ,No,No,No
Q7L311,ARMCX2,No,No,No
Q7L3B6,CDC37L1,No,No,No
Q7L3S4,ZNF771,No,No,No
Q7L3T8,PARS2,No,No,No
Q7L3V2,RTL10,ETP-56035_6hr,No,No
Q7L4E1,MIGA2,No,No,No
Q7L4I2,RSRC2,No,No,No
Q7L523,RRAGA,No,No,No
Q7L576,CYFIP1,No,No,No
Q7L590,MCM10,No,No,No
Q7L592,NDUFAF7,No,No,No
Q7L5A8,FA2H,No,No,No
Q7L5D6,GET4,No,No,No
Q7L5N1,COPS6,No,No,No
Q7L5N7,LPCAT2,No,No,No
Q7L5Y1,ENOSF1,No,No,No
Q7L5Y6,DET1,No,No,No
Q7L5Y9,MAEA,No,No,No
Q7L622,G2E3,No,No,No
Q7L775,EPM2AIP1,No,No,No
Q7L7V1,DHX32,No,No,No
Q7L7X3,TAOK1,No,No,No
Q7L804,RAB11FIP2,No,No,No
Q7L8A9,VASH1,No,No,No
Q7L8J4,SH3BP5L,No,No,No
Q7L8L6,FASTKD5,No,No,No
Q7L8W6,DPH6,No,No,No
Q7L945,ZNF627,No,No,No
Q7L985,LINGO2,No,No,No
Q7L9B9,EEPD1,No,No,No
Q7L9L4;Q9H8S9,MOB1A;MOB1B,No,No,No
Q7LBC6,KDM3B,No,No,No
Q7LBR1,CHMP1B,No,No,No
Q7LFL8,CXXC5,No,No,No
Q7LG56,RRM2B,No,No,No
Q7LGA3,HS2ST1,No,No,No
Q7LGC8,CHST3,No,No,No
Q7RTN6,STRADA,No,No,No
Q7RTP0,NIPA1,No,No,No
Q7RTP6,MICAL3,No,No,No
Q7RTS1,BHLHA15,No,No,No
Q7RTS9,DYM,No,No,No
Q7RTT4,SSX8P,No,No,No
Q7RTV0,PHF5A,No,No,No
Q7RTV3,ZNF367,No,No,No
Q7RTV5,PRXL2C,No,No,No
Q7RTX9,SLC16A14,No,No,No
Q7RTY1,SLC16A9,No,No,No
Q7Z2E3,APTX,No,No,No
Q7Z2F6,ZNF720,No,No,No
Q7Z2H8,SLC36A1,No,No,No
Q7Z2K6,ERMP1,No,No,No
Q7Z2K8,GPRIN1,No,No,No
Q7Z2T5,TRMT1L,No,No,No
Q7Z2W4,ZC3HAV1,No,No,No
Q7Z2W9,MRPL21,No,No,No
Q7Z2Z1,TICRR,No,No,No
Q7Z2Z2,EFL1,No,No,No
Q7Z309,PABIR2,No,No,No
Q7Z333,SETX,No,No,No
Q7Z353,HDX,No,No,No
Q7Z388,DPY19L4,No,No,No
Q7Z392,TRAPPC11,No,No,No
Q7Z3B0,SMIM15,No,No,No
Q7Z3B1,NEGR1,No,No,No
Q7Z3B3,KANSL1,No,No,No
Q7Z3B4,NUP54,No,No,No
Q7Z3C6,ATG9A,No,No,No
Q7Z3D4,LYSMD3,No,No,No
Q7Z3D6,DGLUCY,No,No,No
Q7Z3E2,CCDC186,No,No,No
Q7Z3E5,ARMC9,No,No,No
Q7Z3J2,VPS35L,No,No,No
Q7Z3J3,RGPD4,No,No,No
Q7Z3K3,POGZ,No,No,No
Q7Z3K6,MIER3,No,No,No
Q7Z3T8,ZFYVE16,No,No,No
Q7Z3U7,MON2,No,No,No
Q7Z3V4,UBE3B,No,No,No
CON__Q7Z3Z0,KRT25,No,No,No
Q7Z401,DENND4A,No,No,No
Q7Z402,TMC7,No,No,No
Q7Z403,TMC6,No,No,No
Q7Z406,MYH14,No,No,No
Q7Z412,PEX26,No,No,No
Q7Z417,NUFIP2,No,No,No
Q7Z422,SZRD1,No,No,No
Q7Z434,MAVS,No,No,No
Q7Z449,CYP2U1,No,No,No
Q7Z460,CLASP1,No,No,No
Q7Z478,DHX29,No,No,No
Q7Z494,NPHP3,No,No,No
Q7Z4F1,LRP10,No,No,No
Q7Z4G1,COMMD6,No,No,No
Q7Z4G4,TRMT11,No,No,No
Q7Z4H3,HDDC2,No,No,No
Q7Z4H7,HAUS6,No,No,No
Q7Z4H8,POGLUT3,No,No,No
Q7Z4K8,TRIM46,No,No,No
Q7Z4L5,TTC21B,No,No,No
Q7Z4Q2,HEATR3,No,No,No
Q7Z4R8,C6orf120,No,No,No
Q7Z4S6,KIF21A,No,No,No
Q7Z4V5,HDGFL2,No,No,No
Q7Z4W1,DCXR,No,No,No
Q7Z569,BRAP,No,No,No
Q7Z589,EMSY,No,No,No
Q7Z591,AKNA,No,No,No
Q7Z5G4,GOLGA7,No,No,No
Q7Z5H3,ARHGAP22,No,No,No
Q7Z5J4,RAI1,No,No,No
Q7Z5K2,WAPL,No,No,No
Q7Z5L2,R3HCC1L,No,No,No
Q7Z5L7,PODN,No,No,No
Q7Z5L9,IRF2BP2,No,No,No
Q7Z5N4,SDK1,No,No,No
Q7Z5Q1,CPEB2,No,No,No
Q7Z5U6,WDR53,No,No,No
Q7Z5W3,BCDIN3D,No,No,No
Q7Z5Y7,KCTD20,No,No,No
Q7Z624,CAMKMT,No,No,No
Q7Z628,NET1,No,No,No
Q7Z695,ADCK2,No,No,No
Q7Z699,SPRED1,No,No,No
Q7Z6B0,CCDC91,No,No,No
Q7Z6B7,SRGAP1,No,No,No
Q7Z6E9,RBBP6,No,No,No
Q7Z6I8,C5orf24,No,No,No
Q7Z6J0,SH3RF1,No,No,No
Q7Z6J8,UBE3D,No,No,No
Q7Z6J9,TSEN54,No,No,No
Q7Z6K1,THAP5,No,No,No
Q7Z6K3,PTAR1,No,No,No
Q7Z6K5,ARPIN,No,No,No
Q7Z6L1,TECPR1,No,No,No
Q7Z6M1,RABEPK,No,No,No
Q7Z6M2,FBXO33,No,No,No
Q7Z6M4,MTERF4,No,No,No
Q7Z6R9,TFAP2D,No,No,No
Q7Z6V5,ADAT2,No,No,No
Q7Z6Z7,HUWE1,No,No,No
Q7Z736,PLEKHH3,No,No,No
Q7Z739,YTHDF3,No,No,No
Q7Z769,SLC35E3,No,No,No
CON__Q7Z794,KRT77,No,No,No
Q7Z7A1,CNTRL,No,No,No
Q7Z7A3,CTU1,No,No,No
Q7Z7A4,PXK,No,No,No
Q7Z7B1,PIGW,No,No,No
Q7Z7C8,TAF8,No,No,No
Q7Z7E8,UBE2Q1,No,No,No
Q7Z7F0,KHDC4,No,No,No
Q7Z7F7,MRPL55,No,No,No
Q7Z7G8,VPS13B,No,No,No
Q7Z7H5,TMED4,No,No,No
Q7Z7H8,MRPL10,No,No,No
Q7Z7K0,CMC1,No,No,No
Q7Z7K6,CENPV,No,No,No
Q7Z7L1,SLFN11,No,No,No
Q7Z7L7,ZER1,No,No,No
Q7Z7M0,MEGF8,No,No,No
Q7Z7N9,TMEM179B,No,No,No
Q86SE9,PCGF5,No,No,No
Q86SF2,GALNT7,No,No,No
Q86SG6,NEK8,No,No,No
Q86SJ2,AMIGO2,No,No,No
Q86SK9,SCD5,No,No,No
Q86SQ0,PHLDB2,No,No,No
Q86SQ4,ADGRG6,No,No,No
Q86SQ7,SDCCAG8,No,No,No
Q86SQ9,DHDDS,No,No,No
Q86SR1,GALNT10,No,No,No
Q86SX3,TEDC1,No,No,No
Q86SX6,GLRX5,No,No,No
Q86SZ2,TRAPPC6B,No,No,No
Q86T03,PIP4P1,No,No,No
Q86T20,SMIM29,No,No,No
Q86T24,ZBTB33,No,No,No
Q86T65,DAAM2,No,No,No
Q86T82,USP37,No,No,No
Q86T90,KIAA1328,No,No,No
Q86TB3,ALPK2,No,No,No
Q86TB9,PATL1,No,No,No
Q86TC9,MYPN,No,No,No
Q86TG7,PEG10,No,No,No
Q86TI0,TBC1D1,No,No,No
Q86TI2,DPP9,No,No,No
Q86TJ2,TADA2B,No,No,No
Q86TL0,ATG4D,No,No,No
Q86TM6,SYVN1,No,No,No
Q86TN4,TRPT1,No,No,No
Q86TP1,PRUNE1,No,No,No
Q86TS9,MRPL52,No,No,No
Q86TU7,SETD3,No,No,No
Q86TV6,TTC7B,No,No,No
Q86TW2,ADCK1,No,No,No
Q86TX2,ACOT1,No,No,No
Q86U06,RBM23,No,No,No
Q86U28,ISCA2,No,No,No
Q86U38,NOP9,No,No,No
Q86U42,PABPN1,No,No,No
Q86U44,METTL3,No,No,No
Q86U70,LDB1,No,No,No
Q86U86,PBRM1,No,No,No
Q86U90,YRDC,No,No,No
Q86UA1,PRPF39,No,No,No
Q86UA6,RPAIN,No,No,No
Q86UB2,BIVM,No,No,No
Q86UB9,TMEM135,No,No,No
Q86UD0,SAPCD2,No,No,No
Q86UD1,OAF,No,No,No
Q86UD3,MARCHF3,No,No,No
Q86UD5,SLC9B2,No,No,No
Q86UE4,MTDH,No,No,No
Q86UE8,TLK2,No,No,No
Q86UF1,TSPAN33,No,No,No
Q86UK0,ABCA12,No,No,No
Q86UK7,ZNF598,No,No,No
Q86UL3,GPAT4,No,No,No
Q86UP2,KTN1,No,No,No
Q86UP3,ZFHX4,No,No,No
Q86UQ0,ZNF589,No,No,No
Q86US8,SMG6,No,No,No
Q86UT6,NLRX1,No,No,No
Q86UT8,CENATAC,No,No,No
Q86UU0,BCL9L,No,No,No
Q86UU1,PHLDB1,No,No,No
Q86UV5,USP48,No,No,No
Q86UW6,N4BP2,No,No,No
Q86UW7,CADPS2,No,No,No
Q86UW9,DTX2,No,No,No
Q86UX6,STK32C,No,No,No
Q86UY6,NAA40,No,No,No
Q86UY8,NT5DC3,No,No,No
Q86V15,CASZ1,No,No,No
Q86V20,SHLD2,No,No,No
Q86V21,AACS,No,No,No
Q86V24,ADIPOR2,No,No,No
Q86V42,FAM124A,No,No,No
Q86V48,LUZP1,No,No,No
Q86V59,PNMA8A,No,No,No
Q86V81,ALYREF,No,No,No
Q86V85,GPR180,No,No,No
Q86V86,PIM3,No,No,No
Q86V87,FAM160B2,No,No,No
Q86V88,MDP1,No,No,No
Q86V97,KBTBD6,No,No,No
Q86VD7,SLC25A42,No,No,No
Q86VE0,MYPOP,No,No,No
Q86VE9,SERINC5,No,No,No
Q86VF2,IGFN1,No,No,No
Q86VI3,IQGAP3,No,No,No
Q86VI4,LAPTM4B,No,No,No
Q86VK4,ZNF410,No,No,No
Q86VM9,ZC3H18,No,No,No
Q86VN1,VPS36,No,No,No
Q86VP1,TAX1BP1,No,No,No
Q86VP3,PACS2,No,No,No
Q86VP6,CAND1,No,No,No
Q86VQ1,GLCCI1,No,No,No
Q86VQ6,TXNRD3,No,No,No
Q86VR2,RETREG3,No,No,No
Q86VS8,HOOK3,No,No,No
Q86VU5,COMTD1,No,No,No
Q86VV8,RTTN,No,No,No
Q86VW0,SESTD1,No,No,No
Q86VX2,COMMD7,No,No,No
Q86VX9,MON1A,No,No,No
Q86VZ2,WDR5B,No,No,No
Q86VZ4,LRP11,No,No,No
Q86VZ5,SGMS1,No,No,No
Q86VZ6,JAZF1,No,No,No
Q86W11,ZSCAN30,No,No,No
Q86W33,TPRA1,No,No,No
Q86W34,AMZ2,No,No,No
Q86W42,THOC6,No,No,No
Q86W50,METTL16,No,No,No
Q86W56,PARG,No,No,No
Q86W74,ANKRD46,No,No,No
Q86W92,PPFIBP1,No,No,No
Q86WA6,BPHL,No,No,No
Q86WA8,LONP2,No,No,No
Q86WA9,SLC26A11,No,No,No
Q86WB0,ZC3HC1,No,No,No
Q86WC4,OSTM1,No,No,No
Q86WG5,SBF2,No,No,No
Q86WH2,RASSF3,No,No,No
Q86WJ1,CHD1L,No,No,No
Q86WK9,PAQR7,No,No,No
Q86WN1,FCHSD1,No,No,No
Q86WP2,GPBP1,No,No,No
Q86WQ0,NR2C2AP,No,No,No
Q86WR0,CCDC25,No,No,No
Q86WR7,PROSER2,No,No,No
Q86WT1,TTC30A,No,No,No
Q86WU2,LDHD,No,No,No
Q86WV5,TEN1,No,No,No
Q86WW8,COA5,No,No,No
Q86WX3,RPS19BP1,No,No,No
Q86WZ6,ZNF227,No,No,No
Q86X02,CDR2L,No,No,No
Q86X10,RALGAPB,No,No,No
Q86X19,TMEM17,No,No,No
Q86X24,HORMAD1,No,No,No
Q86X27,RALGPS2,No,No,No
Q86X29,LSR,No,No,No
Q86X40,LRRC28,No,No,No
Q86X52,CHSY1,No,No,No
Q86X53,ERICH1,No,No,No
Q86X55,CARM1,No,No,No
Q86X76,NIT1,No,No,No
Q86X83,COMMD2,No,No,No
Q86X95,CIR1,No,No,No
Q86XA9,HEATR5A,No,No,No
Q86XE3,MICU3,No,No,No
Q86XE5,HOGA1,No,No,No
Q86XH1,IQCA1,No,No,No
Q86XI2,NCAPG2,No,No,No
Q86XI6,PPP1R3B,ETP-56035_6hr,ETP-56328_6hr,No
Q86XI8,ZSWIM9,No,No,No
Q86XJ1,GAS2L3,No,No,No
Q86XK2,FBXO11,No,No,No
Q86XK3,SFR1,No,No,No
Q86XL3,ANKLE2,No,No,No
Q86XN6,ZNF761,No,No,No
Q86XN7,PROSER1,No,No,No
Q86XN8,MEX3D,No,No,No
Q86XP1,DGKH,No,No,No
Q86XP3,DDX42,No,No,No
Q86XR8,CEP57,No,No,No
Q86XS8,RNF130,No,No,No
Q86XT2,VPS37D,No,No,No
Q86XT9,TMEM219,No,No,No
Q86XX4,FRAS1,No,No,No
Q86XZ4,SPATS2,No,No,No
Q86Y07,VRK2,No,No,No
Q86Y13,DZIP3,No,No,No
Q86Y37,CACUL1,No,No,No
Q86Y39,NDUFA11,No,No,No
CON__Q86Y46,KRT73,No,No,No
Q86Y56,DNAAF5,No,No,No
Q86Y79,PTRH1,No,No,No
Q86Y82,STX12,No,No,No
Q86Y91,KIF18B,No,No,No
Q86Y97,KMT5C,No,No,No
Q86YA3,ZGRF1,No,No,No
Q86YB7,ECHDC2,No,No,No
Q86YB8,ERO1B,No,No,No
Q86YC2,PALB2,No,No,No
Q86YD1,PTOV1,No,No,No
Q86YD5,LDLRAD3,No,No,No
Q86YE8,ZNF573,No,No,No
Q86YH2,ZNF280B,No,No,No
Q86YH6,PDSS2,No,No,No
Q86YI8,PHF13,No,No,No
Q86YJ6,THNSL2,No,No,No
Q86YJ7,ANKRD13B,No,No,No
Q86YL5,TDRP,No,No,No
Q86YM7,HOMER1,No,No,No
Q86YN1,DOLPP1,No,No,No
Q86YN6,PPARGC1B,No,No,No
Q86YP4,GATAD2A,No,No,No
Q86YR5,GPSM1,No,No,No
Q86YS3,RAB11FIP4,No,No,No
Q86YS6,RAB43,No,No,No
Q86YS7,C2CD5,No,No,No
Q86YT6,MIB1,No,No,No
Q86YV5,PRAG1,No,No,No
Q86YV9,HPS6,No,No,No
CON__Q86YZ3,HRNR,No,No,No
Q86Z02,HIPK1,No,No,No
Q86Z23,C1QL4,No,No,No
Q8IU60,DCP2,No,No,No
Q8IU81,IRF2BP1,No,No,No
Q8IU85,CAMK1D,No,No,No
Q8IUC4,RHPN2,No,No,No
Q8IUC6,TICAM1,No,No,No
Q8IUC8,GALNT13,No,No,No
Q8IUD2,ERC1,No,No,No
Q8IUD6,RNF135,No,No,No
Q8IUE6,H2AC21,No,No,No
Q8IUF1,CBWD2,No,No,No
Q8IUF8,RIOX2,No,No,No
Q8IUH3,RBM45,No,No,No
Q8IUH4,ZDHHC13,No,No,No
Q8IUH5,ZDHHC17,No,No,No
Q8IUI8,CRLF3,No,No,No
Q8IUL8,CILP2,No,No,No
Q8IUQ4,SIAH1,No,No,No
Q8IUR0,TRAPPC5,No,No,No
Q8IUR7,ARMC8,No,No,No
Q8IUS5,EPHX4,No,No,No
Q8IUW3,SPATA2L,No,No,No
Q8IUW5,RELL1,No,No,No
Q8IUX1,TMEM126B,No,No,No
Q8IUX4,APOBEC3F,No,No,No
Q8IUZ0,LRRC49,No,No,No
Q8IUZ5,PHYKPL,No,No,No
Q8IV08,PLD3,No,No,No
Q8IV20,LACC1,No,No,No
Q8IV31,TMEM139,No,No,No
Q8IV32,CCDC71,No,No,No
Q8IV36,HID1,No,No,No
Q8IV38,ANKMY2,No,No,No
Q8IV48,ERI1,No,No,No
Q8IV50,LYSMD2,No,No,No
Q8IV56,PRR15,No,No,No
Q8IV63,VRK3,No,No,No
Q8IVB5,LIX1L,No,No,No
Q8IVC4,ZNF584,No,No,No
Q8IVD9,NUDCD3,No,No,No
Q8IVE3,PLEKHH2,No,No,No
Q8IVF2,AHNAK2,No,No,No
Q8IVF7,FMNL3,No,No,No
Q8IVH2,FOXP4,No,No,No
Q8IVH4,MMAA,No,No,No
Q8IVH8,MAP4K3,No,No,No
Q8IVJ1,SLC41A1,No,No,No
Q8IVL0,NAV3,No,No,No
Q8IVL5,P3H2,No,No,No
Q8IVL6,P3H3,No,No,No
Q8IVM0,CCDC50,No,No,No
Q8IVP5,FUNDC1,No,No,No
Q8IVQ6,ZDHHC21,No,No,No
Q8IVS2,MCAT,No,No,No
Q8IVS8,GLYCTK,No,No,No
Q8IVT2,MISP,No,No,No
Q8IVT5,KSR1,No,No,No
Q8IVU3,HERC6,No,No,No
Q8IVV7,GID4,No,No,No
Q8IVW6,ARID3B,No,No,No
Q8IW19,APLF,No,No,No
Q8IW35,CEP97,No,No,No
Q8IW41,MAPKAPK5,No,No,No
Q8IW45,NAXD,No,No,No
Q8IW50,FAM219A,No,No,No
Q8IW52,SLITRK4,No,No,No
Q8IW75,SERPINA12,No,No,No
Q8IW92,GLB1L2,No,No,No
Q8IWA0,WDR75,No,No,No
Q8IWA4,MFN1,No,No,No
Q8IWA5,SLC44A2,No,No,No
Q8IWB1,ITPRIP,No,No,No
Q8IWB7,WDFY1,No,No,No
Q8IWB9,TEX2,No,No,No
Q8IWC1,MAP7D3,No,No,No
Q8IWD4,CCDC117,No,No,No
Q8IWE2,FAM114A1,No,No,No
Q8IWE4,DCUN1D3,No,No,No
Q8IWE5,PLEKHM2,No,No,No
Q8IWF2,FOXRED2,No,No,No
Q8IWF6,DENND6A,No,No,No
Q8IWI9,MGA,No,No,No
Q8IWJ2,GCC2,No,No,No
Q8IWK6,ADGRA3,No,DMSO_6hr,No
Q8IWL3,HSCB,No,No,No
Q8IWP9,CCDC28A,No,No,No
Q8IWR0,ZC3H7A,No,No,No
Q8IWR1,TRIM59,No,No,No
Q8IWS0,PHF6,No,No,No
Q8IWT0,ZBTB8OS,No,No,No
Q8IWT3,CUL9,No,No,No
Q8IWT6,LRRC8A,No,No,No
Q8IWU2,LMTK2,No,No,No
Q8IWV7,UBR1,No,No,No
Q8IWV8,UBR2,No,No,No
Q8IWW6,ARHGAP12,No,No,No
Q8IWX5,SGPP2,No,No,No
Q8IWX8,CHERP,No,No,No
Q8IWY8,ZSCAN29,No,No,No
Q8IWY9,CDAN1,No,No,No
Q8IWZ3,ANKHD1,No,No,No
Q8IWZ6,BBS7,No,No,No
Q8IWZ8,SUGP1,No,No,No
Q8IX01,SUGP2,No,No,No
Q8IX03,WWC1,No,No,No
Q8IX04,UEVLD,No,No,No
Q8IX07,ZFPM1,No,No,No
Q8IX12,CCAR1,No,No,No
Q8IX15,HOMEZ,No,No,No
Q8IX18,DHX40,No,No,No
Q8IX21,SLF2,No,No,No
Q8IX29,FBXO16,No,No,No
Q8IX90,SKA3,No,No,No
Q8IXB1,DNAJC10,No,No,No
Q8IXH6,TP53INP2,No,No,No
Q8IXH7,NELFCD,No,No,No
Q8IXI1,RHOT2,No,No,No
Q8IXI2,RHOT1,No,No,No
Q8IXJ6,SIRT2,No,No,No
Q8IXJ9,ASXL1,No,No,No
Q8IXK0,PHC2,No,No,No
Q8IXK2,GALNT12,No,No,No
Q8IXL7,MSRB3,No,No,No
Q8IXM2,BAP18,No,No,No
Q8IXM3,MRPL41,No,No,No
Q8IXM6,NRM,No,No,No
Q8IXQ3,C9orf40,No,No,No
Q8IXQ4,GPALPP1,No,No,No
Q8IXQ5,KLHL7,No,No,No
Q8IXQ6,PARP9,No,No,No
Q8IXQ9,ETFBKMT,No,No,No
Q8IXS6,PALM2,No,No,No
Q8IXS8,FAM126B,No,No,No
Q8IXT5,RBM12B,No,No,No
Q8IXU6,SLC35F2,No,No,No
Q8IXV7,KLHDC8B,No,No,No
Q8IXW5,RPAP2,No,No,No
Q8IXX5,TMEM183A,No,No,No
Q8IXY8,PPIL6,No,No,No
Q8IXZ2,ZC3H3,No,No,No
Q8IY17,PNPLA6,No,No,No
Q8IY18,SMC5,No,No,No
Q8IY21,DDX60,No,No,No
Q8IY22,CMIP,No,No,No
Q8IY26,PLPP6,No,No,No
Q8IY31,IFT20,No,No,No
Q8IY33,MICALL2,No,No,No
Q8IY37,DHX37,No,No,No
Q8IY45,AMN1,No,No,No
Q8IY47,KBTBD2,No,No,No
Q8IY57,YAF2,No,No,No
Q8IY63,AMOTL1,No,No,No
Q8IY67,RAVER1,No,No,No
Q8IY81,FTSJ3,No,No,No
Q8IY92,SLX4,No,No,No
Q8IY95,TMEM192,No,No,No
Q8IYA6,CKAP2L,No,No,No
Q8IYB1,MB21D2,No,No,No
Q8IYB3,SRRM1,No,No,No
Q8IYB5,SMAP1,No,No,No
Q8IYB7,DIS3L2,No,No,No
Q8IYB8,SUPV3L1,No,No,No
Q8IYB9,ZNF595,No,No,No
Q8IYD1,GSPT2,No,No,No
Q8IYD8,FANCM,No,No,No
Q8IYH5,ZZZ3,No,No,No
Q8IYI6,EXOC8,No,No,No
Q8IYI8,ZNF440,No,ETP-56328_6hr,No
Q8IYJ3,SYTL1,No,No,No
Q8IYL2,TRMT44,No,No,No
Q8IYL3,C1orf174,No,No,No
Q8IYM2,SLFN12,No,No,No
Q8IYN2,TCEAL8,No,No,No
Q8IYQ7,THNSL1,No,No,No
Q8IYR2,SMYD4,No,No,No
Q8IYS0,GRAMD1C,No,No,No
Q8IYS1,PM20D2,No,No,No
Q8IYS2,KIAA2013,No,No,No
Q8IYT2,CMTR2,No,No,No
Q8IYT8,ULK2,No,No,No
Q8IYU2,HACE1,No,No,No
Q8IYU8,MICU2,No,No,No
Q8IYW5,RNF168,No,No,No
Q8IYX8,CEP57L1,No,No,No
Q8IYY4,DZIP1L,No,No,No
Q8IZ07,ANKRD13A,No,No,No
Q8IZ13,ZBED8,No,No,No
Q8IZ21,PHACTR4,No,No,No
Q8IZ26,ZNF34,No,No,No
Q8IZ40,RCOR2,No,No,No
Q8IZ41,RASEF,No,No,No
Q8IZ52,CHPF,No,No,No
Q8IZ69,TRMT2A,No,No,No
Q8IZ73,RPUSD2,No,No,No
Q8IZ81,ELMOD2,No,No,No
Q8IZ83,ALDH16A1,No,No,No
Q8IZA0,KIAA0319L,No,No,No
Q8IZC4,RTKN2,No,No,No
Q8IZC7,ZNF101,No,No,No
Q8IZD2,KMT2E,No,No,No
Q8IZD4,DCP1B,No,No,No
Q8IZD9,DOCK3,No,No,No
Q8IZE3,SCYL3,No,No,No
Q8IZH2,XRN1,No,No,No
Q8IZK6,MCOLN2,No,No,No
Q8IZL2,MAML2,No,No,No
Q8IZL8,PELP1,No,No,No
Q8IZL9,CDK20,No,No,No
Q8IZM8,ZNF654,No,No,No
Q8IZN3,ZDHHC14,No,No,No
Q8IZP0,ABI1,No,No,No
Q8IZQ1,WDFY3,No,No,No
Q8IZQ5,SELENOH,No,No,No
Q8IZR5,CMTM4,No,No,No
Q8IZT6,ASPM,No,No,No
Q8IZU2,WDR17,No,No,No
Q8IZV5,RDH10,No,No,No
Q8IZW8,TNS4,No,No,No
Q8IZY2,ABCA7,No,No,No
Q8N0S6,CENPL,No,No,No
Q8N0T1,RBIS,No,No,No
Q8N0U4,FAM185A,No,No,No
