Protein_Group,Genes,ETP-56035_6hr,ETP-56328_6hr,ETP-56168_6hr
O60381,HBP1,No,No,No
O60427,FADS1,No,No,No
O60437,PPL,No,No,No
O60443,GSDME,No,No,No
O60447,EVI5,No,No,No
O60462,NRP2,No,No,No
O60476,MAN1A2,No,No,No
O60481,ZIC3,No,No,No
O60488,ACSL4,No,No,No
O60493,SNX3,No,No,No
O60499,STX10,No,No,No
O60502,OGA,No,No,No
O60503,ADCY9,No,No,No
O60504,SORBS3,No,No,No
O60506,SYNCRIP,No,No,No
O60507,TPST1,No,No,No
O60508,CDC40,No,No,No
O60512,B4GALT3,No,No,No
O60513,B4GALT4,No,No,No
O60518,RANBP6,No,No,No
O60524,NEMF,No,No,No
O60547,GMDS,No,No,No
O60551,NMT2,No,No,No
O60563,CCNT1,No,No,No
O60566,BUB1B,No,No,No
O60568,PLOD3,No,No,No
O60573,EIF4E2,No,No,No
O60583,CCNT2,No,No,No
O60603,TLR2,No,No,No
O60610,DIAPH1,No,No,No
O60613,SELENOF,No,No,No
O60635,TSPAN1,No,No,No
O60637,TSPAN3,No,No,No
O60645,EXOC3,No,No,No
O60658,PDE8A,No,No,No
O60664,PLIN3,No,No,No
O60669,SLC16A7,No,No,No
O60671,RAD1,No,No,No
O60673,REV3L,No,No,No
O60674,JAK2,No,No,No
O60675,MAFK,No,No,No
O60678,PRMT3,No,No,No
O60683,PEX10,No,No,No
O60684,KPNA6,No,No,No
O60701,UGDH,No,No,No
O60704,TPST2,No,No,No
O60711,LPXN,No,No,No
O60716,CTNND1,No,No,No
O60725,ICMT,No,No,No
O60739,EIF1B,No,No,No
O60749,SNX2,No,No,No
O60762,DPM1,No,No,No
O60763,USO1,No,No,No
O60765,ZNF354A,No,No,No
O60779,SLC19A2,No,No,No
O60783,MRPS14,No,No,No
O60784,TOM1,No,No,No
O60812;B7ZW38;P0DMR1,HNRNPCL1;HNRNPCL3;HNRNPCL4,No,No,No
O60825,PFKFB2,No,No,No
O60826,CCDC22,No,No,No
O60828,PQBP1,No,No,No
O60830,TIMM17B,No,No,No
O60831,PRAF2,No,No,No
O60832,DKC1,No,No,No
O60841,EIF5B,No,No,No
O60858,TRIM13,No,No,No
O60861,GAS7,No,No,No
O60869,EDF1,No,No,No
O60870,KIN,No,No,No
O60879,DIAPH2,No,No,No
O60884,DNAJA2,No,No,No
O60885,BRD4,No,No,No
O60888,CUTA,No,No,No
O60890,OPHN1,No,No,No
O60906,SMPD2,No,No,No
O60907,TBL1X,No,No,No
O60909,B4GALT2,No,No,No
O60911,CTSV,No,No,No
O60921,HUS1,No,No,No
O60925,PFDN1,No,No,No
O60927,PPP1R11,No,No,No
O60930,RNASEH1,No,No,No
O60934,NBN,No,No,No
O60936,NOL3,No,No,No
O60941,DTNB,No,No,No
O60942,RNGTT,No,No,No
O75027,ABCB7,No,No,No
O75030,MITF,No,No,No
O75044,SRGAP2,No,No,No
O75052,NOS1AP,No,No,No
O75054,IGSF3,No,No,No
O75061,DNAJC6,No,No,No
O75063,FAM20B,No,No,No
O75064,DENND4B,No,No,No
O75071,EFCAB14,No,No,No
O75072,FKTN,No,No,No
O75083,WDR1,No,No,No
O75084,FZD7,No,No,No
O75094,SLIT3,No,No,No
O75110,ATP9A,No,No,No
O75113,N4BP1,No,No,No
O75116,ROCK2,No,No,No
