Protein_Group	Genes	Protein_Names	HEK293T_WT_Avg_Peptide_Count	HEK293T_KI_Avg_Peptide_Count	U2OS_WT_Avg_Peptide_Count	U2OS_KI_Avg_Peptide_Count	Species	Intensity_HEK293T_WT_BR1_TR1	Intensity_HEK293T_KI_BR1_TR1	Intensity_U2OS_WT_BR1_TR1	Intensity_U2OS_KI_BR1_TR1
P54105	CLNS1A	ICLN_HUMAN	7.0	6.0	7.0	7.0	HUMAN	57741652.0	53904468.0	32877164.0	33074676.0
P54108	CRISP3	CRIS3_HUMAN	0.0	0.0	2.0	0.0	HUMAN			119192.5	
P54132	BLM	BLM_HUMAN	9.0	12.0	13.0	9.0	HUMAN	211839.66	166670.84	243426.86	119501.36
P54136	RARS1	SYRC_HUMAN	40.0	39.0	40.0	41.0	HUMAN	3824215.5	4065380.0	3721024.8	3755247.5
P54198	HIRA	HIRA_HUMAN	5.0	4.0	6.0	6.0	HUMAN	115812.55	138498.2	241546.25	173107.45
P54252	ATXN3	ATX3_HUMAN	2.0	2.0	2.0	2.0	HUMAN	155509.78	145366.14	214361.06	142346.34
P54259	ATN1	ATN1_HUMAN	0.0	0.0	3.0	4.0	HUMAN			205586.8	115170.42
P54274	TERF1	TERF1_HUMAN	2.0	2.0	3.0	3.0	HUMAN	102041.35	189977.6	249282.67	370442.75
P54277	PMS1	PMS1_HUMAN	0.0	0.0	3.0	3.0	HUMAN			402852.1	409261.1
P54278	PMS2	PMS2_HUMAN	0.0	0.0	3.0	4.0	HUMAN			104818.31	108383.27
P54289	CACNA2D1	CA2D1_HUMAN	3.0	2.0	7.0	9.0	HUMAN	93441.555	81626.25	268918.25	697974.9
P54577	YARS1	SYYC_HUMAN	34.0	33.0	32.0	30.0	HUMAN	2839886.8	2719069.2	1502153.2	1440256.5
P54578	USP14	UBP14_HUMAN	16.0	13.0	13.0	12.0	HUMAN	881050.56	766427.75	665564.1	573519.4
P54619	PRKAG1	AAKG1_HUMAN	16.0	15.0	17.0	16.0	HUMAN	1247671.8	1026370.6	1424457.4	1482450.8
P54652	HSPA2	HSP72_HUMAN	2.0	0.0	0.0	0.0	HUMAN	98092.5			
P54687	BCAT1	BCAT1_HUMAN	3.0	5.0	6.0	5.0	HUMAN	624791.5	852861.8	1451783.5	1088064.9
P54707	ATP12A	AT12A_HUMAN	0.0	6.0	0.0	0.0	HUMAN		335367.25		
P54709	ATP1B3	AT1B3_HUMAN	9.0	9.0	8.0	6.0	HUMAN	3943089.8	3291042.5	1175732.6	1306229.0
P54725	RAD23A	RD23A_HUMAN	3.0	3.0	2.0	0.0	HUMAN	559450.6	491184.88	422811.5	
P54727	RAD23B	RD23B_HUMAN	5.0	6.0	6.0	5.0	HUMAN	1255013.9	1349288.0	956468.7	933070.6
P54764	EPHA4	EPHA4_HUMAN	3.0	3.0	0.0	0.0	HUMAN	45406.613	68308.81		
P54803	GALC	GALC_HUMAN	0.0	0.0	2.0	2.0	HUMAN			149374.89	159448.14
P54819	AK2	KAD2_HUMAN	7.0	8.0	7.0	6.0	HUMAN	685279.2	766512.9	147950.83	234835.2
P54886	ALDH18A1	P5CS_HUMAN	27.0	27.0	27.0	20.0	HUMAN	1349079.5	1487748.6	878339.56	609624.4
P54920	NAPA	SNAA_HUMAN	13.0	13.0	14.0	15.0	HUMAN	639285.6	652571.9	630745.2	666558.75
P55010	EIF5	IF5_HUMAN	22.0	23.0	24.0	24.0	HUMAN	2874688.0	2370384.0	2164618.5	2102416.0
P55011	SLC12A2	S12A2_HUMAN	17.0	18.0	18.0	18.0	HUMAN	461776.28	437419.5	478649.34	477829.66
P55036	PSMD4	PSMD4_HUMAN	15.0	15.0	15.0	15.0	HUMAN	7197875.0	6385931.0	7015906.0	7220201.0
P55039	DRG2	DRG2_HUMAN	10.0	11.0	10.0	9.0	HUMAN	713179.8	804187.25	545839.9	546740.3
P55040	GEM	GEM_HUMAN	2.0	0.0	7.0	7.0	HUMAN	45777.66		376607.7	327503.44
P55055	NR1H2	NR1H2_HUMAN	0.0	0.0	4.0	4.0	HUMAN			444164.22	526887.56
P55060	CSE1L	XPO2_HUMAN	51.0	49.0	46.0	49.0	HUMAN	6578041.5	6941946.0	6453228.0	8229078.0
P55072	VCP	TERA_HUMAN	87.0	83.0	84.0	82.0	HUMAN	14204878.0	14010390.0	19661390.0	19768264.0
P55081	MFAP1	MFAP1_HUMAN	21.0	20.0	19.0	18.0	HUMAN	7190708.0	7435346.5	3353154.2	2901902.8
P55084	HADHB	ECHB_HUMAN	21.0	22.0	22.0	19.0	HUMAN	4352398.0	5100922.5	7816379.5	7000035.5
P55145	MANF	MANF_HUMAN	7.0	6.0	8.0	8.0	HUMAN	9223485.0	6389482.5	13419150.0	10500424.0
P55196	AFDN	AFAD_HUMAN	49.0	46.0	48.0	49.0	HUMAN	2160735.5	1728131.2	2011932.6	2592660.2
P55197	MLLT10	AF10_HUMAN	6.0	7.0	6.0	7.0	HUMAN	413142.4	335315.97	583191.4	336962.66
P55198	MLLT6	AF17_HUMAN	3.0	0.0	6.0	6.0	HUMAN	43176.5		177299.11	133436.19
P55199	ELL	ELL_HUMAN	9.0	11.0	9.0	10.0	HUMAN	486821.06	376432.03	317200.9	253087.67
P55201	BRPF1	BRPF1_HUMAN	5.0	2.0	6.0	6.0	HUMAN	46363.277	48093.875	91481.99	45640.566
P55209	NAP1L1	NP1L1_HUMAN	10.0	10.0	10.0	9.0	HUMAN	8835527.0	11125812.0	10289389.0	10946273.0
P55210	CASP7	CASP7_HUMAN	4.0	0.0	4.0	4.0	HUMAN	151727.16		182505.0	143807.55
P55212	CASP6	CASP6_HUMAN	3.0	3.0	2.0	2.0	HUMAN	79566.74	136103.88	89173.35	94183.48
P55263	ADK	ADK_HUMAN	5.0	5.0	5.0	5.0	HUMAN	155142.31	240262.22	253162.08	167057.95
P55265	ADAR	DSRAD_HUMAN	30.0	32.0	32.0	28.0	HUMAN	561717.9	821549.8	756253.0	803617.0
P55268	LAMB2	LAMB2_HUMAN	0.0	0.0	2.0	0.0	HUMAN			24398.943	
P55327	TPD52	TPD52_HUMAN	5.0	5.0	5.0	5.0	HUMAN	502237.25	348407.6	699997.2	681848.6
P55735	SEC13	SEC13_HUMAN	6.0	7.0	7.0	6.0	HUMAN	649119.5	536417.6	643650.9	837361.2
P55769	SNU13	NH2L1_HUMAN	6.0	6.0	6.0	6.0	HUMAN	4060393.2	4224515.5	4045386.8	3310192.8
P55786	NPEPPS	PSA_HUMAN	30.0	30.0	28.0	30.0	HUMAN	1004426.4	1163835.8	556263.94	486460.72
P55789	GFER	ALR_HUMAN	3.0	0.0	3.0	3.0	HUMAN	15906.894		8108.606	19075.541
P55795	HNRNPH2	HNRH2_HUMAN	7.0	8.0	8.0	8.0	HUMAN	1510742.9	1633160.6	2123620.0	2373275.5
P55809	OXCT1	SCOT1_HUMAN	3.0	0.0	2.0	2.0	HUMAN	74547.32		163771.52	173635.7
P55854	SUMO3	SUMO3_HUMAN	2.0	2.0	2.0	0.0	HUMAN	5452882.5	5331325.5	2284403.0	
P55884	EIF3B	EIF3B_HUMAN	39.0	39.0	40.0	36.0	HUMAN	13888102.0	12990535.0	14705149.0	14588260.0
P55957	BID	BID_HUMAN	2.0	2.0	3.0	0.0	HUMAN	94504.08	189482.94	105270.93	
P56134	ATP5MF	ATPK_HUMAN	4.0	4.0	4.0	4.0	HUMAN	4906112.5	4973223.5	8774337.0	7204219.5
P56181	NDUFV3	NDUV3_HUMAN	2.0	2.0	2.0	2.0	HUMAN	248066.75	180049.83	118644.82	200463.69
P56182	RRP1	RRP1_HUMAN	8.0	6.0	9.0	8.0	HUMAN	415312.47	282437.94	876376.9	778463.75
P56192	MARS1	SYMC_HUMAN	26.0	23.0	24.0	22.0	HUMAN	2683593.8	2777960.5	1638229.1	1796441.1
P56211	ARPP19	ARP19_HUMAN	3.0	2.0	3.0	2.0	HUMAN	1792413.4	1907119.2	2406817.2	1831027.0
P56270	MAZ	MAZ_HUMAN	12.0	11.0	6.0	6.0	HUMAN	7482372.0	6873400.5	2062361.0	1394347.9
P56277	CMC4	CMC4_HUMAN	2.0	0.0	0.0	0.0	HUMAN	149224.9			
P56282	POLE2	DPOE2_HUMAN	6.0	5.0	5.0	2.0	HUMAN	176131.95	254050.84	144054.98	216409.75
P56377	AP1S2	AP1S2_HUMAN	3.0	3.0	3.0	3.0	HUMAN	226561.36	212887.92	202465.45	147383.66
P56381;Q5VTU8	ATP5F1EP2	AT5EL_HUMAN;ATP5E_HUMAN	2.0	2.0	2.0	2.0	HUMAN	7785499.5	8580484.0	10084424.0	9525508.0
P56385	ATP5ME	ATP5I_HUMAN	3.0	3.0	2.0	2.0	HUMAN	5586371.5	4649677.0	3389914.5	4165177.5
P56537	EIF6	IF6_HUMAN	6.0	6.0	7.0	7.0	HUMAN	1878812.0	2558465.2	3143754.2	2998417.8
P56545	CTBP2	CTBP2_HUMAN	10.0	12.0	10.0	12.0	HUMAN	2602245.2	2788698.0	2514686.0	2401363.0
P56556	NDUFA6	NDUA6_HUMAN	8.0	9.0	8.0	6.0	HUMAN	3579162.8	3787831.0	2179477.8	1952355.9
P56559	ARL4C	ARL4C_HUMAN	3.0	2.0	4.0	2.0	HUMAN	163130.52	209680.34	736094.2	648774.3
P56589	PEX3	PEX3_HUMAN	11.0	10.0	10.0	9.0	HUMAN	579531.94	568961.2	565033.4	573011.6
P56652	ITIH3	ITIH3_BOVIN	2.0	0.0	5.0	5.0	BOVIN	107284.68		577185.06	565497.5
P56937	HSD17B7	DHB7_HUMAN	4.0	4.0	4.0	4.0	HUMAN	212362.4	230045.05	145669.83	193609.39
P56945	BCAR1	BCAR1_HUMAN	2.0	2.0	2.0	2.0	HUMAN	135087.62	185860.33	85425.28	125641.94
P56962	STX17	STX17_HUMAN	5.0	2.0	5.0	3.0	HUMAN	275772.78	346531.97	244136.72	242283.45
P57058	HUNK	HUNK_HUMAN	3.0	0.0	4.0	3.0	HUMAN	204816.58		286973.06	316548.75
P57060	RWDD2B	RWD2B_HUMAN	3.0	3.0	0.0	0.0	HUMAN	63442.7	89323.68		
P57076	CFAP298	CF298_HUMAN	6.0	6.0	4.0	3.0	HUMAN	892612.2	627452.1	184783.34	167605.28
P57081	WDR4	WDR4_HUMAN	3.0	3.0	2.0	2.0	HUMAN	405346.88	228739.83	174913.36	99094.39
P57088	TMEM33	TMM33_HUMAN	7.0	7.0	7.0	7.0	HUMAN	7403236.0	7616159.0	10271841.0	6754761.5
P57105	SYNJ2BP	SYJ2B_HUMAN	4.0	4.0	4.0	4.0	HUMAN	317167.38	503510.97	216874.28	537035.8
P57678	GEMIN4	GEMI4_HUMAN	19.0	20.0	20.0	18.0	HUMAN	756827.7	948761.9	734209.5	729842.5
P57737	CORO7	CORO7_HUMAN	5.0	3.0	4.0	4.0	HUMAN	38840.28	54982.793	34066.54	35960.5
P57740	NUP107	NU107_HUMAN	27.0	27.0	27.0	26.0	HUMAN	1003116.1	1172382.0	798709.44	831141.6
P57764	GSDMD	GSDMD_HUMAN	0.0	0.0	8.0	8.0	HUMAN			1920486.0	1470979.5
P57772	EEFSEC	SELB_HUMAN	6.0	3.0	5.0	0.0	HUMAN	309035.84	172148.11	139753.23	
P58004	SESN2	SESN2_HUMAN	3.0	3.0	0.0	0.0	HUMAN	105346.414	104443.32		
P58107	EPPK1	EPIPL_HUMAN	0.0	10.0	6.0	5.0	HUMAN		418264.47	298467.78	228437.45
P58340	MLF1	MLF1_HUMAN	2.0	2.0	0.0	2.0	HUMAN	46385.094	40158.97		33660.03
P58546	MTPN	MTPN_HUMAN	5.0	5.0	5.0	5.0	HUMAN	4211769.5	3140914.8	2382116.5	1513138.5
P59665;P59666	DEFA1B	DEF1_HUMAN;DEF3_HUMAN	0.0	0.0	2.0	2.0	HUMAN			471343.8	72202.98
P59780	AP3S2	AP3S2_HUMAN	3.0	3.0	3.0	0.0	HUMAN	488443.4	579914.75	74994.61	
P59998	ARPC4	ARPC4_HUMAN	5.0	5.0	5.0	5.0	HUMAN	1756627.6	1947723.6	2852848.8	5497010.0
P60002	ELOF1	ELOF1_HUMAN	2.0	2.0	2.0	0.0	HUMAN	1930288.8	1974157.6	857234.0	
P60033	CD81	CD81_HUMAN	4.0	3.0	3.0	4.0	HUMAN	620811.75	469825.88	298842.0	310272.78
P60174	TPI1	TPIS_HUMAN	18.0	19.0	18.0	19.0	HUMAN	3179212.0	4092294.2	2379463.2	1676940.2
P60228	EIF3E	EIF3E_HUMAN	23.0	25.0	26.0	20.0	HUMAN	9975366.0	10387163.0	11812919.0	11528290.0
P60468	SEC61B	SC61B_HUMAN	3.0	3.0	3.0	3.0	HUMAN	9158288.0	8282527.5	14666807.0	12824563.0
P60510	PPP4C	PP4C_HUMAN	6.0	6.0	7.0	6.0	HUMAN	343281.16	297736.2	254918.39	297124.44
P60520	GABARAPL2	GBRL2_HUMAN	7.0	7.0	5.0	4.0	HUMAN	1605808.2	1432322.8	711296.75	883517.6
P60604	UBE2G2	UB2G2_HUMAN	0.0	0.0	2.0	0.0	HUMAN			2114962.2	
P60660	MYL6	MYL6_HUMAN	9.0	8.0	10.0	10.0	HUMAN	16138466.0	15551943.0	343166430.0	689677440.0
P60709;P60712;P63261	ACTB	ACTB_BOVIN;ACTB_HUMAN;ACTG_HUMAN	12.0	13.0	19.0	21.0	HUMAN	353787330.0	136318100.0	1920805400.0	5663198700.0
P60842	EIF4A1	IF4A1_HUMAN	33.0	32.0	30.0	29.0	HUMAN	14738881.0	14386905.0	7702963.0	6301579.5
P60866	RPS20	RS20_HUMAN	10.0	10.0	9.0	8.0	HUMAN	663505540.0	499019780.0	495038100.0	522635700.0
P60891	PRPS1	PRPS1_HUMAN	23.0	24.0	24.0	18.0	HUMAN	19552936.0	16200512.0	5467151.0	4924154.0
P60900	PSMA6	PSA6_HUMAN	15.0	15.0	15.0	15.0	HUMAN	13286087.0	13117213.0	9851292.0	9862974.0
P60953	CDC42	CDC42_HUMAN	11.0	10.0	11.0	11.0	HUMAN	1220185.9	1244824.0	2790393.0	3835254.5
P60981	DSTN	DEST_HUMAN	9.0	8.0	7.0	8.0	HUMAN	4831396.0	4147286.8	3679185.2	4542295.5
P60983	GMFB	GMFB_HUMAN	3.0	3.0	3.0	2.0	HUMAN	314515.88	268039.7	341690.75	451640.66
P61006	RAB8A	RAB8A_HUMAN	10.0	10.0	12.0	10.0	HUMAN	1135798.4	1410649.4	1439139.9	1412989.6
P61009	SPCS3	SPCS3_HUMAN	4.0	4.0	4.0	4.0	HUMAN	1423240.0	1452525.5	1986452.0	1815371.0
P61011	SRP54	SRP54_HUMAN	22.0	23.0	23.0	23.0	HUMAN	2924972.0	2784072.0	2540436.8	2085545.9
P61019	RAB2A	RAB2A_HUMAN	11.0	11.0	11.0	11.0	HUMAN	1204995.8	1384665.6	1300053.8	2261121.0
P61020	RAB5B	RAB5B_HUMAN	5.0	4.0	4.0	3.0	HUMAN	451672.44	676709.4	499530.72	850884.2
P61024	CKS1B	CKS1_HUMAN	2.0	2.0	3.0	3.0	HUMAN	1202085.1	1020371.6	1726678.9	1812984.0
P61026	RAB10	RAB10_HUMAN	15.0	15.0	14.0	14.0	HUMAN	11114810.0	10853001.0	16486485.0	17410376.0
P61077	UBE2D3	UB2D3_HUMAN	3.0	3.0	3.0	2.0	HUMAN	2963538.0	3987906.2	2315195.0	2004621.5
P61081	UBE2M	UBC12_HUMAN	8.0	8.0	8.0	8.0	HUMAN	1628486.5	1542492.6	186831.55	241027.64
P61086	UBE2K	UBE2K_HUMAN	2.0	2.0	2.0	2.0	HUMAN	881006.4	503609.25	510738.47	292939.62
P61088	UBE2N	UBE2N_HUMAN	6.0	6.0	6.0	6.0	HUMAN	1647645.4	2006714.0	852826.3	541231.44
P61106	RAB14	RAB14_HUMAN	15.0	14.0	13.0	13.0	HUMAN	1217964.4	1392417.1	985562.9	1106143.2
P61158	ACTR3	ARP3_HUMAN	12.0	15.0	17.0	19.0	HUMAN	1380681.8	1298158.1	2204445.8	4180231.2
P61160	ACTR2	ARP2_HUMAN	17.0	17.0	17.0	18.0	HUMAN	2052869.4	2252233.8	2183756.8	4665939.5
P61163	ACTR1A	ACTZ_HUMAN	20.0	21.0	17.0	20.0	HUMAN	4726882.0	5230706.5	6557575.0	8486901.0
P61201	COPS2	CSN2_HUMAN	21.0	21.0	19.0	20.0	HUMAN	1861981.4	1839147.4	1417929.4	1201923.1
P61204;P84077	ARF1	ARF1_HUMAN;ARF3_HUMAN	10.0	9.0	10.0	10.0	HUMAN	4577677.5	5085082.5	4551146.0	4345098.0
P61218	POLR2F	RPAB2_HUMAN	3.0	3.0	2.0	2.0	HUMAN	314233.38	316466.34	166025.16	202233.98
P61221	ABCE1	ABCE1_HUMAN	16.0	15.0	17.0	15.0	HUMAN	637274.75	562033.44	775724.56	414192.47
P61224	RAP1B	RAP1B_HUMAN	12.0	9.0	12.0	11.0	HUMAN	7486578.5	6403412.5	8705740.0	9926437.0
P61225	RAP2B	RAP2B_HUMAN	5.0	6.0	7.0	8.0	HUMAN	1176614.9	952469.06	1608935.4	2487601.8
P61244	MAX	MAX_HUMAN	4.0	4.0	2.0	4.0	HUMAN	305799.8	158395.25	157015.28	324094.66
P61247	RPS3A	RS3A_HUMAN	22.0	23.0	24.0	23.0	HUMAN	5204787.5	10988628.0	11283149.0	11923069.0
P61254	RPL26	RL26_HUMAN	5.0	5.0	6.0	7.0	HUMAN	748546.5	1278216.1	1723633.6	1508872.2
P61289	PSME3	PSME3_HUMAN	15.0	15.0	14.0	14.0	HUMAN	3126589.0	3927751.8	2252149.5	1731909.9
P61313	RPL15	RL15_HUMAN	3.0	3.0	4.0	4.0	HUMAN	129769.52	250961.67	559848.75	528051.1
P61326;Q96A72	MAGOHB	MGN2_HUMAN;MGN_HUMAN	9.0	10.0	10.0	9.0	HUMAN	17851032.0	19473326.0	17194450.0	17898616.0
P61353	RPL27	RL27_HUMAN	5.0	7.0	6.0	6.0	HUMAN	710035.1	1184326.9	1821028.0	2224306.0
P61421	ATP6V0D1	VA0D1_HUMAN	5.0	4.0	5.0	5.0	HUMAN	605625.3	434615.4	273967.78	608704.2
P61457	PCBD1	PHS_HUMAN	0.0	2.0	2.0	2.0	HUMAN		95353.484	195814.84	123871.99
P61513	RPL37A	RL37A_HUMAN	8.0	8.0	8.0	8.0	HUMAN	1543261.9	1742135.2	4536007.5	2487154.8
P61586	RHOA	RHOA_HUMAN	13.0	11.0	14.0	12.0	HUMAN	2230316.0	2387524.5	3120565.2	3776859.2
P61587	RND3	RND3_HUMAN	8.0	7.0	9.0	7.0	HUMAN	432864.22	404178.66	859544.7	1042412.3
P61599	NAA20	NAA20_HUMAN	4.0	4.0	3.0	3.0	HUMAN	158320.2	292471.66	178605.44	172513.89
P61604	HSPE1	CH10_HUMAN	8.0	7.0	8.0	7.0	HUMAN	4534955.5	5221234.5	2996216.8	2677169.2
P61619	SEC61A1	S61A1_HUMAN	11.0	11.0	11.0	10.0	HUMAN	6905936.5	7750537.5	10308859.0	10947168.0
P61626	LYZ	LYSC_HUMAN	10.0	8.0	12.0	8.0	HUMAN	1769875.8	1633995.2	9242770.0	1583137.5
P61758	VBP1	PFD3_HUMAN	7.0	5.0	6.0	6.0	HUMAN	1321471.1	1440504.2	819722.8	918497.06
P61764	STXBP1	STXB1_HUMAN	4.0	4.0	3.0	3.0	HUMAN	47250.742	81478.22	33176.527	34112.746
P61769	B2M	B2MG_HUMAN	3.0	3.0	3.0	3.0	HUMAN	275917.06	366602.53	1419882.6	358101.16
P61803	DAD1	DAD1_HUMAN	3.0	3.0	3.0	2.0	HUMAN	836643.7	1058340.6	1036141.44	1056468.6
P61812	TGFB2	TGFB2_HUMAN	0.0	0.0	7.0	7.0	HUMAN			1660077.9	1923318.6
P61916	NPC2	NPC2_HUMAN	2.0	0.0	5.0	4.0	HUMAN	278313.8		556880.3	396680.34
P61923	COPZ1	COPZ1_HUMAN	6.0	6.0	6.0	6.0	HUMAN	1404952.4	1193197.0	1108734.0	1002887.5
P61956	SUMO2	SUMO2_HUMAN	2.0	2.0	2.0	2.0	HUMAN	3698814.8	3945465.2	1777265.4	1981582.8
P61960	UFM1	UFM1_HUMAN	4.0	4.0	4.0	4.0	HUMAN	509649.6	694574.0	789786.3	950780.75
P61962	DCAF7	DCAF7_HUMAN	13.0	13.0	12.0	13.0	HUMAN	1689291.8	1487981.9	949196.2	1328640.1
P61964	WDR5	WDR5_HUMAN	9.0	9.0	9.0	9.0	HUMAN	1222615.8	1208103.4	1450865.6	1600648.1
P61966	AP1S1	AP1S1_HUMAN	4.0	4.0	4.0	5.0	HUMAN	343778.62	365183.12	760404.75	838545.06
P61970	NUTF2	NTF2_HUMAN	3.0	3.0	2.0	0.0	HUMAN	769089.2	658325.1	515551.62	
P61978	HNRNPK	HNRPK_HUMAN	51.0	50.0	50.0	50.0	HUMAN	281508100.0	224466050.0	396105920.0	393693380.0
P61981	YWHAG	1433G_HUMAN	12.0	9.0	12.0	11.0	HUMAN	3281460.8	3553879.0	4010302.0	4297930.0
P62068	USP46	UBP46_HUMAN	0.0	2.0	3.0	5.0	HUMAN		656784.25	999869.3	1157202.9
P62070	RRAS2	RRAS2_HUMAN	9.0	9.0	10.0	11.0	HUMAN	1070965.2	1246934.5	3672996.0	8182526.0
P62072	TIMM10	TIM10_HUMAN	2.0	2.0	0.0	0.0	HUMAN	61070.945	68871.02		
P62081	RPS7	RS7_HUMAN	11.0	12.0	12.0	10.0	HUMAN	166073260.0	150661340.0	213118780.0	166208670.0
P62136	PPP1CA	PP1A_HUMAN	19.0	17.0	20.0	21.0	HUMAN	3717206.0	3636867.5	6946716.0	22759504.0
P62140	PPP1CB	PP1B_HUMAN	4.0	4.0	5.0	6.0	HUMAN	4174140.2	3373980.0	8162512.0	28527816.0
P62191	PSMC1	PRS4_HUMAN	29.0	28.0	29.0	29.0	HUMAN	5639104.5	5044888.0	6394990.0	6508715.0
P62195	PSMC5	PRS8_HUMAN	30.0	29.0	30.0	31.0	HUMAN	3490428.5	3670364.2	3739466.8	3227154.2
P62241	RPS8	RS8_HUMAN	9.0	12.0	14.0	11.0	HUMAN	5641138.0	5864110.5	14757205.0	9074532.0
P62244	RPS15A	RS15A_HUMAN	10.0	10.0	10.0	9.0	HUMAN	28169644.0	43115390.0	35287452.0	39507828.0
P62249	RPS16	RS16_HUMAN	15.0	13.0	14.0	14.0	HUMAN	69241100.0	62115756.0	69715016.0	69082424.0
P62258	YWHAE	1433E_HUMAN	22.0	23.0	19.0	22.0	HUMAN	10991967.0	13042151.0	6000450.5	8362320.5
P62263	RPS14	RS14_HUMAN	15.0	14.0	15.0	15.0	HUMAN	203954800.0	164532750.0	225842980.0	182064130.0
P62266	RPS23	RS23_HUMAN	5.0	4.0	5.0	5.0	HUMAN	11538008.0	9604732.0	32196070.0	27177004.0
P62269	RPS18	RS18_HUMAN	15.0	16.0	16.0	15.0	HUMAN	49702720.0	33292598.0	76993896.0	66179060.0
P62273	RPS29	RS29_HUMAN	4.0	3.0	5.0	4.0	HUMAN	241915380.0	180428850.0	165222980.0	206107680.0
P62277	RPS13	RS13_HUMAN	11.0	11.0	11.0	11.0	HUMAN	6350948.5	12362052.0	12788800.0	14021812.0
P62280	RPS11	RS11_HUMAN	9.0	8.0	10.0	10.0	HUMAN	5413191.5	7130139.0	9663368.0	7386663.0
P62304	SNRPE	RUXE_HUMAN	5.0	6.0	6.0	5.0	HUMAN	31259148.0	31404578.0	23841926.0	20368030.0
P62306	SNRPF	RUXF_HUMAN	2.0	2.0	2.0	2.0	HUMAN	4712492.0	4778294.5	2492813.0	3866993.0
P62310	LSM3	LSM3_HUMAN	3.0	3.0	4.0	4.0	HUMAN	5865980.5	4030927.2	9037864.0	7138558.5
P62312	LSM6	LSM6_HUMAN	4.0	4.0	4.0	4.0	HUMAN	2720576.8	2632520.0	4100741.0	4720813.5
P62314	SNRPD1	SMD1_HUMAN	9.0	9.0	9.0	9.0	HUMAN	21048060.0	22499716.0	20509948.0	17179048.0
P62316	SNRPD2	SMD2_HUMAN	14.0	13.0	13.0	11.0	HUMAN	45685948.0	42899600.0	41284788.0	37955864.0
P62318	SNRPD3	SMD3_HUMAN	10.0	9.0	10.0	10.0	HUMAN	149367660.0	152419000.0	116060584.0	141339180.0
P62330	ARF6	ARF6_HUMAN	6.0	6.0	6.0	6.0	HUMAN	1307303.2	1189931.1	1599204.6	1524560.4
P62333	PSMC6	PRS10_HUMAN	28.0	26.0	27.0	25.0	HUMAN	2181040.5	2021521.5	2591903.8	2507817.2
P62341	SELENOT	SELT_HUMAN	2.0	0.0	2.0	2.0	HUMAN	112662.06		94350.234	155432.98
P62424	RPL7A	RL7A_HUMAN	7.0	8.0	10.0	10.0	HUMAN	19824398.0	26577484.0	55004884.0	45083108.0
P62487	POLR2G	RPB7_HUMAN	7.0	7.0	6.0	7.0	HUMAN	357626.22	438165.0	221546.42	255639.95
P62495	ETF1	ERF1_HUMAN	18.0	17.0	18.0	17.0	HUMAN	1780103.9	1955397.8	1329364.5	1190028.9
P62633	CNBP	CNBP_HUMAN	12.0	10.0	12.0	10.0	HUMAN	12527900.0	11227255.0	7632090.5	10566957.0
P62701	RPS4X	RS4X_HUMAN	20.0	19.0	23.0	22.0	HUMAN	5619241.0	5091990.0	9810641.0	8287094.0
P62750	RPL23A	RL23A_HUMAN	11.0	10.0	11.0	10.0	HUMAN	41128064.0	42740876.0	76348040.0	63678068.0
P62753	RPS6	RS6_HUMAN	9.0	10.0	11.0	10.0	HUMAN	3124099.5	3037123.8	13524353.0	7211374.5
P62805	H4-16	H4_HUMAN	7.0	8.0	8.0	7.0	HUMAN	10014038.0	12883748.0	44075750.0	29945456.0
P62820	RAB1A	RAB1A_HUMAN	13.0	13.0	11.0	13.0	HUMAN	2800387.8	2735667.0	4469884.0	5829187.0
P62826	RAN	RAN_HUMAN	10.0	10.0	10.0	10.0	HUMAN	200537920.0	195573840.0	158883100.0	118011110.0
P62829	RPL23	RL23_HUMAN	14.0	15.0	16.0	15.0	HUMAN	28825786.0	31062504.0	54655916.0	45191084.0
P62834	RAP1A	RAP1A_HUMAN	0.0	0.0	2.0	2.0	HUMAN			1023572.8	1601884.0
P62841	RPS15	RS15_HUMAN	5.0	5.0	4.0	5.0	HUMAN	10575763.0	12968696.0	10149274.0	11169894.0
P62847	RPS24	RS24_HUMAN	4.0	4.0	4.0	4.0	HUMAN	1395769.5	1745329.4	3983337.5	3127961.5
P62851	RPS25	RS25_HUMAN	6.0	7.0	8.0	5.0	HUMAN	187932720.0	163807900.0	272456960.0	205900450.0
P62854	RPS26	RS26_HUMAN	3.0	3.0	3.0	3.0	HUMAN	2087579.5	2346512.5	10791461.0	6777006.0
P62857	RPS28	RS28_HUMAN	8.0	6.0	6.0	6.0	HUMAN	12359551.0	14300089.0	9906496.0	7769962.5
P62873	GNB1	GBB1_HUMAN	3.0	3.0	3.0	3.0	HUMAN	990843.2	856748.8	1885878.1	3756412.0
P62875	POLR2L	RPAB5_HUMAN	3.0	3.0	3.0	3.0	HUMAN	572743.44	469518.9	846298.56	731023.8
P62877	RBX1	RBX1_HUMAN	2.0	2.0	2.0	2.0	HUMAN	339955.03	433597.47	388582.97	459822.47
P62879	GNB2	GBB2_HUMAN	7.0	7.0	8.0	8.0	HUMAN	1071967.9	1002120.1	3050783.2	5934093.0
P62888	RPL30	RL30_HUMAN	13.0	13.0	12.0	13.0	HUMAN	15239200.0	15712639.0	12948820.0	16801964.0
P62899	RPL31	RL31_HUMAN	5.0	5.0	5.0	5.0	HUMAN	1799306.6	2267812.0	5595134.5	3943025.5
