Protein_Group	Genes	Protein_Names	HEK293T_WT_Avg_Peptide_Count	HEK293T_KI_Avg_Peptide_Count	U2OS_WT_Avg_Peptide_Count	U2OS_KI_Avg_Peptide_Count	Species	Intensity_HEK293T_WT_BR1_TR1	Intensity_HEK293T_KI_BR1_TR1	Intensity_U2OS_WT_BR1_TR1	Intensity_U2OS_KI_BR1_TR1
O15126	SCAMP1	SCAM1_HUMAN	6.0	5.0	5.0	7.0	HUMAN	493857.78	585992.6	426327.75	514808.28
O15127	SCAMP2	SCAM2_HUMAN	4.0	3.0	2.0	3.0	HUMAN	891407.7	682119.75	485650.22	466863.1
O15131	KPNA5	IMA6_HUMAN	2.0	2.0	0.0	2.0	HUMAN	243072.83	260273.77		57673.418
O15143	ARPC1B	ARC1B_HUMAN	11.0	8.0	15.0	18.0	HUMAN	392331.8	281039.8	1114200.9	2918969.8
O15144	ARPC2	ARPC2_HUMAN	18.0	20.0	20.0	23.0	HUMAN	1041147.9	1115799.1	1453667.4	3124115.8
O15145	ARPC3	ARPC3_HUMAN	4.0	3.0	5.0	5.0	HUMAN	1099891.9	1149989.8	1273044.9	2117540.0
O15156	ZBTB7B	ZBT7B_HUMAN	0.0	0.0	2.0	2.0	HUMAN			246955.27	554556.3
O15160	POLR1C	RPAC1_HUMAN	11.0	12.0	9.0	10.0	HUMAN	1621652.1	1631608.6	772081.06	886693.8
O15164	TRIM24	TIF1A_HUMAN	14.0	14.0	9.0	10.0	HUMAN	508278.22	486027.53	207259.98	140196.39
O15169	AXIN1	AXIN1_HUMAN	11.0	9.0	9.0	10.0	HUMAN	458732.72	323418.12	287066.53	219180.47
O15173	PGRMC2	PGRC2_HUMAN	5.0	5.0	5.0	5.0	HUMAN	426342.1	405905.94	478836.34	633671.94
O15198	SMAD9	SMAD9_HUMAN	0.0	2.0	2.0	0.0	HUMAN		32740.588	23552.535	
O15212	PFDN6	PFD6_HUMAN	4.0	4.0	4.0	4.0	HUMAN	296392.03	278819.03	397284.12	356166.0
O15213	WDR46	WDR46_HUMAN	4.0	4.0	10.0	10.0	HUMAN	720984.5	653984.9	2239005.5	1189464.2
O15226	NKRF	NKRF_HUMAN	35.0	35.0	30.0	32.0	HUMAN	2884020.8	3313926.0	1989755.2	1680399.6
O15228	GNPAT	GNPAT_HUMAN	8.0	7.0	3.0	7.0	HUMAN	397404.97	413216.97	280646.78	283468.66
O15231	ZNF185	ZN185_HUMAN	0.0	2.0	24.0	30.0	HUMAN		209322.48	4006107.2	15292275.0
O15234	CASC3	CASC3_HUMAN	7.0	6.0	9.0	9.0	HUMAN	358797.47	335513.25	308444.0	380422.6
O15235	MRPS12	RT12_HUMAN	6.0	5.0	6.0	6.0	HUMAN	5791514.5	6187019.5	3633329.0	4587791.0
O15254	ACOX3	ACOX3_HUMAN	2.0	0.0	2.0	2.0	HUMAN	27725.18		30835.027	41377.0
O15258	RER1	RER1_HUMAN	7.0	7.0	7.0	7.0	HUMAN	2095636.1	2052267.1	2854070.0	3204407.8
O15260	SURF4	SURF4_HUMAN	5.0	7.0	7.0	7.0	HUMAN	3285131.0	4138935.5	6751157.5	8742708.0
O15265	ATXN7	ATX7_HUMAN	0.0	0.0	2.0	0.0	HUMAN			36157.81	
O15269	SPTLC1	SPTC1_HUMAN	13.0	13.0	13.0	13.0	HUMAN	1384619.8	1301596.0	1623337.2	1183520.4
O15270	SPTLC2	SPTC2_HUMAN	13.0	10.0	12.0	11.0	HUMAN	480458.5	386946.6	500791.97	512815.72
O15294	OGT	OGT1_HUMAN	31.0	27.0	31.0	31.0	HUMAN	1227003.6	1246981.6	704362.94	770549.44
O15297	PPM1D	PPM1D_HUMAN	2.0	2.0	3.0	3.0	HUMAN	28692.508	41607.945	98465.98	54078.22
O15304	SIVA1	SIVA_HUMAN	3.0	3.0	0.0	0.0	HUMAN	318833.7	341060.2		
O15305	PMM2	PMM2_HUMAN	4.0	3.0	4.0	5.0	HUMAN	467077.5	474342.72	549146.9	457254.3
O15315	RAD51B	RA51B_HUMAN	2.0	0.0	4.0	2.0	HUMAN	77481.41		56707.348	62947.406
O15318	POLR3G	RPC7_HUMAN	4.0	3.0	3.0	2.0	HUMAN	304070.3	242524.27	191039.95	108252.95
O15344	MID1	TRI18_HUMAN	9.0	6.0	0.0	0.0	HUMAN	651078.4	595505.9		
O15347	HMGB3	HMGB3_HUMAN	8.0	9.0	9.0	8.0	HUMAN	28409648.0	17680096.0	9526064.0	8152875.5
O15355	PPM1G	PPM1G_HUMAN	25.0	25.0	25.0	24.0	HUMAN	3142654.0	3154183.2	2496636.2	2929797.2
O15357	INPPL1	SHIP2_HUMAN	12.0	14.0	16.0	16.0	HUMAN	234939.2	179363.88	318345.53	392369.4
O15360	FANCA	FANCA_HUMAN	2.0	0.0	0.0	0.0	HUMAN	66541.18			
O15371	EIF3D	EIF3D_HUMAN	27.0	26.0	25.0	28.0	HUMAN	16882322.0	12844265.0	17952192.0	16843222.0
O15372	EIF3H	EIF3H_HUMAN	19.0	17.0	17.0	17.0	HUMAN	6320614.5	5961259.5	7887036.5	7988305.0
O15379	HDAC3	HDAC3_HUMAN	4.0	4.0	4.0	2.0	HUMAN	235054.33	227124.98	159837.27	148588.17
O15381	NVL	NVL_HUMAN	19.0	17.0	13.0	14.0	HUMAN	650745.8	592535.8	250849.89	176622.73
