Protein_Group	Genes	48h_vs_0h_logFC	48h_vs_0h_pval	Removed?	Contaminant?
Q8WYQ9	ZCCHC14	0.864091805130403	5.59320043617764e-07	No	No
Q92784	DPF3	0.754947354786429	2.89015754334333e-05	No	No
Q92839	HAS1	11.7059309180494	8.34196097258576e-26	No	No
Q92908	GATA6	1.72934192251568	2.23191513796751e-10	No	No
Q969L2	MAL2	1.61837901081957	1.76937709257473e-08	No	No
Q969X1	TMBIM1	0.797963733149224	1.36139391552046e-05	No	No
Q96FT7	ASIC4	3.88541217924319	4.93458020105748e-22	No	No
Q96FX2	DPH3	1.57413334392152	3.16651123121779e-06	No	No
Q96G30	MRAP2	0.765590590321906	0.00168407963786483	No	No
Q96JG8	MAGED4	0.867627254190491	1.31997896629909e-10	No	No
Q96JK9	MAML3	3.25142332466993	1.22881088319957e-21	No	No
Q96NU1	SAMD11	2.63990174910607	6.68094684082262e-16	No	No
Q96RM1	SPRR2F	2.63641820961844	5.97191189895008e-05	No	No
Q99075	HBEGF	1.26370846841341	1.2599025216421e-05	No	No
Q99958	FOXC2	1.18242510241214	9.59821495171038e-12	No	No
Q99966	CITED1	2.07019760473206	3.66865670202489e-09	No	No
Q9BQE6	LBHD1	1.29904888835754	0.000151950767287275	No	No
Q9BSN7	TMEM204	0.945731070885621	2.13277102944439e-07	No	No
Q9BUD6	SPON2	1.29372084400887	2.87791396934442e-06	No	No
Q9BUX1	CHAC1	0.737629583483638	0.000121372721984587	No	No
Q9BYJ1	ALOXE3	1.03443391066333	0.000740193708068173	No	No
Q9BZ72	PITPNM2	0.816185385465527	4.10142823325368e-09	No	No
Q9BZJ4	SLC25A39	0.833326391073392	1.24779372931811e-11	No	No
Q9GZV5	WWTR1	0.910232218515482	1.04416039823689e-08	No	No
Q9H2A9	CHST8	1.72171946813151	3.11425270300118e-14	No	No
Q9H2E6	SEMA6A	0.821005096144198	2.56797793419998e-08	No	No
Q9H706	GAREM1	0.763592360047031	3.47623371013669e-10	No	No
Q9HB63	NTN4	0.820447888335497	1.10170215157377e-08	No	No
Q9HCH5	SYTL2	1.05039357438417	1.52030265903332e-14	No	No
Q9NQ38	SPINK5	3.85122839732359	0.000336065308963591	No	No
Q9NQ84	GPRC5C	0.901613962185149	2.36263348706492e-17	No	No
Q9NQ92	COPRS	0.701924735616458	0.000429142085796979	No	No
