Protein_Group	Genes	SK-Mel-147_vs_FMC29_logFC	SK-Mel-147_vs_FMC29_pval	Removed?	Contaminant?
Q504Q3	PAN2	7.58749249935097	1.96341999798741e-29	No	No
Q52LW3	ARHGAP29	6.72489200779374	4.12898379022203e-18	No	No
Q53EU6	GPAT3	4.4989188299919	7.37980810927058e-12	No	No
Q53GS7	GLE1	5.71820846935824	2.6377733701146098e-11	No	No
Q58A45	PAN3	7.74125678829839	1.69766357415541e-32	No	No
Q58EX7	PLEKHG4	3.17480394608124	0.0003489421146385	No	No
Q58FF6	HSP90AB4P	4.93325597696543	2.83544873706638e-14	No	No
Q5BVD1	TTMP	6.17351491091805	2.83150733627985e-07	No	No
Q5D862	FLG2	3.26644809095933	0.0010484840244041	No	No
Q5JSZ5	PRRC2B	4.35843001749873	1.15871546462983e-14	No	No
Q5JY77	GPRASP1	7.27998102126275	2.3489259878452298e-11	No	No
Q5SQ80;Q5TYW2;Q5VUR7	ANKRD20A1;ANKRD20A2P;ANKRD20A3P	6.58802619689867	1.28082606239679e-08	No	No
Q5T0N5	FNBP1L	3.63077006100806	2.33193779083303e-24	No	No
Q5T5P2	KIAA1217	3.12125397686508	0.000149601047512	No	No
Q5T6S3	PHF19	3.75519737026167	4.5157628687524494e-11	No	No
Q5T750	KPLCE	4.02653135031737	0.000793041859997	No	No
Q5TAT6	COL13A1	10.5919053811379	9.77120660846517e-33	No	No
Q5TB30	DEPDC1	3.49320688283214	0.0001119202654908	No	No
Q5TCZ1	SH3PXD2A	3.37086540439325	6.23512324361975e-25	No	No
Q5VST6	ABHD17B	4.27673423590153	5.44350568004259e-22	No	No
Q5VUB5	FAM171A1	6.69111168270294	4.2566082895709705e-24	No	No
Q5XG87	TENT4A	3.96618051769532	5.87592739782207e-06	No	No
Q658P3	STEAP3	6.06651626396004	2.79329063956202e-22	No	No
Q659C4	LARP1B	7.98156752896682	1.5526528034593597e-11	No	No
Q68CQ7	GLT8D1	4.45551393974669	6.91271255651508e-16	No	No
Q68D85	NCR3LG1	3.72795722059495	9.73775746392309e-17	No	No
Q69YL0	NCBP2AS2	3.92993901235134	3.1920759321852402e-09	No	No
Q6AI12	ANKRD40	4.32387560908375	8.12523021478773e-18	No	No
Q6DKI1	RPL7L1	4.07311782779558	4.01565590633674e-05	No	No
Q6N022	TENM4	5.44371470225728	1.06932591751303e-13	No	No
Q6NUQ4	TMEM214	4.31632360112788	6.83667693568887e-05	No	No
Q6NW40	RGMB	7.82321898324237	9.53395173783733e-19	No	No
Q6P158	DHX57	4.4100853170028	3.52830143444163e-21	No	No
Q6P499	NIPAL3	6.09405057213751	5.78828931880095e-13	No	No
Q6P4E1	GOLM2	5.8342696500548	1.60112592923707e-18	No	No
Q6P5R6	RPL22L1	4.31200137268744	5.08639956078358e-20	No	No
Q6P9G4	TMEM154	7.12998431273275	2.15069989990843e-20	No	No
Q6PCB8	EMB	3.57749756300121	8.92532894547786e-19	No	No
Q6PCD5	RFWD3	3.05679476957204	0.0001547723729341	No	No
Q6PKG0	LARP1	3.97157872822581	9.20809001907555e-25	No	No
Q6PKX4	DOK6	7.73434988724003	4.20301891681825e-18	No	No
Q6RFH5	WDR74	4.90812400657038	1.71790785975436e-15	No	No
Q6SJ93	FAM111B	7.38633030123665	1.16422227679374e-07	No	No
Q6T4R5	NHS	9.8157998047187	5.42094052171319e-23	No	No
Q6UVY6	MOXD1	3.60451608381839	3.24146909874181e-12	No	No
Q6UWI4	SHISA2	7.31958672435234	1.4186405982979101e-14	No	No
Q6UWP8	SBSN	4.50336129928341	6.93829034758627e-05	No	No
Q6UX15	LAYN	11.1316016081398	4.27224974924538e-37	No	No
Q6UXH8	CCBE1	6.37068473829634	6.608627973263049e-13	No	No
Q6V0I7	FAT4	5.83838647030798	5.3429568960303e-18	No	No
Q6W2J9	BCOR	3.0702862475612	0.0002774337888688	No	No
Q6XE24	RBMS3	4.80182950158004	9.05767197628635e-19	No	No
Q6XZF7	DNMBP	5.45714899571087	5.24402912586077e-26	No	No
Q6ZMP0	THSD4	3.91829608124968	2.16790415110695e-10	No	No
Q6ZN16	MAP3K15	5.38604507055652	7.88737815091956e-13	No	No
Q6ZQW0	IDO2	4.28316388980024	5.1412067581113506e-15	No	No
Q6ZUT6	CCDC9B	5.06141998447031	8.71131464647464e-24	No	No
Q70EK8	USP53	3.72075174438568	2.1467367042930796e-11	No	No
Q71H61	ILDR2	4.86162690381625	3.30348564125905e-12	No	No
Q71RC2	LARP4	8.07412013041291	1.03209651896972e-26	No	No
Q71RC9	SMIM5	7.49178865805064	5.45480932398736e-16	No	No
Q7L2K0	TEDC2	3.15125659158644	3.69562242011157e-07	No	No
Q7RTV0	PHF5A	4.15858380712822	2.9541878180094704e-19	No	No
Q7RTV2	GSTA5	5.24135297095403	1.20464692676697e-09	No	No
Q7Z2W4	ZC3HAV1	3.85871372622501	2.68917174836898e-27	No	No
Q7Z304	MAMDC2	3.88896185011175	2.29323690246524e-13	No	No
Q7Z3B1	NEGR1	5.79980973953516	6.75125746712848e-27	No	No
Q7Z417	NUFIP2	6.68771138316998	1.5196078331820401e-15	No	No
Q7Z553	MDGA2	3.33289515790424	7.70814233280054e-10	No	No
Q7Z5H3	ARHGAP22	7.20377986549535	4.07078397091011e-08	No	No
Q7Z698	SPRED2	4.66100185252152	2.95941760567934e-21	No	No
Q7Z699	SPRED1	4.09919894485972	1.78527374772541e-20	No	No
Q7Z6I6	ARHGAP30	6.06655732562725	2.8399742422305004e-10	No	No
Q7Z6J0	SH3RF1	3.53232016328544	2.31913430602538e-13	No	No
Q7Z6J6	FRMD5	4.44370931024198	1.456032874968e-18	No	No
Q7Z6M3	MILR1	6.91612021800287	1.6931325582376e-25	No	No
Q7Z739	YTHDF3	5.1701078159123	1.04968204021848e-27	No	No
Q86SF2	GALNT7	3.19479149793628	3.13514271802952e-13	No	No
Q86SJ2	AMIGO2	9.48952378952124	1.5078751024939201e-25	No	No
Q86SX3	TEDC1	4.66758679649413	2.19446047569715e-12	No	No
Q86U90	YRDC	3.64293809100868	8.344136153692101e-21	No	No
Q86UD0	SAPCD2	6.86997023169923	8.08004877384739e-10	No	No
Q86UN3	RTN4RL2	7.51611778103308	9.271334195156239e-18	No	No
Q86UW6	N4BP2	5.1139599044363	2.87120399485041e-05	No	No
Q86UW9	DTX2	3.35849303904212	1.90964807084004e-19	No	No
Q86V88	MDP1	3.0768480043463	1.68495454012961e-11	No	No
Q86VR8	FJX1	6.54868232080487	1.55136034821928e-10	No	No
Q86VY9	TMEM200A	4.28374566143668	1.1235732236722599e-11	No	No
Q86VZ2	WDR5B	6.41670105843485	6.83821857019197e-06	No	No
Q86WI1	PKHD1L1	4.70618839038854	1.66090575781688e-15	No	No
Q86XN8	MEX3D	5.63790234746861	2.8608667740748704e-17	No	No
Q86YQ8	CPNE8	4.55131641020246	9.10827514024621e-21	No	No
Q86YV5	PRAG1	3.03370498499444	5.43620623820208e-09	No	No
Q8IUX4	APOBEC3F	5.53995591254613	2.31926072090286e-07	No	No
Q8IVF2	AHNAK2	8.18004735024086	1.2148538002829901e-20	No	No
Q8IW52	SLITRK4	6.2544341974917	2.1974538580546602e-21	No	No
Q8IWA0	WDR75	3.27607113918244	1.9062499528225103e-09	No	No
Q8IWZ8	SUGP1	9.29260147313713	5.0450187807110806e-20	No	No
Q8IY50	SLC35F3	7.04679321559874	1.99408516449201e-19	No	No
Q8IYB1	MB21D2	4.04043205311334	1.24851392986768e-16	No	No
Q8IYJ0	PIANP	5.09003679407665	2.5826192248479302e-20	No	No
Q8IYS1	PM20D2	7.4023622687375	3.6534733741099905e-15	No	No
Q8IZC4	RTKN2	3.31183420148071	4.8516527525117093e-11	No	No
Q8IZU9	KIRREL3	6.30597601502522	1.4531744682164e-11	No	No
Q8N0W4	NLGN4X	4.26053948725439	5.20970961727267e-13	No	No
Q8N114	SHISA5	5.12618086417041	8.84977033154077e-16	No	No
Q8N128	FAM177A1	3.38805770868567	3.43558937104245e-13	No	No
Q8N131	TMEM123	5.2898020726413	3.4682366459519e-17	No	No
Q8N158	GPC2	7.02429572560042	1.04944626442918e-07	No	No
Q8N257	H2BC26	6.31433144213294	1.56817066687509e-20	No	No
Q8N2G4	LYPD1	5.02420298886798	1.4693420762301e-23	No	No
Q8N2G6	ZCCHC24	4.62630404780102	3.00645693661083e-13	No	No
Q8N441	FGFRL1	7.74925764865845	1.20331298821978e-22	No	No
Q8N474	SFRP1	10.0550949410776	2.18231253817999e-20	No	No
Q8N556	AFAP1	3.39289655879537	1.4406561747368902e-15	No	No
Q8N5C1	CALHM5	5.81977618212399	1.60655096465551e-18	No	No
Q8N684	CPSF7	6.21783259122602	4.52545154462003e-28	No	No
Q8N699	MYCT1	3.78025359621081	2.07666464865538e-12	No	No
Q8N6G6	ADAMTSL1	7.99513858897094	1.63914892102466e-21	No	No
Q8N6Y2	LRRC17	5.73768443180998	3.38315332798483e-18	No	No
Q8N884	CGAS	5.34970486915549	1.76175561083452e-20	No	No
Q8N8Z6	DCBLD1	5.91241547261248	1.9622131666691998e-19	No	No
Q8NB16	MLKL	4.30872344125607	5.52076142725522e-19	No	No
Q8NBT0	POC1A	4.07084652158672	3.22922916394547e-08	No	No
Q8NC67	NETO2	5.8826442697047	1.03869653447916e-10	No	No
Q8NCS7	SLC44A5	5.13765879612315	1.50733528752621e-07	No	No
Q8ND25	ZNRF1	3.43432929777688	1.5145360625148298e-11	No	No
Q8ND56	LSM14A	3.73330216061889	1.34795451602141e-19	No	No
Q8NDV7	TNRC6A	7.49612030841982	2.84627878927531e-10	No	No
Q8NFH4	NUP37	3.13148412547936	1.0370939694866501e-20	No	No
Q8NFJ5	GPRC5A	5.57237767857465	1.13178349062857e-24	No	No
Q8NG06	TRIM58	6.23295037272824	2.1875577105363e-25	No	No
Q8NHG7	SVIP	3.38864811277171	2.3869252803632998e-23	No	No
Q8NI17	IL31RA	6.90649776866291	2.3766443632970202e-20	No	No
Q8NI36	WDR36	3.63777950531788	4.65995611011205e-17	No	No
Q8NI99	ANGPTL6	6.86391693206652	2.03677340558708e-12	No	No
Q8TAD7	OCC1	5.38494883390346	5.63185627048274e-17	No	No
Q8TAI7	RHEBL1	3.80009907613956	9.24563977106053e-14	No	No
Q8TAS1	UHMK1	8.26871423989807	6.02998356086751e-09	No	No
Q8TAT2	FGFBP3	6.70764595816963	1.49131151273542e-11	No	No
Q8TCT1	PHOSPHO1	3.22768510352955	1.79447450061656e-05	No	No
Q8TEA1	NSUN6	3.32232630322379	1.7163877547742199e-18	No	No
Q8TEC5	SH3RF2	7.85884614096792	1.77143785628947e-14	No	No
Q8TEJ3	SH3RF3	3.47675983673284	2.00313259810177e-15	No	No
Q8TF66	LRRC15	12.9487409780689	6.75701202499892e-27	No	No
Q8TF74	WIPF2	5.45579816834713	9.101221287905731e-20	No	No
Q8WUB2	FAM216A	6.83694191980089	4.31690366517909e-10	No	No
Q8WUF5	PPP1R13L	9.05312508623579	6.72824925826864e-13	No	No
Q8WUM9	SLC20A1	4.16804967452754	4.1320331841048297e-26	No	No
Q8WUX2	CHAC2	3.53977715660045	1.5740662662749e-19	No	No
Q8WUY9	DEPDC1B	4.46444788499062	2.5969026248946897e-22	No	No
Q8WV41	SNX33	4.97443593814972	3.7287681007948694e-18	No	No
Q8WVP5	TNFAIP8L1	4.12793041455189	4.4085124926478604e-15	No	No
Q8WVV4	POF1B	4.10034930718133	0.0011856609062601	No	No
Q8WW12	PCNP	3.17529261926738	3.31913806090436e-17	No	No
Q8WWC4	MAIP1	3.80422853044063	4.13423074599188e-13	No	No
Q8WWM7	ATXN2L	6.69079460654849	2.3299437602329803e-31	No	No
Q8WXE9	STON2	4.51710933867456	1.39927755283784e-05	No	No
Q8WYP3	RIN2	11.7457845240567	3.65601172316941e-10	No	No
Q8WZ73	RFFL	3.73848668089328	5.541272942605941e-09	No	No
Q8WZ75	ROBO4	7.70431826123173	7.28769242670858e-17	No	No
Q92485	SMPDL3B	4.59526051160781	1.56046398768143e-08	No	No
Q92544	TM9SF4	3.21969429492363	8.3067073383221e-11	No	No
Q92615	LARP4B	6.12591271658318	3.4978960078387e-23	No	No
Q92686	NRGN	4.06074600245621	1.6370499889848e-13	No	No
Q92879	CELF1	3.70973238343468	7.2128585226819e-20	No	No
Q92913	FGF13	3.3309680098893	2.41619740565998e-12	No	No
Q93063	EXT2	6.25394876876251	5.303659773480171e-10	No	No
Q93075	TATDN2	9.98457086825065	2.44247869128723e-13	No	No
Q93099	HGD	5.25685157828896	2.33838314617425e-13	No	No
Q969S3	ZNF622	3.3746539973967	2.3721204160732e-19	No	No
Q969W9	PMEPA1	5.68254519083674	8.123360301630489e-22	No	No
Q969X6	UTP4	3.98409301187499	5.63991000622839e-21	No	No
Q96A37	RNF166	6.53150537657924	9.24509140099602e-12	No	No
Q96AP0	ACD	5.19595046290644	1.71898898653357e-07	No	No
Q96AP7	ESAM	3.30115059155665	0.0011054345846738	No	No
Q96AW1	VOPP1	3.32881315410672	2.11752070260987e-13	No	No
Q96B67	ARRDC3	3.35587478881259	5.86987045192866e-19	No	No
Q96B70	LENG9	4.13365264165484	2.98985455764123e-14	No	No
Q96BZ8	LENG1	3.15698586561762	0.0040400882593002	No	No
Q96CG3	TIFA	5.30675222158495	2.80817985849051e-06	No	No
Q96D09	GPRASP2	6.275246145886	4.2651139297346196e-11	No	No
Q96DC9	OTUB2	3.95812201370975	6.1930369058996405e-09	No	No
Q96DD7	SHISA4	3.44259582529978	1.91473959604876e-16	No	No
Q96DR4	STARD4	3.88079898241092	1.81133847229941e-13	No	No
Q96DU9	PABPC5	4.25893645281711	1.43568744682252e-05	No	No
Q96ES7	SGF29	3.12129591703994	0.0007848331154509	No	No
Q96FN4	CPNE2	3.18544209033652	4.64250661880712e-21	No	No
Q96FX8	PERP	5.66054587676585	1.36631939588051e-16	No	No
Q96GU1	PAGE5	9.86868655169677	9.3286705035395e-38	No	No
Q96IF1	AJUBA	6.64938995086833	1.0012237912971799e-12	No	No
Q96IZ0	PAWR	5.69797117455026	3.2014435687272198e-12	No	No
Q96J02	ITCH	4.26009607325939	5.67944715169301e-29	No	No
Q96JY6	PDLIM2	3.30796141193868	3.64106040562005e-14	No	No
Q96K80	ZC3H10	12.1090271468402	3.26843181475486e-27	No	No
Q96KC2	ARL5B	4.35875718080938	1.63174192714176e-25	No	No
Q96KG7	MEGF10	6.8642484721804	8.61250532534223e-17	No	No
Q96MM7	HS6ST2	8.68232735990069	6.25330896355331e-20	No	No
Q96MT3	PRICKLE1	5.63133128281363	8.34483275820763e-06	No	No
Q96MX0	CMTM3	3.97321321459998	9.90228545502461e-20	No	No
Q96N06	SPATA33	3.42856736487281	5.92061697543833e-13	No	No
Q96N76	UROC1	4.01034405887736	1.07381398408899e-12	No	No
Q96NC0	ZMAT2	3.51310358370842	1.9448336933187e-05	No	No
Q96NS1	YPEL4	3.13084313097129	9.44419859587757e-06	No	No
Q96NU7	AMDHD1	3.31659334160421	6.608790948076421e-09	No	No
Q96P63	SERPINB12	4.36314647194638	9.21923790444853e-07	No	No
Q96PD2	DCBLD2	5.56137177486218	2.7394680813397097e-28	No	No
Q96PL5	ERMAP	3.36446830578855	4.40116131775682e-11	No	No
Q96PP9	GBP4	5.17299621214915	2.39607054880408e-10	No	No
Q96PX9	PLEKHG4B	6.95945080606079	7.57349088485245e-24	No	No
Q96PY5	FMNL2	4.38656486621892	3.52126929511831e-21	No	No
Q96PZ2	FAM111A	4.16404877659651	7.89522372461062e-05	No	No
Q96QA5	GSDMA	3.94602503187186	4.17804850130317e-06	No	No
Q96QB1	DLC1	4.16636071020943	5.91621615140214e-14	No	No
Q96QZ0	PANX3	3.46236188600841	5.35523450500704e-07	No	No
Q96QZ7	MAGI1	3.65494634372105	1.6460418668248601e-21	No	No
Q96RF0	SNX18	3.53451983999769	2.12446529457438e-18	No	No
Q96RI0	F2RL3	3.48236084216784	6.72295966092986e-14	No	No
Q96RU3	FNBP1	3.72320237075805	1.70849144289886e-27	No	No
Q96S99	PLEKHF1	3.21452971626731	6.352314389036451e-14	No	No
Q96T21	SECISBP2	4.58253531828245	3.41506456952198e-08	No	No
Q96T88	UHRF1	3.20533071625334	1.04256795723846e-05	No	No
Q99490	AGAP2	5.94447547881425	2.49231751484634e-13	No	No
Q99618	CDCA3	4.08442950109728	1.42436905279027e-17	No	No
Q99650	OSMR	5.3188437339634	7.712875675932221e-19	No	No
Q99685	MGLL	4.86207792769555	2.53033328647065e-16	No	No
Q99700	ATXN2	6.32556298506967	2.41218647726428e-31	No	No
Q99715	COL12A1	4.20568989998361	2.46022393372853e-12	No	No
Q99741	CDC6	6.49411641839899	4.41211010862446e-09	No	No
Q99959	PKP2	6.6456243880608	5.4244538084022493e-11	No	No
Q99961	SH3GL1	4.41091855546685	1.07242573950148e-25	No	No
Q99962	SH3GL2	4.40578993797391	1.0347255268880701e-25	No	No
Q99963	SH3GL3	8.93055518910985	1.69693478597022e-25	No	No
Q9BPZ3	PAIP2	6.45675003841746	4.96037999114438e-24	No	No
Q9BQ51	PDCD1LG2	9.45286703607045	6.06797000298163e-25	No	No
Q9BQL6	FERMT1	9.69693670997698	8.53638191333967e-27	No	No
Q9BQS7	HEPH	6.70779597630701	9.20229316166947e-16	No	No
Q9BRP1	PDCD2L	3.18810604069774	1.3006801518634899e-18	No	No
Q9BRP8	PYM1	3.42710088227838	1.80463318357585e-12	No	No
Q9BSW2	CRACR2A	6.30147435326677	3.93320580760824e-12	No	No
Q9BTL3	RAMAC	3.42856969470383	8.70340293224114e-08	No	No
Q9BTV7	CABLES2	4.41376977431024	7.56487526676523e-08	No	No
Q9BUJ2	HNRNPUL1	4.68968363288221	3.56420708929637e-19	No	No
Q9BUT9	MCRIP2	4.50389176471258	7.6219365151598e-08	No	No
Q9BVC6	TMEM109	3.18021969334499	2.2098557776637402e-17	No	No
Q9BX40	LSM14B	5.08752498270146	4.72198236329895e-19	No	No
Q9BX97	PLVAP	3.25057341255151	1.14641783979481e-10	No	No
Q9BXJ0	C1QTNF5	5.91286396703065	4.00768637069711e-21	No	No
Q9BYG0	B3GNT5	4.85551390798866	1.1998963029694e-13	No	No
Q9BYJ9	YTHDF1	5.99745455033603	6.7886022080030105e-25	No	No
Q9BYK8	HELZ2	5.28388590084223	3.55340903342301e-24	No	No
Q9BYT3	STK33	3.57295499921276	4.7659375209528904e-17	No	No
Q9BZD6	PRRG4	7.30184489170435	1.5117232230349202e-23	No	No
Q9BZM4	ULBP3	8.02759995757402	3.35305579446111e-24	No	No
Q9BZM5	ULBP2	9.32354900122528	1.80333203697853e-26	No	No
Q9C0B9	ZCCHC2	5.15190547408717	1.63408812658079e-09	No	No
Q9GZP0	PDGFD	3.97583065957645	8.40874530261982e-18	No	No
Q9GZV5	WWTR1	3.66125068261612	5.3197189342890903e-17	No	No
Q9GZY6	LAT2	4.60467283917555	3.8277627138341e-14	No	No
Q9H000	MKRN2	6.04386104640622	2.28697288600132e-28	No	No
Q9H013	ADAM19	6.29371436539089	8.16559179109863e-19	No	No
Q9H074	PAIP1	3.45712555902038	2.33855329458139e-21	No	No
Q9H0J9	PARP12	5.50814616535004	3.6307537283666e-25	No	No
Q9H0S4	DDX47	4.05918294027525	2.28243262322573e-11	No	No
Q9H0U6	MRPL18	4.27539855401099	2.12607664097511e-14	No	No
Q9H1J7	WNT5B	4.96637523936961	1.68450372599469e-13	No	No
Q9H227	GBA3	4.30373389742245	4.29023988365186e-07	No	No
Q9H2H9	SLC38A1	4.61939290016477	6.04704298552647e-22	No	No
Q9H2K2	TNKS2	3.32603990455526	5.71249401929772e-05	No	No
Q9H2U1	DHX36	3.09682150471945	9.7053718355388e-23	No	No
Q9H361	PABPC3	7.78011766932984	1.32656757094287e-35	No	No
Q9H3L0	MMADHC	3.11029392223477	2.2907481148300902e-09	No	No
Q9H3R2	MUC13	3.12067262684604	9.13089818124319e-12	No	No
Q9H3R5	CENPH	3.75815073667968	3.96676629448327e-05	No	No
Q9H3S3	TMPRSS5	3.71026678402586	3.20917273711041e-06	No	No
Q9H3T3	SEMA6B	3.65278720594723	3.77041644856643e-12	No	No
Q9H4B7	TUBB1	4.92666561946285	4.5285249771667204e-15	No	No
Q9H4F1	ST6GALNAC4	9.88836151467592	1.42645562157691e-13	No	No
Q9H4K7	MTG2	3.05567249359238	0.0004093918827267	No	No
Q9H583	HEATR1	3.35186843186972	1.17792253505587e-06	No	No
Q9H5Y7	SLITRK6	8.40131815654047	5.94416121322411e-21	No	No
Q9H694	BICC1	5.10042721815515	1.1317303740561e-06	No	No
Q9H6B4	CLMP	9.75830579687941	1.7029686000782402e-20	No	No
Q9H6E4	CCDC134	5.84354618541016	5.94575064195209e-11	No	No
Q9H6L4	ARMC7	3.15958686116269	1.3798042416893301e-10	No	No
Q9H7P6	MVB12B	3.52574977205455	2.32237807444265e-21	No	No
Q9H814	PHAX	4.46199583604705	8.771202467170069e-18	No	No
Q9H8K7	PAAT	7.99634679920446	1.2771777301311299e-26	No	No
Q9H939	PSTPIP2	4.98127392396198	5.42957150340041e-13	No	No
Q9H977	WDR54	3.1925060231996	3.00133281740844e-16	No	No
Q9H992	MARCHF7	5.03260063642966	1.6467847219558e-16	No	No
Q9H9Y2	RPF1	4.16351108913531	4.00759061694565e-12	No	No
Q9HAR2	ADGRL3	8.04008392133377	5.55412423786214e-19	No	No
Q9HAU4	SMURF2	3.52641748612925	1.67929136233498e-20	No	No
Q9HB09	BCL2L12	3.03198125486411	1.26973579902344e-22	No	No
Q9HB63	NTN4	9.17475498583527	6.333994326361649e-12	No	No
Q9HBH1	PDF	5.8483242092999	4.87601094760724e-07	No	No
Q9HBI1	PARVB	3.22140457617091	3.4443812503475104e-25	No	No
Q9HBW9	ADGRL4	9.96665145464889	1.77728850950639e-30	No	No
Q9HC16	APOBEC3G	7.99324446234577	1.52745346402664e-30	No	No
Q9HC56	PCDH9	4.52334417676235	7.630090115122721e-20	No	No
Q9HC98	NEK6	3.03638533427758	5.503535887663691e-19	No	No
Q9HCC8	GDPD2	3.27412787768307	7.47336445577725e-07	No	No
Q9HCE1	MOV10	6.55475204469806	1.34491856283942e-26	No	No
Q9HCJ0	TNRC6C	6.06452596827745	7.32260484312833e-15	No	No
Q9HCL0	PCDH18	3.41653088293424	2.72725047655824e-09	No	No
Q9HDC9	APMAP	4.90977170428419	7.33103203362272e-22	No	No
Q9NP84	TNFRSF12A	4.74015510074315	1.62128931152193e-20	No	No
Q9NPD8	UBE2T	4.25596556497108	1.12795979072501e-19	No	No
Q9NPH5	NOX4	4.61823864157636	2.86791110818031e-05	No	No
Q9NQ25	SLAMF7	6.12131888548602	1.5390616110957602e-09	No	No
Q9NQ66	PLCB1	4.66024609104079	5.11531371403387e-17	No	No
Q9NQS3	NECTIN3	5.55329772355005	1.09916550576199e-26	No	No
Q9NQY0	BIN3	4.09618441677989	2.09071668983906e-21	No	No
Q9NR12	PDLIM7	3.20861485229796	3.5312186793680096e-11	No	No
Q9NR56	MBNL1	5.08699209253415	4.04058891798217e-24	No	No
Q9NRG1	PRTFDC1	7.73670545094895	9.07003016264696e-33	No	No
Q9NRJ7	PCDHB16	10.7729625658178	8.05011544469204e-23	No	No
Q9NRM2	ZNF277	6.30469477725139	1.9489770802588402e-14	No	No
Q9NRW3	APOBEC3C	4.80641206586576	3.25216967454085e-22	No	No
Q9NS87	KIF15	3.54835163103367	5.411194861751409e-16	No	No
Q9NT68	TENM2	8.00767052811878	1.4892479925767998e-12	No	No
Q9NUD5	ZCCHC3	5.99537038674909	6.96351142891244e-23	No	No
Q9NUL3	STAU2	4.35658459623361	4.05333993524155e-11	No	No
Q9NUQ6	SPATS2L	4.0924651062408	3.07869140763232e-19	No	No
Q9NV58	RNF19A	3.25798638893948	6.99500979678001e-14	No	No
Q9NVX2	NLE1	3.75196329686724	1.05437650513374e-10	No	No
Q9NWF9	RNF216	4.13404266552754	1.08387639412583e-05	No	No
Q9NWQ9	C14orf119	3.47048473959115	6.354776331305009e-12	No	No
Q9NWS0	PIH1D1	3.64851145451128	0.0001223844497845	No	No
Q9NX01	TXNL4B	4.43939609042144	8.5577811501533e-17	No	No
Q9NX76	CMTM6	3.7063831081433	9.50534036190324e-24	No	No
Q9NXH8	TOR4A	8.04178535095864	4.0313686313426304e-20	No	No
Q9NY25	CLEC5A	5.34247197732374	6.40818337416848e-26	No	No
Q9NYZ1	TVP23B	3.3808496225231	3.72748509391693e-11	No	No
Q9NZ53	PODXL2	4.40185623247306	1.8439388940652398e-11	No	No
Q9NZ56	FMN2	5.94004301515378	7.327963685046379e-13	No	No
Q9NZI8	IGF2BP1	13.1465644317233	1.17342564868566e-23	No	No
Q9NZJ4	SACS	4.2191454464044	1.87333371905574e-09	No	No
Q9NZM3	ITSN2	3.21646253039209	2.7129328239658503e-20	No	No
Q9NZP8	C1RL	6.77911437875008	4.3926982208487597e-16	No	No
Q9NZQ7	CD274	8.38992063722521	6.06930575318452e-26	No	No
Q9NZT1	CALML5	4.07066470022367	6.16729433230259e-05	No	No
Q9NZU0	FLRT3	4.93112879217387	8.56602307696071e-22	No	No
Q9NZV1	CRIM1	4.59682434734837	2.74377069222611e-21	No	No
Q9P0V3	SH3BP4	3.31401787068477	7.41872168608373e-24	No	No
Q9P121	NTM	9.59033215270592	2.5758377930077e-28	No	No
Q9P232	CNTN3	7.78349328758416	1.8433840304429699e-16	No	No
Q9P273	TENM3	3.63790721044172	8.88195201199461e-18	No	No
Q9P2E3	ZNFX1	4.03721210387033	3.66451750870562e-14	No	No
Q9P2S5	WRAP73	4.97091404678072	1.8109276381442e-08	No	No
Q9UBQ6	EXTL2	4.77242872380305	8.0727754760341e-16	No	No
Q9UBR5	CKLF	6.98992923536818	9.1793580303529e-25	No	No
Q9UBY5	LPAR3	6.85415542932322	1.3652819196407901e-24	No	No
Q9UGC6	RGS17	3.19592618546149	1.4844730277635002e-16	No	No
Q9UGM3	DMBT1	4.13379367326172	1.40063096694342e-15	No	No
Q9UH17	APOBEC3B	10.3731636391057	1.23049203877979e-21	No	No
Q9UHC7	MKRN1	9.30713454844977	1.5288572055722701e-21	No	No
Q9UHI8	ADAMTS1	3.28114917379934	2.79332669175109e-07	No	No
Q9UHP7	CLEC2D	3.46864447709311	4.6917063372358195e-12	No	No
Q9UI42	CPA4	4.19544282024331	9.01197367861868e-05	No	No
Q9UIF9	BAZ2A	3.36667105003241	0.0001702853380662	No	No
Q9UJJ7	RPUSD1	3.57767472675169	2.42305040496156e-11	No	No
Q9UJM3	ERRFI1	7.0760209428406	1.0292001699272e-08	No	No
Q9UK39	NOCT	3.06710506638229	1.03365544437472e-21	No	No
Q9UK76	JPT1	4.11847393680893	4.14451859540273e-17	No	No
Q9UKT4	FBXO5	4.95086148376046	0.0009227953728385	No	No
Q9UKU6	TRHDE	12.4443882914423	1.85313820936725e-13	No	No
Q9UKZ4	TENM1	6.00621502550309	2.2588328651697397e-11	No	No
Q9ULI3	HEG1	5.71088529985874	2.00201523157733e-29	No	No
Q9UM82	SPATA2	3.61689963144681	2.8046272427812903e-09	No	No
Q9UN66	PCDHB8	9.53188747902175	1.56835276611191e-13	No	No
Q9UN67	PCDHB10	6.85111352101433	4.85807848789562e-19	No	No
Q9UN72	PCDHA7	10.0909701442975	1.84421454046127e-16	No	No
Q9UN81	L1RE1	11.0223888363888	3.53430414601515e-17	No	No
Q9UNA0	ADAMTS5	3.07852035254582	9.02855235872345e-05	No	No
Q9UNK4	PLA2G2D	4.89549202855957	8.15902169733321e-13	No	No
Q9UNN8	PROCR	4.54870418156169	4.3377604125581597e-16	No	No
Q9UNQ0	ABCG2	5.00519458440447	3.50475393645431e-21	No	No
