Protein_Group	Genes	WM793_vs_HIM-ST_logFC	WM793_vs_HIM-ST_pval	Removed?	Contaminant?
Q02833	RASSF7	3.1196133471677	7.60400775646644e-06	No	No
Q02952	AKAP12	2.0581424701119	2.91684734701608e-16	No	No
Q03393	PTS	2.15239442775356	6.81848575513457e-13	No	No
Q03405	PLAUR	6.4678365941028	1.14995089017443e-21	No	No
Q04759	PRKCQ	2.8234791819544	0.0046064366385321	No	No
Q04941	PLP2	2.56779465899779	5.81311746973001e-07	No	No
Q05209	PTPN12	1.85272283471707	2.07125471001446e-15	No	No
Q05940	SLC18A2	2.02528224246704	0.0003249743819458	No	No
Q06609	RAD51	2.74333532782022	4.03014722017073e-07	No	No
Q07352	ZFP36L1	1.97080354556456	1.03768897475025e-11	No	No
Q07817	BCL2L1	2.55322620190091	4.36331035032904e-05	No	No
Q07820	MCL1	4.69843629250847	3.8967077212938095e-11	No	No
Q07912	TNK2	2.63782388938503	3.76125202674607e-12	No	No
Q08174	PCDH1	5.22951986189717	1.4697008685920402e-20	No	No
Q08357	SLC20A2	3.12599732119716	1.0413191427741701e-19	No	No
Q08629	SPOCK1	3.47626061971644	7.507209439279509e-11	No	No
Q08828	ADCY1	5.35435620124015	6.144282414322079e-13	No	No
Q0D2I5	IFFO1	3.65872206103661	3.20405188471169e-06	No	No
Q0VAQ4	SMAGP	2.10540147006603	3.480875959046e-09	No	No
Q10472	GALNT1	2.82222753443295	5.10562737301414e-13	No	No
Q10588	BST1	2.87991117035428	3.7770085100766797e-22	No	No
Q11206	ST3GAL4	1.90741819765338	9.91587794875916e-05	No	No
Q12809	KCNH2	6.45679613110837	6.0510840064761e-09	No	No
Q12836	ZP4	10.1079230644543	9.70176923540529e-23	No	No
Q12926	ELAVL2	2.78856869195353	0.0004070601808997	No	No
Q12983	BNIP3	3.31848737790674	1.4469819024836398e-11	No	No
Q12999	TSPAN31	2.17832050683212	1.38257081884017e-07	No	No
Q13002	GRIK2	3.02101925396299	1.21243250727748e-05	No	No
Q13007	IL24	6.05585684888198	2.04059278146075e-15	No	No
Q13009	TIAM1	2.02524929082348	3.71852069264179e-05	No	No
Q13077	TRAF1	2.04316693225944	3.54789302215739e-06	No	No
Q13093	PLA2G7	5.74194816687447	9.73645141686913e-19	No	No
Q13094	LCP2	6.01887748317147	2.86742578685192e-09	No	No
Q13115	DUSP4	2.63384676981455	0.0002876132485314	No	No
Q13201	MMRN1	2.37085153139298	1.68785605652559e-05	No	No
Q13239	SLA	6.62343355359437	5.40436944935035e-13	No	No
Q13296	SCGB2A2	3.27813402608196	3.3290278007886304e-09	No	No
Q13309	SKP2	4.19983668672941	0.0054266438373998	No	No
Q13322	GRB10	2.65225467281362	0.0005319857174023	No	No
Q13336	SLC14A1	4.98674995300063	1.34403468347918e-17	No	No
Q13442	PDAP1	2.10588462614329	3.59538429855202e-13	No	No
Q13454	TUSC3	1.98799614772185	7.47893184281623e-10	No	No
Q13469	NFATC2	5.05461583788285	4.25537937495648e-15	No	No
Q13478	IL18R1	5.29116569417978	2.0451882476280898e-12	No	No
Q13501	SQSTM1	2.6163289630438	3.83807587874381e-13	No	No
Q13508	ART3	7.45502373692014	3.60812440431685e-24	No	No
Q13530	SERINC3	2.18592738236294	3.16801344782294e-16	No	No
Q13571	LAPTM5	7.01694656411578	2.0460902413078301e-32	No	No
Q13588	GRAP	2.36267869517402	8.32523705908455e-13	No	No
Q13608	PEX6	4.91800736306354	0.0001040065167994	No	No
Q13625	TP53BP2	2.27033440421796	4.9765888950549e-13	No	No
Q13635	PTCH1	6.54807207314405	7.11545371320539e-21	No	No
Q13641	TPBG	2.25710923902991	8.33492620405419e-17	No	No
Q13772	NCOA4	5.87962011621427	2.67809878578902e-16	No	No
Q13794	PMAIP1	3.63604084561595	1.1394013345392201e-15	No	No
Q13795	ARFRP1	2.32858774293048	8.2129656590418e-15	No	No
Q13796	SHROOM2	4.21465795590952	4.02272045702982e-18	No	No
Q13797	ITGA9	6.16267454121123	9.00189956144526e-18	No	No
Q14005	IL16	3.32669431013536	1.39818136164405e-08	No	No
Q14050	COL9A3	2.66994713137846	1.22462138913604e-05	No	No
Q14114	LRP8	2.51478566832394	2.9151675583996002e-18	No	No
Q14123	PDE1C	6.79520955768225	8.48540740156313e-24	No	No
Q14242	SELPLG	2.70690204880219	0.0003884121382677	No	No
Q14511	NEDD9	3.54050138103413	0.0004154632407533	No	No
Q14563	SEMA3A	2.44564677586842	0.0019385651074397	No	No
Q14571	ITPR2	3.24246862614941	6.08116157375455e-05	No	No
Q14596	NBR1	2.59095989955637	2.77631671007149e-13	No	No
Q14644	RASA3	1.86820670101132	8.78277441566177e-18	No	No
Q14680	MELK	1.85373466365004	3.48970136244542e-05	No	No
Q14691	GINS1	4.34175371925658	1.16060691542022e-05	No	No
Q14761	PTPRCAP	2.35060332574545	8.91850813067168e-08	No	No
Q14802	FXYD3	2.25600587423483	1.3616174131614901e-10	No	No
Q14993	COL19A1	7.85563746725368	6.373455891284931e-19	No	No
Q14CB8	ARHGAP19	7.73310002039084	4.60378405549986e-08	No	No
Q15004	PCLAF	2.81423055496034	5.53521063078229e-08	No	No
Q15053	KIAA0040	3.44649413616879	2.34036340171834e-19	No	No
Q15058	KIF14	2.46393995657792	1.07596687473306e-14	No	No
Q15067	ACOX1	3.17561221220066	0.0014371167624715	No	No
Q15375	EPHA7	2.52269665221285	2.48499234910192e-06	No	No
Q15506	SPA17	1.90854135168443	3.01561885567029e-05	No	No
Q15517	CDSN	3.89736652879862	0.00233778227726	No	No
Q15526	SURF1	4.32408348853304	0.0001595571581875	No	No
Q15599	NHERF2	2.12491217545828	5.21455610903819e-18	No	No
Q155Q3	DIXDC1	2.11141252890092	6.7790397081996e-05	No	No
Q15678	PTPN14	3.44985745504882	1.8431608943639799e-13	No	No
Q16288	NTRK3	5.51789338106731	6.4758743927956e-20	No	No
Q16363	LAMA4	3.22385420301145	3.7802745618007e-07	No	No
Q16378	PRR4	3.05826272847606	9.1488279805717e-05	No	No
Q16549	PCSK7	4.63134495974636	6.01122271746588e-17	No	No
Q16553	LY6E	2.74658558868949	1.20500037440863e-10	No	No
Q16653	MOG	3.12358738107636	6.49984850327268e-05	No	No
Q16658	FSCN1	2.43094448749157	3.5314081784986496e-18	No	No
Q16674	MIA	2.89347041342323	3.7824946676205e-07	No	No
Q16819	MEP1A	5.26586707653185	2.49387773533581e-15	No	No
Q16875	PFKFB3	2.69197882989237	4.14076544189645e-13	No	No
Q17RS7	GEN1	2.24663671350988	1.03843073604161e-05	No	No
Q17RY6	LY6K	4.61846720700384	1.39615978417478e-07	No	No
Q2KJY2	KIF26B	3.71152231320759	2.7941036269701e-17	No	No
Q2M2H8	MGAM2	4.99353064978829	2.94829916995823e-10	No	No
Q2M3D2	EXOC3L2	9.06521392430529	2.4458718915318297e-16	No	No
Q2PZI1	DPY19L1	2.86943671287693	1.1149703904505e-14	No	No
Q2TAZ0	ATG2A	3.89924607941352	0.0018787633641079	No	No
Q30154	HLA-DRB5	7.56710764836301	2.0117116829854902e-23	No	No
Q3B726	POLR1F	3.25139701942618	2.3350262480306802e-09	No	No
Q3KP66	INAVA	7.16772931703923	3.3297480919655704e-19	No	No
Q3MIP1	ITPRIPL2	2.31829146758682	1.05117215167518e-05	No	No
Q3SXP7	SHISAL1	6.67487032662607	3.33823618676338e-23	No	No
Q494U1	PLEKHN1	3.15598166441161	5.57717206672081e-12	No	No
Q4G0A6	MINDY4	7.3896068518348	2.22533455296973e-17	No	No
Q4KMQ1	TPRN	2.41145548736166	2.0195569742915798e-11	No	No
Q4VCS5	AMOT	4.03735059311928	7.44628199950035e-06	No	No
Q4VX76	SYTL3	3.12536130274059	0.0007535065086789	No	No
Q53EP0	FNDC3B	2.89458671815792	0.000208520578917	No	No
Q53EU6	GPAT3	4.41290278849829	1.1689350375769198e-11	No	No
Q53GA4	PHLDA2	2.84410512471848	5.97289018468742e-22	No	No
Q53H47	SETMAR	2.83714832278171	0.0003401176053437	No	No
Q53HL2	CDCA8	2.85982788597285	1.0275161081317e-15	No	No
Q587I9	SFT2D3	1.90274972979294	4.5791358940975e-14	No	No
Q5EBL8	PDZD11	2.64670933525919	3.20751163523797e-16	No	No
Q5GH76	XKR4	9.31811164788585	9.336355203347279e-13	No	No
Q5JS37	NHLRC3	1.9073476052242	3.07219846829178e-06	No	No
Q5JTC6	AMER1	5.86128975188809	2.13206333909307e-07	No	No
Q5JTD7	LRRC73	2.67580802015615	2.77419250401798e-05	No	No
Q5JUQ0	FAM78A	3.32832553706951	3.48977733172824e-12	No	No
Q5JYT7	KIAA1755	6.36289399969719	5.16899181106596e-15	No	No
Q5NDL2	EOGT	4.21263318059278	3.23680677196986e-06	No	No
Q5SQ80;Q5TYW2;Q5VUR7	ANKRD20A1;ANKRD20A2P;ANKRD20A3P	5.3197120802254	7.07158647045461e-07	No	No
Q5SQN1	SNAP47	1.89495823263663	1.47464299294262e-09	No	No
Q5T013	HYI	2.90801863429062	9.296879500092811e-14	No	No
Q5T1Q4	SLC35F1	1.85466798850843	1.6775112679468e-05	No	No
Q5T3U5	ABCC10	2.21491431324244	4.79999657076105e-06	No	No
Q5T5P2	KIAA1217	5.01470044980526	9.88217435935222e-08	No	No
Q5T6S3	PHF19	1.89887034449461	1.89358926302849e-05	No	No
Q5T7P8	SYT6	7.87489764785798	1.61766820850079e-13	No	No
Q5T9C9	PIP5KL1	1.83538479155078	0.0016228182965553	No	No
Q5TAT6	COL13A1	9.24479477090149	5.36773152374177e-31	No	No
Q5TBA9	FRY	3.42978846397467	3.23420837179346e-05	No	No
Q5TF39	MFSD4B	2.39250461720383	1.3489320880804401e-09	No	No
Q5TGL8	PXDC1	2.07517091410683	1.2203707849047e-06	No	No
Q5U3C3	TMEM164	5.82592622146895	3.03527058667698e-08	No	No
Q5UAW9	GPR157	2.46966770809274	2.75372637231704e-08	No	No
Q5UE93	PIK3R6	3.30530504771352	0.0002077116890851	No	No
Q5VUB5	FAM171A1	3.63470687118605	1.1639168287428e-16	No	No
Q5VXT5	SYPL2	3.81439987430852	2.54161348395946e-06	No	No
Q5VZI3	TMEM268	4.01629252771424	1.50423894625152e-09	No	No
Q5VZY2	PLPP4	2.37800768995195	0.000601273562933	No	No
Q5W0Z9	ZDHHC20	1.99484185158508	8.733771159289e-18	No	No
Q5XXA6	ANO1	6.2704188306976	1.6603007377830699e-16	No	No
Q63HM2	PCNX4	4.16943104264411	1.5492624587768e-05	No	No
Q658P3	STEAP3	3.42297404061534	2.0610312748857903e-15	No	No
Q66K66	TMEM198	2.03928571965149	2.70655229185556e-08	No	No
Q68CZ2	TNS3	2.58411250736619	4.4136994227348e-19	No	No
Q68D85	NCR3LG1	2.61184636553013	9.84008523864201e-13	No	No
Q68DC2	ANKS6	2.53384954224789	2.6426885582773697e-12	No	No
Q69YQ0	SPECC1L	2.15632155449856	2.50440349729964e-05	No	No
Q6AI12	ANKRD40	2.58724875055463	4.9642257431776596e-12	No	No
Q6NUI6	CHADL	2.47831273174521	0.0002231993488779	No	No
Q6NVV3	NIPAL1	4.37551004387914	4.2245809491117205e-25	No	No
Q6NYC8	PPP1R18	2.52146264869873	4.20712105479184e-13	No	No
Q6NZ63	STEAP1B	2.57358909618677	1.01855025953058e-11	No	No
Q6P179	ERAP2	6.34903267290533	2.35165369895856e-15	No	No
Q6P4E1	GOLM2	2.52050089374345	2.1288947541417e-09	No	No
Q6P6B7	ANKRD16	2.20148674777156	0.0015390620777807	No	No
Q6P9G4	TMEM154	2.52648871906574	5.33546713264597e-09	No	No
Q6PCD5	RFWD3	3.45507285253282	3.1925844806439e-05	No	No
Q6PI25	CNIH2	2.88495104127257	1.20283976532488e-10	No	No
Q6PIW4	FIGNL1	2.82789715732432	3.4274749409349e-07	No	No
Q6PJG6	BRAT1	2.30431770578134	2.44610846485523e-12	No	No
Q6PKX4	DOK6	3.83824349198292	2.2106548264929003e-10	No	No
Q6T4R5	NHS	2.96077107549737	1.89048522562833e-09	No	No
Q6TCH7	PAQR3	2.43574131326003	5.31434194828034e-08	No	No
Q6UW56	ATRAID	3.01902523589526	1.16004307821406e-13	No	No
Q6UW63	POGLUT2	4.96584374182256	1.19209656248789e-06	No	No
Q6UWB1	IL27RA	3.3723732243338	6.424478470980201e-10	No	No
Q6UWH4	GASK1B	3.4599496053238	0.0039977365772428	No	No
Q6UWI4	SHISA2	5.66331690158867	8.51648017092652e-12	No	No
Q6UWL2	SUSD1	4.1140191598828	6.935453938827661e-15	No	No
Q6UX53	TMT1B	6.02581724793963	1.15957471833353e-06	No	No
Q6UXD5	SEZ6L2	4.30530137661991	7.566109098286521e-15	No	No
Q6UXM1	LRIG3	2.34220013783175	3.82347704937054e-16	No	No
Q6UXY1	BAIAP2L2	5.20057013494312	4.5160587474291196e-11	No	No
Q6UY14	ADAMTSL4	2.23826328948931	1.77622738463461e-07	No	No
Q6V0I7	FAT4	4.08541677206642	7.01279084719364e-14	No	No
Q6W4X9	MUC6	2.0926154682653	1.65054158681535e-06	No	No
Q6X4W1	NSMF	5.97875040917942	1.41193403109662e-09	No	No
Q6ZMJ2	SCARA5	4.4443118309773	1.2351606634361399e-11	No	No
Q6ZMP0	THSD4	2.87485110561101	1.27859632939483e-07	No	No
Q6ZN16	MAP3K15	6.01965861758115	4.80576200017314e-14	No	No
Q6ZN54	DEF8	2.47334412825102	8.55571442038028e-05	No	No
Q6ZN66	GBP6	1.86773672484335	2.19824692667398e-06	No	No
Q6ZNB7	AGMO	7.94522338685767	9.63468009637606e-23	No	No
Q6ZP29	SLC66A1	3.79295742395057	3.4847430294975e-06	No	No
Q6ZQW0	IDO2	4.14938713757535	1.17499199612527e-14	No	No
Q6ZS86	GK5	1.85439715330725	2.0768159347409e-05	No	No
Q6ZV89	SH2D5	5.6130208246672	4.27270969609755e-07	No	No
Q6ZWE6	PLEKHM3	4.32119338486986	1.2005235629593e-05	No	No
Q70CQ4	USP31	1.84912068194379	0.003424782688755	No	No
Q70EK8	USP53	3.3224362363937	2.87313669615452e-10	No	No
Q70J99	UNC13D	2.1679426800494	3.76909232080173e-07	No	No
Q70YC5	ZNF365	6.79879919151245	1.05236114938885e-09	No	No
Q71F23	CENPU	6.47649444912074	1.1060660489050702e-09	No	No
Q71H61	ILDR2	5.1560926412443	7.83307278906652e-13	No	No
Q71RC9	SMIM5	8.39891642118609	2.5085735404187302e-17	No	No
Q7L0X0	TRIL	7.3837787508527	1.76970568182995e-14	No	No
Q7L273	KCTD9	3.04699539331803	1.83325650219683e-18	No	No
Q7L985	LINGO2	7.98351480253504	3.30073857567146e-13	No	No
Q7L9B9	EEPD1	3.96812256350569	2.55717293823405e-12	No	No
Q7RTP6	MICAL3	2.54688096088741	4.30257060806088e-17	No	No
Q7RTT9	SLC29A4	3.77591569435318	1.38463005209518e-13	No	No
Q7RTV2	GSTA5	7.27338473243983	5.84174476239499e-13	No	No
Q7RTY0	SLC16A13	2.76332874646837	6.18499029692331e-06	No	No
Q7RTY1	SLC16A9	6.59085082408057	2.3982352857617e-30	No	No
Q7Z2H8	SLC36A1	3.48430179583383	1.92714984312009e-10	No	No
Q7Z304	MAMDC2	2.39188360952313	1.49819106325522e-08	No	No
Q7Z3C6	ATG9A	2.01816801233631	1.5710750835103799e-12	No	No
Q7Z3F1	GPR155	2.5898626106092	1.66290253546042e-09	No	No
Q7Z4F1	LRP10	2.99315862113083	4.35381276501239e-14	No	No
Q7Z4H8	POGLUT3	2.20389105399148	1.96586491388324e-10	No	No
Q7Z553	MDGA2	2.45663559131675	3.3458674490605e-07	No	No
Q7Z5N4	SDK1	5.9746370751688	8.59264956402464e-25	No	No
Q7Z5U6	WDR53	1.9572909425852	0.0063453432060855	No	No
Q7Z5Y7	KCTD20	1.94086362011393	0.0062847758192253	No	No
Q7Z698	SPRED2	3.63476700844888	3.1125823395292198e-18	No	No
Q7Z699	SPRED1	3.38347099242725	3.75093757098311e-18	No	No
Q7Z6J6	FRMD5	3.92056865509437	4.50218491616463e-17	No	No
Q7Z6L1	TECPR1	2.04105065047132	0.0052070833887553	No	No
Q7Z6M3	MILR1	2.24150474732338	3.84119949384898e-12	No	No
Q7Z7J7	LHFPL4	2.67299202680998	5.13994189157772e-12	No	No
Q7Z7M0	MEGF8	2.34607777460928	2.65717816247295e-08	No	No
Q7Z7M9	GALNT5	2.8024323136307	0.0013765609588691	No	No
Q7Z7N9	TMEM179B	2.3727811820249	6.13993330817138e-08	No	No
Q86SF2	GALNT7	2.43366202644082	2.04569023903763e-10	No	No
Q86SG6	NEK8	2.2233367446124	0.0003209661477534	No	No
Q86SJ2	AMIGO2	4.94525011171077	1.5655876409413e-17	No	No
Q86SQ0	PHLDB2	2.03797855934989	7.17157371027404e-14	No	No
Q86SQ4	ADGRG6	1.901797104194	1.3134671000526802e-09	No	No
Q86SX3	TEDC1	1.97264979004256	3.91649393188967e-05	No	No
Q86U90	YRDC	1.93832682374867	2.04194029491776e-13	No	No
Q86UD0	SAPCD2	6.56049834976378	2.17804066047563e-09	No	No
Q86UF1	TSPAN33	3.43729359450209	5.8059819416541105e-15	No	No
Q86UW9	DTX2	2.38938253006655	2.0170104762241204e-15	No	No
Q86UX2	ITIH5	10.4450953370308	1.8169630400482601e-19	No	No
Q86VI3	IQGAP3	3.45658003212849	3.1382525910912303e-20	No	No
Q86VP1	TAX1BP1	4.8274756349936	9.69637332794694e-23	No	No
Q86VQ1	GLCCI1	4.29910450003257	1.9783114769769e-06	No	No
Q86VQ6	TXNRD3	1.87608829437985	0.0002702447851136	No	No
Q86VW2	ARHGEF25	2.50817787487581	1.42112788251739e-05	No	No
Q86VY9	TMEM200A	3.66834396193948	3.96139084637762e-10	No	No
Q86VZ5	SGMS1	2.90540772872552	0.0002414473292002	No	No
Q86W33	TPRA1	2.25849005532165	0.0095875013652373	No	No
Q86WI1	PKHD1L1	5.09184939045016	2.03895136415884e-16	No	No
Q86WR7	PROSER2	2.92288750289487	1.1663661104806698e-11	No	No
Q86WV6	STING1	2.05924251833175	1.70750320098388e-06	No	No
Q86XI2	NCAPG2	2.19000103822213	0.0026326370554208	No	No
Q86Y01	DTX1	8.19294882689136	5.37596720846439e-19	No	No
Q86YF9	DZIP1	2.96394099562047	0.0070824631903873	No	No
Q86YV5	PRAG1	2.27623745931777	1.21061383878304e-06	No	No
Q8IUC4	RHPN2	2.548776949829	5.34135555692344e-08	No	No
Q8IUC8	GALNT13	2.39649420552801	3.73465832012561e-17	No	No
Q8IUD6	RNF135	3.43083667847801	3.9383870452808595e-11	No	No
Q8IUW5	RELL1	2.64941006583214	1.13626812892648e-20	No	No
Q8IV33	KIAA0825	4.00853470710465	1.36386323511238e-09	No	No
Q8IVD9	NUDCD3	2.92307391126418	1.66434521115211e-14	No	No
Q8IVF5	TIAM2	4.36618388498687	1.1960335493858e-23	No	No
Q8IVP5	FUNDC1	2.08719829771165	8.01308407221075e-11	No	No
Q8IW41	MAPKAPK5	3.6680871860118	0.0079445630034411	No	No
Q8IWU2	LMTK2	4.45511188355183	3.28589718101931e-10	No	No
Q8IWU5	SULF2	2.05100700266486	0.0078856310239118	No	No
Q8IWV2	CNTN4	5.32096136253921	2.93031414376177e-12	No	No
Q8IXL6	FAM20C	3.10237622893796	1.46439664545079e-11	No	No
Q8IXU6	SLC35F2	1.99582270536784	1.1483645778524e-14	No	No
Q8IY33	MICALL2	2.85851780029369	1.42247037889314e-16	No	No
Q8IY42	PGCKA1	9.21437690436695	1.58228612283614e-28	No	No
Q8IY47	KBTBD2	2.97057998105183	2.81444141381719e-13	No	No
Q8IY50	SLC35F3	5.58471461088951	1.1829133918605199e-16	No	No
Q8IY63	AMOTL1	2.67220656249444	1.94342444490271e-14	No	No
Q8IZC4	RTKN2	3.78376696603167	2.0416227025503e-12	No	No
Q8IZK6	MCOLN2	5.82393213951632	1.21977319473447e-12	No	No
Q8IZM9	SLC38A6	4.07036995308266	0.0001421958832125	No	No
Q8IZN3	ZDHHC14	2.29414656839269	3.25316389289078e-16	No	No
Q8IZP9	ADGRG2	6.64588255686	1.54690120401299e-22	No	No
Q8IZU8	DSEL	7.85614387538781	5.25023436180817e-12	No	No
Q8IZU9	KIRREL3	3.21539871373849	8.22020074248989e-06	No	No
Q8N0W4	NLGN4X	4.28102198723924	4.62380035152919e-13	No	No
Q8N126	CADM3	2.7680490588407	4.55244251566058e-13	No	No
Q8N135	LGI4	6.82812860796311	4.53612201449738e-16	No	No
Q8N139	ABCA6	3.64070868191086	7.169287229211371e-10	No	No
Q8N1I0	DOCK4	2.21109697138007	1.13359564773457e-10	No	No
Q8N257	H2BC26	3.0438094623299	4.04618261870965e-12	No	No
Q8N2H4	SYS1	2.80636361683376	3.2554164446481397e-12	No	No
Q8N2R8	FAM43A	4.44447487800997	4.1198121677317e-12	No	No
Q8N2Z9	CENPS	2.34081776402439	4.18756599312992e-07	No	No
Q8N370	SLC43A2	3.01979476275765	6.84638999538889e-11	No	No
Q8N3F9	GPR137C	3.26136325955869	2.08696375741438e-09	No	No
Q8N3V7	SYNPO	3.27360544549037	4.6459843606925e-05	No	No
Q8N441	FGFRL1	6.47217509402995	2.0045086151398602e-20	No	No
Q8N474	SFRP1	7.47781202468455	7.82691381875154e-17	No	No
Q8N4S9	MARVELD2	7.72879008981277	7.08162901764433e-11	No	No
Q8N4T4	ARHGEF39	2.73550231985806	9.324697585125671e-15	No	No
Q8N4X5	AFAP1L2	2.35072479649118	0.0019939352644468	No	No
Q8N556	AFAP1	4.09699703526588	8.964329556030169e-18	No	No
Q8N584	TTC39C	1.98456669750269	1.36498375923116e-16	No	No
Q8N5I2	ARRDC1	1.85497379538865	5.817093473926739e-11	No	No
Q8N699	MYCT1	4.30353047703831	8.20934837764236e-14	No	No
Q8N6P7	IL22RA1	3.46963056961743	3.21755662150283e-13	No	No
Q8N884	CGAS	1.94493262899609	2.68930725972258e-09	No	No
Q8N8D7	NKAIN3	5.63416265761967	4.97494325092087e-15	No	No
Q8N8N0	RNF152	8.11475810067022	1.15916156134867e-29	No	No
Q8N8Z6	DCBLD1	2.32888503885302	3.03773734686642e-09	No	No
Q8N961	ABTB2	2.65922557154972	6.46372966972121e-13	No	No
Q8NA29	MFSD2A	2.76506363239304	8.29707760576684e-12	No	No
Q8NBJ7	SUMF2	2.71171128107451	6.54235814169472e-08	No	No
Q8NBT2	SPC24	2.79416806001344	6.01362019972157e-17	No	No
Q8NBT3	TMEM145	2.68676794537072	2.0275372045419e-06	No	No
Q8NBW4	SLC38A9	1.89062110545278	1.63511976288298e-09	No	No
Q8NC24	RELL2	4.87851425955951	9.87353869986765e-08	No	No
Q8NC54	KCT2	1.83327535190306	5.7329708448851594e-12	No	No
Q8NC67	NETO2	3.22281470931428	9.9741511528973e-06	No	No
Q8NCC5	SLC37A3	3.38979102456144	6.24389160143891e-12	No	No
Q8NCD3	HJURP	1.8457255780006	1.08914299194084e-06	No	No
Q8NCG7	DAGLB	2.81342057987976	2.52769655660715e-18	No	No
Q8NCS7	SLC44A5	3.45697387544188	7.51361703721254e-05	No	No
Q8NDL9	AGBL5	3.55185109298671	0.0088748285100125	No	No
Q8NDV7	TNRC6A	2.2708802870955	0.0087208681744607	No	No
Q8NE79	POPDC1	3.19783620541265	3.04571302730682e-09	No	No
Q8NFB2	TMEM185A	2.04121045367981	3.82355343402838e-13	No	No
Q8NFL0	B3GNT7	6.84941335370034	7.12452374577369e-20	No	No
Q8NFP4	MDGA1	7.85521870996811	2.1567213551504798e-12	No	No
Q8NFT2	STEAP2	1.93570385377057	2.31178444068368e-10	No	No
Q8NFT8	DNER	2.20459082460003	4.135413659095861e-09	No	No
Q8NFZ8	CADM4	3.40614813648087	6.93750488198151e-16	No	No
Q8NG06	TRIM58	6.77722429562507	1.9215496716376198e-26	No	No
Q8NHG8	ZNRF2	2.27681909920818	2.3056092359335303e-15	No	No
Q8NHQ8	RASSF8	2.36552073767541	2.00598770218741e-12	No	No
Q8NI17	IL31RA	4.88855934862437	3.20756959207404e-16	No	No
Q8NI99	ANGPTL6	6.53065046401533	6.7835079516666095e-12	No	No
Q8TAD7	OCC1	1.90861409830369	1.13314515842585e-06	No	No
Q8TAE6	PPP1R14C	6.22956255507234	5.964904152151829e-30	No	No
Q8TAP8	PPP1R35	1.83023549204153	6.63159861642721e-05	No	No
Q8TB40	ABHD4	1.97161414768866	2.96556664262571e-07	No	No
Q8TB68	PRR7	2.25607865329108	7.08957856812596e-10	No	No
Q8TB73	NDNF	5.28733706024031	3.08807880592041e-05	No	No
Q8TC26	TMEM163	10.9052982138862	8.14995069697732e-40	No	No
Q8TC41	RNF217	3.00670223735659	8.47080186514814e-05	No	No
Q8TCG2	PI4K2B	2.40845123527737	1.01096496701937e-14	No	No
Q8TCT1	PHOSPHO1	4.93511863672153	1.12660669891892e-08	No	No
Q8TCT8	SPPL2A	1.97521954527035	5.8154181098156693e-11	No	No
Q8TCU6	PREX1	6.14381949665365	5.61674349096045e-23	No	No
Q8TCY9	URGCP	2.80795426212941	1.13244126348596e-16	No	No
Q8TDC3	BRSK1	3.53738196332003	0.0001528078996574	No	No
Q8TDD5	MCOLN3	2.19823238742697	3.40445013526009e-08	No	No
Q8TDL5	BPIFB1	6.73898919856268	6.91484605336842e-08	No	No
Q8TDW5	SYTL5	8.35263569363733	1.04540397350797e-11	No	No
Q8TDW7	FAT3	5.14688752610669	1.68464646139318e-09	No	No
Q8TDY4	ASAP3	2.31113646200237	5.52435213599664e-08	No	No
Q8TE82	SH3TC1	4.50008766663393	3.98917013319794e-06	No	No
Q8TEA1	NSUN6	2.03974617393352	6.66223432296517e-13	No	No
Q8TED4	SLC37A2	8.04110019943128	8.395964609298461e-19	No	No
Q8TEJ3	SH3RF3	2.14266895284174	2.8943641293665203e-10	No	No
Q8TEW0	PARD3	2.4079228671602	2.06667635637127e-11	No	No
Q8TF17	SH3TC2	3.40762458371223	4.76205321413766e-16	No	No
Q8TF61	FBXO41	2.83529145551451	3.83625177093991e-06	No	No
Q8TF64	GIPC3	2.39973981741307	2.17427772375029e-14	No	No
Q8TF66	LRRC15	6.8036140448036	6.59987086298781e-19	No	No
Q8TF74	WIPF2	2.25604601924679	5.91684995395556e-10	No	No
Q8WTX9	ZDHHC1	3.28986861202988	3.841252555544141e-15	No	No
Q8WU43	C2orf15	2.26581013311417	4.33945789529519e-08	No	No
Q8WUD4	CCDC12	2.84258250331447	0.0065505219205843	No	No
Q8WUD6	CHPT1	3.02338995207506	5.21156678096299e-10	No	No
Q8WUJ3	CEMIP	2.20188149566549	0.001634413772178	No	No
Q8WUM9	SLC20A1	2.64149469369774	1.98653253195904e-20	No	No
Q8WUX1	SLC38A5	1.87406009106451	1.00151267013077e-07	No	No
Q8WV07	LTO1	2.46837375881717	2.49384625491041e-05	No	No
Q8WV15	TMEM255B	4.45714034871005	8.48671857224784e-20	No	No
Q8WV24	PHLDA1	2.44689319359959	6.80371444150384e-17	No	No
Q8WVE6	TMEM171	2.51230455606601	9.84444874804932e-05	No	No
Q8WVF1	OSCP1	1.8605171201626	0.0036936194579036	No	No
Q8WVN6	SECTM1	4.46242562331676	3.10860696473574e-13	No	No
Q8WVP5	TNFAIP8L1	4.01296840901377	9.213338288025261e-15	No	No
Q8WVV5	BTN2A2	2.10184931941805	6.31513656475884e-08	No	No
Q8WVX9	FAR1	3.12636158105114	1.67415123087018e-06	No	No
Q8WWB7	GLMP	2.15437719239072	3.6126097618045902e-09	No	No
Q8WWQ8	STAB2	3.64420562297667	2.3885383049912e-08	No	No
Q8WXE9	STON2	6.64544581081545	1.73167122738188e-08	No	No
Q8WXI2	CNKSR2	2.74552727440961	4.53332823580282e-16	No	No
