Protein_Group	Genes	SK-Mel-147_vs_WM793_logFC	SK-Mel-147_vs_WM793_pval	Removed?	Contaminant?
P18827	SDC1	5.82673612925896	5.69425300735688e-26	No	No
P19440	GGT1	4.67973789798059	2.6464208225986103e-15	No	No
P19801	AOC1	4.09736684776449	1.4445904711075102e-15	No	No
P20062	TCN2	3.31365747771081	5.11623949982422e-06	No	No
P20138	CD33	7.23394841436235	4.543934191056951e-31	No	No
P20827	EFNA1	2.47977380668327	2.16520875877916e-05	No	No
P21291	CSRP1	2.52587144751752	6.428567848069e-15	No	No
P21453	S1PR1	7.17212667683039	1.5467095752196299e-18	No	No
P21583	KITLG	2.97997149905041	8.26445261459078e-06	No	No
P21731	TBXA2R	2.68024329764961	8.50362300960259e-12	No	No
P21741	MDK	7.47675831577096	8.14471836582004e-15	No	No
P23352	ANOS1	7.92561638390921	1.0415396694234e-11	No	No
P23467	PTPRB	2.29995328838558	4.34043980121028e-09	No	No
P25101	EDNRA	3.35479711242021	4.56313528869268e-13	No	No
P26368	U2AF2	4.22262806984451	1.7222221162549202e-20	No	No
P27144	AK4	2.87295922330697	1.35584426090982e-06	No	No
P29034	S100A2	2.82204410543553	7.874708692320821e-17	No	No
P29323	EPHB2	5.04987441100653	1.0388041358332201e-14	No	No
P29372	MPG	2.60221264588204	2.71258736777347e-11	No	No
P29558	RBMS1	4.8018429476186	7.61516562151778e-12	No	No
P30408	TM4SF1	4.41926583754638	8.42519506290653e-14	No	No
P31151	S100A7	2.66978918018178	0.0009033235368122	No	No
P31431	SDC4	3.26630236123727	5.33692614738847e-18	No	No
P31483	TIA1	3.55700455044161	4.8349272972910105e-21	No	No
P31751	AKT2	3.1725285564618	5.0651915915277403e-23	No	No
P31942	HNRNPH3	2.47723779899821	1.4795271438158201e-15	No	No
P31944	CASP14	2.77375733569364	0.0019844536088937	No	No
P32246	CCR1	6.48687461524377	8.385056882646661e-24	No	No
P35052	GPC1	2.711913695456	3.7387715415265306e-15	No	No
P35080	PFN2	2.96905101656273	9.95822517377856e-26	No	No
P35368	ADRA1B	3.7353659385625	0.001030052281136	No	No
P35568	IRS1	2.98735906023206	1.2132231066180299e-12	No	No
P35590	TIE1	5.92068257689249	8.941610083221171e-14	No	No
P35612	ADD2	5.91535690489361	3.15887594932864e-20	No	No
P35813	PPM1A	2.75719340377785	7.963722539717941e-09	No	No
P36383	GJC1	2.54039195708337	2.11701590058384e-14	No	No
P37108	SRP14	7.73027555905227	4.1081961164770696e-33	No	No
P38435	GGCX	5.88433673244864	7.67349759117883e-08	No	No
P38935	IGHMBP2	3.03027640796059	2.11200398808531e-05	No	No
P40938	RFC3	3.12932409354986	1.7617866419855701e-10	No	No
P42680	TEC	2.56615450330301	0.0001250620903715	No	No
P42694	HELZ	6.27738930701687	6.5958572313832094e-18	No	No
P42768	WAS	10.4631297587641	8.664166384646e-24	No	No
P42892	ECE1	2.55231930767848	2.30288740549536e-16	No	No
P43121	MCAM	2.57104115718355	1.21617593884643e-13	No	No
P43146	DCC	11.5975448104967	3.2557412637492102e-15	No	No
P43355	MAGEA1	4.94686941988084	7.74515240744819e-20	No	No
P43358	MAGEA4	5.6532329246407	2.74588248365766e-29	No	No
P45983	MAPK8	2.50019297619122	1.8245447836849698e-11	No	No
P46013	MKI67	4.44365185345612	4.16968753943559e-09	No	No
P48060	GLIPR1	4.32170023858062	2.4689729860161103e-14	No	No
P48634	PRRC2A	2.47453457732632	2.6272859849879e-11	No	No
P49418	AMPH	2.79752207731984	8.34857025767502e-13	No	No
P49458	SRP9	7.76419890478668	2.0135210668051504e-31	No	No
P49703	ARL4D	3.70127583762535	3.02451098321346e-07	No	No
P50053	KHK	2.70877419660537	1.89874239574682e-05	No	No
P51114	FXR1	2.42956694065857	1.8717212216497298e-22	No	No
P51116	FXR2	2.35014281610318	4.4239632276887e-21	No	No
P51161	FABP6	7.30397859187491	4.0501524066724504e-24	No	No
P52799	EFNB2	2.49248347806946	7.20053802589861e-16	No	No
P52803	EFNA5	3.44849560031724	5.0220134458594604e-17	No	No
P52823	STC1	6.38831487184264	8.417818140171461e-15	No	No
P53675	CLTCL1	3.7087779339433	1.84125092741855e-17	No	No
P53816	PLAAT3	4.70675829309015	1.04061175221645e-12	No	No
P54252	ATXN3	3.46305449888788	9.98428806776175e-21	No	No
P54368	OAZ1	8.4641991878836	9.742393764705399e-34	No	No
P54687	BCAT1	9.03985455444702	4.66829620637132e-26	No	No
P54756	EPHA5	6.78170921013979	4.746964375817861e-31	No	No
P54826	GAS1	4.21332238751211	2.67423625637435e-05	No	No
P55040	GEM	2.77114916039411	8.29376998819418e-06	No	No
P55285	CDH6	2.42403992200535	0.0004963873431123	No	No
P55957	BID	2.41941740765046	2.2100982580800203e-15	No	No
P56182	RRP1	4.0359153696098	0.0002970953861259	No	No
P56559	ARL4C	4.5247811934286	8.41855839471452e-24	No	No
P57087	JAM2	2.38727467996877	9.87936243856041e-13	No	No
P57721	PCBP3	3.3783789602129	4.76266704932863e-10	No	No
P57723	PCBP4	6.37824756130891	2.59331354727432e-20	No	No
P57729	RAB38	5.02274312581629	9.69533048474863e-15	No	No
P57764	GSDMD	2.62546624775942	4.9438572406962e-18	No	No
P58340	MLF1	2.63800252386306	4.83607369407356e-07	No	No
P61006	RAB8A	2.54771117318826	6.560259621076239e-18	No	No
P61978	HNRNPK	2.53095476809873	3.74110393103455e-12	No	No
P62166	NCS1	2.75660042899704	1.8189522106268299e-16	No	No
P62318	SNRPD3	2.78739058802353	3.7010340831617905e-20	No	No
P62993	GRB2	3.91012424293275	4.76878588541503e-29	No	No
P63313	TMSB10	4.66634355221505	9.16812916408741e-06	No	No
P68871	HBB	2.83472845701717	0.0091082619531747	No	No
P78310	CXADR	6.45497163355085	8.962729988772171e-25	No	No
P78395	PRAME	4.88329141094118	3.76909484696628e-13	No	No
P80723	BASP1	7.57354418624832	3.19511017510219e-23	No	No
P82664	MRPS10	5.41178002607683	3.8032739108303295e-12	No	No
P82909	KGD4	2.91849262225417	0.0015965129674886	No	No
P83876	TXNL4A	2.91620374622905	7.095700106710279e-11	No	No
P98172	EFNB1	3.23074643194385	6.279278998955721e-19	No	No
P98179	RBM3	6.68951712415148	3.24456600506057e-28	No	No
Q00059	TFAM	2.38762645234194	1.21128407768622e-06	No	No
Q00587	CDC42EP1	3.36685066883149	1.6474250911132402e-09	No	No
Q01085	TIAL1	2.4201146101769	8.47294670231434e-25	No	No
Q01196	RUNX1	3.74184848154663	1.99018012872225e-06	No	No
Q01469	FABP5	2.44610593503551	4.38204014150344e-14	No	No
Q01804	OTUD4	4.7129384824169	8.827769597703971e-25	No	No
Q01831	XPC	5.83097751856094	2.93764926363393e-12	No	No
Q02297	NRG1	5.77148212737124	1.5716996983358602e-15	No	No
Q02388	COL7A1	10.3408757796996	6.00487175569809e-23	No	No
Q02413	DSG1	2.65605855338574	0.0035502407603654	No	No
Q02487	DSC2	6.59705961034674	1.16430609280921e-13	No	No
Q02539	H1-1	4.38948290900722	1.5630999782257e-09	No	No
Q03169	TNFAIP2	4.48338031384735	5.39503503412109e-15	No	No
Q04609	FOLH1	3.32127469606834	1.5299530277595398e-12	No	No
Q04637	EIF4G1	2.35250190054139	1.87605670457034e-21	No	No
Q05932	FPGS	3.07183936492569	8.23581452852814e-07	No	No
Q06190	PPP2R3A	3.41392055479319	7.79879642509733e-09	No	No
Q06787	FMR1	3.34473197972382	1.11923201666395e-18	No	No
Q07352	ZFP36L1	2.4360212634006	5.53212605193523e-14	No	No
Q08170	SRSF4	2.99945969864949	1.57400348485798e-12	No	No
