"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0050919","GO:0050919",25,"GO:0050919",0.960342030477373,47,"negative chemotaxis","negative chemotaxis",0.945949796472185,0.5385,0
"GO:0050922","GO:0050922",26,"GO:0050922",0.960342030477373,70,"negative regulation of chemotaxis","negative regulation of chemotaxis",0.876624151967436,0.3896,0
"GO:1902017","GO:1902017",6,"GO:0120034",0.916313238220424,71,"regulation of cilium assembly","positive regulation of plasma membrane bounded cell projection assembly",0.847050203527815,0.2702,0.878
"GO:0051491","GO:0051491",27,"GO:0051491",0.883779907302699,31,"positive regulation of filopodium assembly","positive regulation of filopodium assembly",0.838495251017639,0.34925,0
"GO:1904705","GO:1904705",15,"GO:1904706",0.848923865221298,93,"regulation of vascular associated smooth muscle cell proliferation","negative regulation of vascular associated smooth muscle cell proliferation",0.914841248303935,0.386,0.948
"GO:0140238","GO:0140238",28,"GO:0140238",0.816050625776274,72,"presynaptic endocytosis","presynaptic endocytosis",0.93529579375848,0.32375,0
"GO:0072578","GO:0072578",34,"GO:0072578",0.788501418537313,17,"neurotransmitter-gated ion channel clustering","neurotransmitter-gated ion channel clustering",0.887773405698779,0.5325,0
"GO:1901678","GO:1901678",33,"GO:1901678",0.788501418537313,13,"iron coordination entity transport","iron coordination entity transport",0.965268656716418,0.506,0
"GO:0080090","GO:0080090",29,"GO:0080090",0.788501418537313,5780,"regulation of primary metabolic process","regulation of primary metabolic process",0.874358208955224,0.43075,0
"GO:0061000","GO:0061000",30,"GO:0061000",0.788501418537313,13,"negative regulation of dendritic spine development","negative regulation of dendritic spine development",0.826290366350068,0.403333333333333,0
"GO:0007171","GO:0007171",32,"GO:0007171",0.788501418537313,6,"activation of transmembrane receptor protein tyrosine kinase activity","activation of transmembrane receptor protein tyrosine kinase activity",0.792483039348711,0.389,0
"GO:0042749","GO:0042749",31,"GO:0042749",0.788501418537313,19,"regulation of circadian sleep/wake cycle","regulation of circadian sleep/wake cycle",0.917445047489824,0.387333333333333,0
"GO:0007268","GO:0007268",9,"GO:0051966",0.762909139316001,750,"chemical synaptic transmission","regulation of synaptic transmission, glutamatergic",0.896997286295794,0.273888888888889,0.762
"GO:0019216","GO:0019216",35,"GO:0019216",0.755978334316726,342,"regulation of lipid metabolic process","regulation of lipid metabolic process",0.905054274084125,0.483857142857143,0
"GO:0030091","GO:0030091",56,"GO:0030091",0.750722865065016,7,"protein repair","protein repair",0.959337856173677,1,0
"GO:1905719","GO:1905719",55,"GO:1905719",0.750722865065016,9,"protein localization to perinuclear region of cytoplasm","protein localization to perinuclear region of cytoplasm",0.952677069199457,1,0
"GO:0045161","GO:0045161",41,"GO:0045161",0.750722865065016,12,"neuronal ion channel clustering","neuronal ion channel clustering",0.876610583446404,1,0
"GO:0002839","GO:0002839",48,"GO:0002839",0.750722865065016,16,"positive regulation of immune response to tumor cell","positive regulation of immune response to tumor cell",0.898195386702849,0.6625,0
"GO:0060312","GO:0060312",58,"GO:0060312",0.750722865065016,12,"regulation of blood vessel remodeling","regulation of blood vessel remodeling",0.892537313432836,0.591,0
"GO:1900407","GO:1900407",39,"GO:1900407",0.750722865065016,26,"regulation of cellular response to oxidative stress","regulation of cellular response to oxidative stress",0.892445047489824,0.58375,0
"GO:0032412","GO:0032412",37,"GO:0032412",0.750722865065016,231,"regulation of monoatomic ion transmembrane transporter activity","regulation of monoatomic ion transmembrane transporter activity",0.872405698778833,0.578666666666667,0
"GO:0051838","GO:0051838",42,"GO:0051838",0.750722865065016,7,"cytolysis by host of symbiont cells","cytolysis by host of symbiont cells",0.950504748982361,0.5395,0
"GO:1905459","GO:1905459",50,"GO:1905459",0.750722865065016,18,"regulation of vascular associated smooth muscle cell apoptotic process","regulation of vascular associated smooth muscle cell apoptotic process",0.942468113975577,0.538,0
"GO:0034393","GO:0034393",50,"GO:1905459",0.750722865065016,16,"positive regulation of smooth muscle cell apoptotic process","regulation of vascular associated smooth muscle cell apoptotic process",0.920090909090909,0.538,0.924
"GO:0071709","GO:0071709",8,"GO:0097090",0.750722865065016,60,"membrane assembly","presynaptic membrane organization",0.922407055630936,0.516333333333333,0.563
"GO:0086073","GO:0086073",53,"GO:0086073",0.750722865065016,6,"bundle of His cell-Purkinje myocyte adhesion involved in cell communication","bundle of His cell-Purkinje myocyte adhesion involved in cell communication",0.883629579375848,0.507,0
"GO:0015886","GO:0015886",33,"GO:1901678",0.750722865065016,10,"heme transport","iron coordination entity transport",0.961260515603799,0.506,0.988
"GO:0051048","GO:0051048",37,"GO:0032412",0.750722865065016,172,"negative regulation of secretion","regulation of monoatomic ion transmembrane transporter activity",0.885799185888738,0.502,0.6
"GO:0044065","GO:0044065",52,"GO:0044065",0.750722865065016,15,"regulation of respiratory system process","regulation of respiratory system process",0.917424694708277,0.495125,0
"GO:0050865","GO:0050865",45,"GO:0050865",0.750722865065016,653,"regulation of cell activation","regulation of cell activation",0.878755766621438,0.48425,0
