Protein_Group	Genes	AURKA_dox-_vs_IgG_dox-_logFC	AURKA_dox-_vs_IgG_dox-_pval	Removed?	Contaminant?
Q68CP9	ARID2	2.86721071338103	6.01399294005849e-13	No	No
Q68D10	SPTY2D1	3.74348039638866	2.6993247731952697e-11	No	No
Q693B1	KCTD11	3.81441065316183	1.09069205759709e-12	No	No
Q69YH5	CDCA2	1.69908673950445	0.0008573037628151	No	No
Q6EKJ0	GTF2IRD2B	4.86383987762506	6.16179135435417e-08	No	No
Q6IMN6	CAPRIN2	3.98730827365044	0.0019000692322553	No	No
Q6IN84	MRM1	2.63836629794038	0.0067289148476012	No	No
Q6IQ16	SPOPL	6.38861468220818	2.36062372265948e-14	No	No
Q6KCM7	SLC25A25	3.13409829521664	1.83443516479557e-05	No	No
Q6NUQ4	TMEM214	1.91752532461241	0.0079869961636309	No	No
Q6NW34	NEPRO	2.61419087037858	1.90511785069682e-05	No	No
Q6NZ67	MZT2B	3.70333331159588	7.76184617993011e-11	No	No
Q6P087	RPUSD3	2.09948286117793	9.91305544931943e-10	No	No
Q6P158	DHX57	3.50523570985583	9.91585574490371e-10	No	No
Q6P161	MRPL54	1.8394011954195	0.0002152119449516	No	No
Q6P1X5	TAF2	2.93264745841284	9.57585404428933e-07	No	No
Q6P4R8	NFRKB	3.51828265270122	0.0018906108068158	No	No
Q6P582	MZT2A	3.98484264502496	1.5189233265098698e-12	No	No
Q6PCB5	RSBN1L	3.44978605861001	1.4451647434331902e-09	No	No
Q6PIY7	TENT2	2.79083380110315	0.0003265504684783	No	No
Q6PK04	CCDC137	1.87148959060706	0.0001262256783225	No	No
Q6PKG0	LARP1	2.44344126945373	4.28960949742612e-13	No	No
Q6RFH5	WDR74	1.64495454830849	0.0010606838606281	No	No
Q6T4R5	NHS	2.61587863638414	4.93501407761885e-06	No	No
Q6UB99	ANKRD11	4.27065746168749	0.0020420792897906	No	No
Q6UVJ0	SASS6	6.72796645300665	7.27868272230168e-11	No	No
Q6ZN55	ZNF574	3.20566812318396	0.0001338149030963	No	No
Q6ZNB6	NFXL1	1.85011538521868	0.0068886293498324	No	No
Q70CQ4	USP31	2.69796143351851	0.0002983306835242	No	No
Q71RG4	TMUB2	3.9266323524977	2.68450266367378e-08	No	No
Q71SY5	MED25	2.42402588872652	0.0011425146432905	No	No
Q75N03	CBLL1	2.54489350381813	6.0224726236921e-05	No	No
Q7KZ85	SUPT6H	3.54370418418137	2.93508718933968e-08	No	No
Q7L2J0	MEPCE	1.68017851449524	0.0036771437446907	No	No
Q7LGA3	HS2ST1	2.33401170050639	0.0022653768700434	No	No
Q7RTV0	PHF5A	4.05784235285176	1.12846095520566e-14	No	No
Q7Z2W9	MRPL21	4.10465825618274	4.4033657284090704e-17	No	No
Q7Z3G6	PRICKLE2	3.17577664727041	0.0003991452828801	No	No
Q7Z3J2	VPS35L	3.29050547329684	0.0004563997244532	No	No
Q7Z417	NUFIP2	3.10464328899693	6.86284017781854e-10	No	No
Q7Z460	CLASP1	2.42984258461517	1.2374218144192099e-11	No	No
Q7Z478	DHX29	2.73715449715475	6.37855391074691e-06	No	No
Q7Z5J4	RAI1	3.59925116306963	6.61210580632421e-05	No	No
Q7Z6E9	RBBP6	3.18862089333418	0.00024964870492	No	No
Q7Z6K5	ARPIN	2.52186856850319	3.13112643158626e-10	No	No
Q7Z7F7	MRPL55	2.90359533883531	4.69637817426331e-07	No	No
Q86SX3	TEDC1	2.95962035098134	0.000381762809752	No	No
Q86TB9	PATL1	1.80759830870546	0.000441505570483	No	No
