Protein_Group	Genes	SAX_vs_RAW_logFC	SAX_vs_RAW_pval	Removed?	Contaminant?
O08573	Lgals9	3.24185530544397	0.0010352984154605	No	No
O08579	Emd	3.80949846301914	1.89449384792482e-10	No	No
O08582	Gtpbp1	2.65235157084631	0.0010544104405476	No	No
O08585	Clta	5.12997738801232	1.12932438717256e-10	No	No
O08586	Pten	3.27217924761609	6.0189114365503906e-09	No	No
O08599	Stxbp1	3.27999669073933	1.02256467603436e-05	No	No
O08605	Mknk1	2.42726158950671	2.8428847247769197e-12	No	No
O08638	Myh11	5.75126718147246	3.08274544879749e-14	No	No
O08663	Metap2	3.11371078243588	9.56050597070976e-07	No	No
O08688	Capn5	5.55022804523848	3.56725992957934e-10	No	No
O08692	Ngp	4.28949068108067	4.39049539308172e-13	No	No
O08715	Akap1	2.98496896456632	0.000155465962487	No	No
O08746	Matn2	3.76295296811232	2.58881406642041e-10	No	No
O08749	Dld	2.28813493718377	8.98349668103809e-05	No	No
O08756	Hsd17b10	4.58471136246873	6.00692895273277e-11	No	No
O08759	Ube3a	7.47231695028348	1.18893856131001e-16	No	No
O08784	Tcof1	6.41834012575687	4.4418816501904504e-20	No	No
O08788	Dctn1	8.09645015551925	3.57839569488335e-10	No	No
O08795	Prkcsh	5.24934970734913	8.82605501239927e-14	No	No
O08796	Eef2k	5.78541989172255	2.5977098146638998e-12	No	No
O08797	Serpinb9	5.55696332732919	1.32288672475663e-10	No	No
O08804	Serpinb6b	5.02118630979902	1.44977683570266e-05	No	No
O08807	Prdx4	5.45892960180361	1.16013253678806e-12	No	No
O08808	Diaph1	6.58835562884098	2.6922995841735598e-11	No	No
O08810	Eftud2	2.94916497917635	0.0058477070362482	No	No
O08842	Gfra2	2.5456234195945	7.82917640003815e-05	No	No
O08852	Pkd1	6.20064380345288	2.34337068178708e-10	No	No
O08912	Galnt1	2.05199669774056	0.0009712554083178	No	No
O08917	Flot1	4.17810820111965	1.24264453289542e-06	No	No
O08983	Hps1	5.79840808395835	2.5338891258277298e-18	No	No
O08992	Sdcbp	6.10092392249431	2.56901901552808e-07	No	No
O08999	Ltbp2	3.85797149483214	7.91237907396437e-10	No	No
O09039	Sh2b3	1.99622016549833	3.2309852313792503e-09	No	No
O09044	Snap23	6.98983731215285	4.09444604232199e-12	No	No
O09061	Psmb1	4.09428103539082	5.6340418214656805e-14	No	No
O09110	Map2k3	4.87358719564165	8.09996213131037e-11	No	No
