Protein_Group	Genes	Protein_Names	IgG_dox-_Avg_Peptide_Count	IgG_dox+_Avg_Peptide_Count	AURKA_dox-_Avg_Peptide_Count	AURKA_dox+_Avg_Peptide_Count	Species	Intensity_IgG_dox-_BR1_TR1	Intensity_IgG_dox-_BR1_TR2	Intensity_IgG_dox+_BR1_TR1	Intensity_IgG_dox+_BR1_TR2	Intensity_AURKA_dox-_BR1_TR1	Intensity_AURKA_dox-_BR1_TR2	Intensity_AURKA_dox+_BR1_TR1	Intensity_AURKA_dox+_BR1_TR2	Intensity_IgG_dox-_BR2_TR1	Intensity_IgG_dox-_BR2_TR2	Intensity_IgG_dox+_BR2_TR1	Intensity_IgG_dox+_BR2_TR2	Intensity_AURKA_dox-_BR2_TR1	Intensity_AURKA_dox-_BR2_TR2	Intensity_AURKA_dox+_BR2_TR1	Intensity_AURKA_dox+_BR2_TR2	Intensity_IgG_dox-_BR3_TR1	Intensity_IgG_dox-_BR3_TR2	Intensity_IgG_dox+_BR3_TR1	Intensity_IgG_dox+_BR3_TR2	Intensity_AURKA_dox-_BR3_TR1	Intensity_AURKA_dox-_BR3_TR2	Intensity_IgG_dox-_BR4_TR1	Intensity_IgG_dox-_BR4_TR2	Intensity_IgG_dox+_BR4_TR1	Intensity_IgG_dox+_BR4_TR2	Intensity_AURKA_dox-_BR4_TR1	Intensity_AURKA_dox-_BR4_TR2	Intensity_AURKA_dox+_BR4_TR1	Intensity_AURKA_dox+_BR4_TR2
O75879	GATB	GATB_HUMAN	1.875	3.0	2.25	1.8333333333333333	HUMAN	2370.489	92624.555	149876.4	181947.42	105642.484	98260.89	65155.293	115695.01	49317.668	116928.836	128987.69	4404.932	465206.72	331246.88	36394.457		2464.7986	180866.6	21165.816	51778.355	62746.82	1917.9756	35679.34	57179.027	139855.1	58975.3	12314.344		86261.1	5462.314
O75880	SCO1	SCO1_HUMAN	1.75	2.0	2.625	2.8333333333333335	HUMAN	365416.12	598598.6	1239617.8	784558.75	1360185.6	650972.8	1182671.8	992505.9	190422.08	930515.1	273589.44	589126.56	2788600.0	981837.94	394498.03	186908.78	133168.55	647982.9	745569.25	914046.56	771854.5	474582.5		672377.0	321635.44	354251.1	1424555.5	737192.4	1997790.9	1066783.1
O75886	STAM2	STAM2_HUMAN	0.75	0.5	1.5	1.6666666666666667	HUMAN		4333.7246		16715.162	21272.01		3892.9373	19777.27	4350.783		4496.22		26947.602	31324.568		1272.9125	3283.9268	4619.6274	45935.29				4645.5454			1750.893	3476.236	3962.9207	32473.227	15302.178
O75909	CCNK	CCNK_HUMAN	0.5	0.0	2.375	1.6666666666666667	HUMAN		2531.3865			293391.6	145588.31	83011.0	270894.94	4025.9507	93767.984			84418.7	562415.8	1090.1882			11332.95				5584.278					419498.44	18613.512	55064.035	52511.43
O75915	ARL6IP5	PRAF3_HUMAN	2.875	1.75	3.625	2.8333333333333335	HUMAN	207445.36	438375.62	46693.484	575045.9	517371.0	710655.06	543741.6	626034.5	187262.5	577167.3	150300.4	162170.25	1705096.9	1635896.6	410716.47	256439.73	54413.746	297498.0	254277.4	190563.88	550130.1	227081.4	128525.766	198485.62	95650.97	60642.45	532233.4	678182.06	609447.2	209222.28
O75923	DYSF	DYSF_HUMAN	1.375	1.375	1.5	2.0	HUMAN		4819.945		6298.451	20311.809	12354.018	31585.79	9834.547	6067.0747	75634.055	7765.2524	4768.169	26935.758	28712.938	1647.5322		14615.024	45380.49	15780.848	36619.098				16628.672	70265.97	4349.3564	13908.358	2886.5718	64402.742	90915.19
O75925	PIAS1	PIAS1_HUMAN	1.125	0.875	1.875	3.0	HUMAN			122370.91	3524.6626	41516.605	4876.091	10433.968	102591.484	4843.6265	4889.1025	3011.3726		263296.78	104048.55	6759.3477	2806.8948	3354.007	59217.09	39144.883	2777.8125	2418.1448			49551.582		51092.055	58161.1	9524.738	50668.445	75120.195
O75928	PIAS2	PIAS2_HUMAN	0.0	0.25	0.625	0.8333333333333334	HUMAN					101345.984		62000.746						1168.0573	56908.965		27543.867			2917.7478	140519.92		1220.3186							4499.2173	4386.854
O75934	BCAS2	SPF27_HUMAN	8.125	7.5	29.625	29.833333333333332	HUMAN	1015545.5	1715937.1	3073142.8	3105628.2	111590470.0	73458960.0	67417096.0	72281760.0	3069778.0	5677638.0	981977.25	818727.94	78765780.0	68717040.0	60099650.0	29707218.0	990615.7	2288552.5	2966259.0	2633346.5	43960212.0	30687200.0	1481051.1	3040938.5	2507310.0	1435169.4	97003710.0	73704290.0	105596296.0	54392524.0
O75935	DCTN3	DCTN3_HUMAN	7.125	8.0	6.5	5.166666666666667	HUMAN	797246.2	1425695.9	2081388.8	2505786.0	888016.2	1047646.0	697865.4	1131722.2	792842.2	1318479.2	1463321.6	843773.3	3252145.8	4341717.0	158259.36	127963.98	1183389.8	1752628.4	1987412.9	1686853.0	563424.9	303768.6	826061.1	1021756.8	1369017.5	1135022.8	830078.0	757570.0	1425512.9	779930.4
O75936	BBOX1	BODG_HUMAN	0.0	0.0	1.875	0.0	HUMAN													5579814.0	4258734.5														62192.566		
O75937	DNAJC8	DNJC8_HUMAN	2.5	2.0	3.625	3.1666666666666665	HUMAN	87314.92	86790.55	4109.656	154488.19	128746.26	180943.56	172686.06	175568.1	120460.33	173733.06	72553.23	4185.929	440226.5	294105.22	207948.75	88241.79	198947.36	126277.984	128841.97	70528.26	129561.9	158772.0	46858.918	119180.78	6243.7383	12921.443	507606.7	189708.83	320600.62	311499.0
O75940	SMNDC1	SPF30_HUMAN	1.625	0.875	5.625	6.166666666666667	HUMAN		204361.0	155186.28		8808606.0	8845507.0	10623308.0	8533762.0	1002300.5	1539585.8	218252.5		8489181.0	8221385.0	6216476.0	5471245.0	360035.88	940263.9	355974.4	1074935.0	7172248.0	6720853.0	397910.2	667865.6	149252.3		11827744.0	8417753.0	11100236.0	7899111.5
O75943	RAD17	RAD17_HUMAN	1.25	1.5	2.5	2.5	HUMAN		52465.73	2840.86		919.99066	78734.7	89507.77	19826.361		39615.836	8785.328	3454.0447	155364.02	167141.36	4390.3716		52622.543	9084.043	136671.4	16270.084					3892.029	2318.7769	14986.811	8582.455	125015.46	54266.49
O75947	ATP5PD	ATP5H_HUMAN	8.0	9.375	11.875	10.333333333333334	HUMAN	2265355.8	4259687.0	6283280.5	7369923.0	8434546.0	6131229.5	9568958.0	8084347.0	2563611.8	5338752.0	3664839.0	2439144.8	28533418.0	23970414.0	3155949.0	2148678.2	2601190.2	3834932.8	3444655.2	3062761.8	3700291.0	2274975.2	2402269.5	4240583.5	2713749.8	2483188.2	7363348.5	5657198.0	9771987.0	6663228.5
O75953	DNAJB5	DNJB5_HUMAN	0.125	0.125	0.5	0.6666666666666666	HUMAN						127597.81	262702.5			24406.225			33716.625	66254.89						28563.22									27010.04	61194.31
O75955	FLOT1	FLOT1_HUMAN	29.125	29.375	29.625	25.833333333333332	HUMAN	2572929.2	7362433.0	8675717.0	8601616.0	6318736.5	5038164.0	5055155.0	6453097.5	3927514.2	8852764.0	3721610.2	3499641.2	12452672.0	13112478.0	2139321.0	1491471.4	7711093.0	17328860.0	14086748.0	12084174.0	4399029.0	3639199.8	3730171.0	8224894.0	5103420.0	4288334.0	6811324.0	4029264.5	7874765.5	4900052.5
O75962	TRIO	TRIO_HUMAN	44.375	54.75	38.625	39.166666666666664	HUMAN	6033683.5	9960147.0	36519536.0	19488256.0	6517333.5	5312357.0	12816209.0	20114304.0	5672475.0	7754965.5	19011168.0	7878314.5	7947901.5	13229511.0	860804.75	639692.0	3654482.0	7378498.5	19144110.0	8722938.0	1531218.4	830291.1	4033456.5	15725573.0	29374418.0	6476430.5	7385694.0	5226351.5	12844652.0	10533881.0
O75964	ATP5MG	ATP5L_HUMAN	6.625	7.5	9.5	8.833333333333334	HUMAN	3251844.5	6101794.5	9141349.0	7896923.5	10906566.0	9573909.0	11725836.0	7804315.0	3107409.5	6230455.0	3765219.8	3204367.5	26703398.0	26987026.0	5502947.0	4155586.8	3234630.5	6146847.0	9254813.0	7746100.5	9384060.0	6949731.5	2454579.8	5541775.5	5760463.0	3221006.0	13369077.0	11174214.0	15506296.0	8150692.0
O75970	MPDZ	MPDZ_HUMAN	27.375	33.0	73.625	87.16666666666667	HUMAN	2323670.2	5684673.0	8679706.0	6613194.0	40828140.0	32653344.0	69896200.0	61407250.0	2186184.5	5004383.0	3640355.0	2487491.5	32070778.0	34831260.0	25005160.0	15226700.0	2913901.5	6231835.5	8512870.0	7663455.5	12129893.0	11849075.0	1976042.5	4824444.5	4599675.0	2751157.2	37149716.0	23931846.0	68614184.0	43031444.0
O75976	CPD	CBPD_HUMAN	2.5	3.0	3.875	4.0	HUMAN	29776.254	316691.1	475653.94	44279.805	376709.66	322109.28	239657.62	464659.84	66783.93	338438.4	29928.844	6777.718	533253.4	451489.38	81662.766	15050.3	224306.47	332823.5	67823.52	83255.164		18979.262	65952.805	288003.25	128115.25	115431.22	300418.56	49227.453	130663.86	236243.66
O76003	GLRX3	GLRX3_HUMAN	5.125	5.0	5.625	4.5	HUMAN	140278.45	498369.06	487664.6	63101.836	349886.44	212063.81	398410.84	354488.47	293856.0	789031.7	36989.387	275529.44	1640767.6	2312304.2	34704.29	3467.8503	338107.44	509420.44	1272888.4	1062185.8	138268.64	122763.164	343257.8	375756.97	498752.78	254912.38	692647.06	471291.03	964893.6	480382.2
O76011	KRT34	KRT34_HUMAN	0.0	0.0	0.625	0.0	HUMAN					65973.02	82361.91								34581.445							105829.15	185139.84								
O76021	RSL1D1	RL1D1_HUMAN	18.5	14.375	31.125	31.0	HUMAN	1378931.1	3180758.0	3582422.2	2735024.8	67160920.0	54211896.0	119003416.0	116094900.0	25379934.0	48803496.0	2285676.2	1042598.5	103507864.0	105717230.0	22943286.0	14898897.0	1935919.0	6803623.5	13126290.0	11728302.0	44908620.0	34766000.0	5661143.0	11435184.0	4544945.0	2544558.5	138702190.0	77249460.0	138795620.0	95392700.0
O76024	WFS1	WFS1_HUMAN	4.5	4.5	3.625	2.5	HUMAN	169129.06	307292.2	345065.62	242466.84	200207.16	131351.72	188579.4	173665.78	185011.17	263273.94	212840.08	190200.58	300515.94	331261.66		7884.3774	129950.69	193107.72	319619.3	80214.555	12304.221	50574.93	103967.99	193479.3	228212.31	120927.6	217774.64	151485.25	202503.67	134352.36
O76027	ANXA9	ANXA9_HUMAN	0.0	0.0	0.625	0.0	HUMAN					1886.4586								4961.0874	7903.869																
O76031	CLPX	CLPX_HUMAN	16.875	18.0	14.125	14.333333333333334	HUMAN	1659831.2	2861616.0	4632129.5	3161554.2	2554909.0	1748329.6	2867556.8	2549887.2	1112117.5	3008271.0	2496456.5	1354486.5	2841731.8	2350006.2	310925.03	662005.94	1022284.2	2106231.8	2332402.8	2622319.0	641810.6	489204.53	987075.8	2529544.2	3422773.5	1932206.5	2121327.5	1321685.8	2798731.0	1735259.0
O76054	SEC14L2	S14L2_HUMAN	0.875	0.375	1.0	0.5	HUMAN	35258.17	1646.1582		3963.9883	117312.32	1312.2123	3565.3179	148364.44		115774.31	100381.516		376105.8	360113.38				283321.34	107351.89					78373.25					122283.23	
O76062	TM7SF2	ERG24_HUMAN	0.0	0.0	0.5	0.16666666666666666	HUMAN					9295.158								32578.799	39821.6							9276.456									8552.934
O76071	CIAO1	CIAO1_HUMAN	1.625	1.5	1.375	1.8333333333333333	HUMAN	118024.42	260363.53	276608.72	155753.02		237505.83	266342.97	483397.62		175339.14	147407.95		370941.44	307027.72	161998.53		13624.927	244320.55	263878.78	217973.78		96703.2	82370.94	232599.98	184655.08		349340.7		458779.88	85615.55
O76080	ZFAND5	ZFAN5_HUMAN	0.125	0.0	0.5	0.5	HUMAN							245275.81						49810.742	55273.3		16838.574											99925.82	75628.086		84170.875
O76081	RGS20	RGS20_HUMAN	6.375	5.375	4.875	3.1666666666666665	HUMAN	203810.12	619234.75	472524.03	287337.06	73904.23	780528.44	500098.44	660746.2	110651.13	612977.1	472588.0	138558.0	1278958.4	1162453.5		45599.055	5330565.5	4017535.2	5643287.5	3960875.5	1042137.56	1303544.2	652973.3	945521.75	482719.5	112383.41	1422431.4	298368.25	1576146.8	264854.4
O76094	SRP72	SRP72_HUMAN	7.0	5.5	19.75	16.166666666666668	HUMAN	298660.2	429380.78	1736436.0	440748.12	5445362.0	6980057.5	3489865.8	9091859.0	1772512.5	1077407.9	180900.83	197174.61	13099193.0	19778064.0	211566.31	170404.34	586203.25	3395075.0	3299303.8	4251749.0	1105274.9	697757.2	407911.7	866643.25	22148.848	104739.7	2761995.8	4112691.2	6306873.5	4953264.0
O82803	SRPP	SRPP_HEVBR	0.0	0.125	2.25	0.5	HEVBR					19593.172	2078.663		1545.1538					4686060.5	6878274.5	47676.22					2074.2483										
O94760	DDAH1	DDAH1_HUMAN	0.625	0.0	0.375	0.3333333333333333	HUMAN	4586.3535	15876.865						242920.33	369356.1				665924.0	22402.277			21403.36				13248.737		442977.3							240453.23
O94761	RECQL4	RECQ4_HUMAN	0.5	0.125	3.375	3.1666666666666665	HUMAN					194807.66	22099.963	308669.94	420632.03	4681.9253	7333.6763			448116.03	44673.227	3624.533					5557.9556			105060.22	18441.79			805584.3	124540.695	596104.25	356202.38
O94762	RECQL5	RECQ5_HUMAN	0.375	0.0	2.0	2.0	HUMAN					68656.42	66929.234	268526.75	175556.73	32503.928	29056.588			93561.86	32600.684							49367.71		13364.132				210568.25	86213.06	223401.72	70462.914
O94763	URI1	RMP_HUMAN	2.0	2.75	1.0	2.1666666666666665	HUMAN	91748.516	63636.332	112118.125	81730.19	26008.23	20303.096	87355.91	77894.49	12956.229	57062.508	21714.46	61886.96	41564.57	95828.95	8692.773			14349.684	200636.08	53747.57			31807.607	109626.59	129932.516	82535.34	11285.852		122700.59	17767.46
O94766	B3GAT3	B3GA3_HUMAN	0.5	0.5	1.375	1.6666666666666667	HUMAN			21471.973		78262.44	14451.857	111573.914	108832.03	10155.9795	9518.322		9583.808	189328.27	162295.56	7336.37			11861.488		8879.213					9648.364		49202.633	47910.414	138441.4	77349.55
O94768	STK17B	ST17B_HUMAN	0.5	0.875	0.75	0.5	HUMAN		2061.46	2046.6711	31431.775		1282.6995		1828.3673		31442.816			1130.9742	1854.2019				1096.9741	41773.008	1426.5428	2258.7598					647.23364	1629.6564	400.12988	2255.7527	1421.3156
O94776	MTA2	MTA2_HUMAN	19.875	20.5	26.0	22.333333333333332	HUMAN	1813171.9	2457374.8	4478228.0	3542545.2	10855732.0	7033000.0	11419046.0	9910442.0	3240124.2	5665274.5	2186656.2	2079616.2	17590576.0	14912825.0	1473116.0	1036573.6	3320843.5	4377400.0	7144202.0	5560725.5	2754856.8	2419299.8	2015778.5	3465388.0	3719512.5	2249845.5	11234820.0	7548277.5	13267277.0	8229014.0
O94782	USP1	UBP1_HUMAN	0.0	0.125	0.375	0.3333333333333333	HUMAN								5380.0654					8373.602							1417.5841								5855.376	1730.7198	
O94788	ALDH1A2	AL1A2_HUMAN	0.75	0.875	0.875	0.6666666666666666	HUMAN	26065.637		64470.926	54016.43	29279.271	81927.945	27494.123	69969.53	33755.895			132710.05	62221.074	98899.33			38442.207	34793.78	63029.55			10730.433	24775.559	55729.92	79591.16		48996.996	72560.75	71739.59	
O94804	STK10	STK10_HUMAN	0.75	1.0	1.875	1.3333333333333333	HUMAN			8135.846		4739.3945		4760.046	45597.254	1187.9619		25493.666	2568.944	131484.06	68214.055				559935.4	45151.3	43402.695		1030.3325	13281.914	1131.7073	1162.0349		9263.091	7210.871	4522.9087	60259.746
O94808	GFPT2	GFPT2_HUMAN	1.0	2.25	0.875	1.0	HUMAN	92291.86	102364.36	199178.94	181048.45	24479.26	6096.3203		18749.111		72146.94	97831.8	41833.734		91081.5				654.6387		47583.23	6757.2393				60363.54	50751.5			51483.723	792.5434
O94817	ATG12	ATG12_HUMAN	0.5	0.625	0.375	0.3333333333333333	HUMAN			45203.184	54417.73	80146.01		25511.375	44400.33		38236.055	19841.875		67363.375	62535.312			43811.938	35643.78	60135.117	50834.645			28416.521							
O94819	KBTBD11	KBTBB_HUMAN	0.625	1.0	1.375	0.6666666666666666	HUMAN		1160.9941	5435.4053	8840.505		2451.5283	12527.37	6010.2905		831.2675	4658.258	701.35254	45812.504	12479.239				6431.67	8580.792	2965.4226	2888.796			42534.742	5235.576		9528.865	14767.677	5577.5923	
O94822	LTN1	LTN1_HUMAN	2.875	3.875	6.5	6.833333333333333	HUMAN	16019.74	69956.1	253810.44	28340.46	2376022.0	1580916.5	550125.5	1046106.6	31161.52	121670.8	28058.559	46253.426	515518.75	3212942.5	18943.166	14279.836	1176276.4	215729.44	394619.66	199850.64			59026.016	18267.227	256489.7	27883.652	259816.5	155780.02	2831699.2	269032.78
O94826	TOMM70	TOM70_HUMAN	4.0	4.0	4.5	4.333333333333333	HUMAN	737535.7	1437692.5	81312.984	1764494.8	1145149.2	1149758.4	1239246.6	2360898.0	1042847.94	2107575.8	1112409.0	408527.53	5981632.5	9496652.0	484628.38	292576.75	616853.2	207118.4	619238.94	821513.94	599424.6	150606.7	965543.6	1279927.4	499584.75	547809.25	1788015.1	985944.5	1724984.2	960512.8
O94827	PLEKHG5	PKHG5_HUMAN	1.125	1.125	1.25	0.8333333333333334	HUMAN	1226.8829	12911.853	15588.602		32637.684	15382.35	3708.4717	10469.668		2182.8247				76373.58			7721.361	117771.984	59757.395	58566.734				5732.256		6832.9	44698.832	4590.3887	65555.6	
O94829	IPO13	IPO13_HUMAN	0.5	0.5	1.375	1.1666666666666667	HUMAN			21165.828		22603.453		372228.9	43365.484		14150.759			808379.56	28832.79				12635.393	651341.8	472163.7		12770.985					17184.24	512178.38	33161.844	
O94832	MYO1D	MYO1D_HUMAN	0.0	0.0	0.75	0.0	HUMAN													217937.81	181501.5																
O94842	TOX4	TOX4_HUMAN	0.625	0.5	3.375	3.5	HUMAN	5949.253			3642.411	115904.945	5885.371	137247.25	79692.125		19609.432		35995.992	127766.29	156287.08	86917.89	21289.771		3471.7507			8022.479	38261.305		53189.605	3010.971	2247.8188	123858.95	83582.38	89482.555	173646.84
O94851	MICAL2	MICA2_HUMAN	6.375	7.875	13.0	13.666666666666666	HUMAN	102108.84	175486.81	461626.66	351592.72	956971.44	1077219.5	2215579.8	1964182.4	70287.22	423534.38	138208.22	106132.14	1787944.2	1997978.2	187989.73	179534.23	373201.88	921853.4	2173590.2	1401689.2	311802.28	318457.22	157044.2	313041.2	259677.22	150722.22	1623467.2	1100656.4	1789944.4	1062403.8
O94855	SEC24D	SC24D_HUMAN	7.75	11.0	13.625	12.666666666666666	HUMAN	1922458.8	2093691.2	4037906.5	4341901.0	7217824.5	4931919.5	8877480.0	10239191.0	433119.94	3309763.8	2717154.0	2106679.0	8698555.0	9267773.0	2199254.8	864267.5	2018227.2	3754440.8	4449813.0	3985914.2	2513579.5	2136783.0	1243558.0	1815579.4	3136606.2	2854174.8	5948133.0	5769060.0	12157767.0	9804390.0
O94864	SUPT7L	ST65G_HUMAN	0.75	0.5	2.875	2.5	HUMAN		27741.588		21547.682	212096.56	160437.0	90676.14	265561.22					48278.938	76553.625	26064.889		2583.0889		30869.766		6271.5903	27166.744	14546.124	49386.69		10310.831	299042.62	126717.195	96432.9	84434.35
O94868	FCHSD2	FCSD2_HUMAN	0.25	0.625	3.875	3.3333333333333335	HUMAN	6796.034		36509.906		225253.95	142910.89	159816.78	136343.94			5397.584	9747.511	148795.27	132512.6	46202.086	1908.0089	11988.307			21682.254	30200.059	32244.8				11823.808	116115.336	150219.81	122855.27	92589.375
O94874	UFL1	UFL1_HUMAN	11.875	13.0	13.875	13.166666666666666	HUMAN	3353746.8	6699524.5	9532919.0	7434013.5	14575560.0	13039354.0	14634017.0	10604328.0	3374804.5	3335430.2	5363457.0	2227986.0	20566638.0	23350172.0	494884.6	2011108.4	4780093.0	7593081.5	9841552.0	7894698.5	3644569.5	535765.2	4463411.0	7372536.0	5548539.0	2945652.0	9079099.0	9735534.0	12403761.0	7274997.5
O94875	SORBS2	SRBS2_HUMAN	2.25	3.0	0.625	0.5	HUMAN	3447.3376	32282.37		8963.141				11096.749		22847.656		19408.797					112757.164	181312.52	637237.06	597834.8	85267.234			74459.016	16721.688		9358.219	38976.35	41427.72	
O94876	TMCC1	TMCC1_HUMAN	0.0	0.0	0.25	0.16666666666666666	HUMAN						226955.08							160444.39																	62879.62
O94880	PHF14	PHF14_HUMAN	3.5	1.0	6.0	4.5	HUMAN	21234.982	75838.86	15384.906	64008.656	698886.7	348567.12	546445.25	413925.25	315680.84	630791.1			646793.25	1323347.8	39915.13		41146.35	69817.09	61990.082	8169.865	79055.375	75289.92	115793.945	146961.6	28033.193		481482.88	187879.1	938337.44	193357.28
O94885	SASH1	SASH1_HUMAN	0.0	0.0	0.125	0.6666666666666666	HUMAN							2863.5283	2126.1355							984.8771						926.8307								1657.5769	
O94887	FARP2	FARP2_HUMAN	0.125	0.875	2.0	4.166666666666667	HUMAN			10572.807		126720.016	6204.458	566571.06	485762.44		15681.272			150603.11	327929.94	82730.125	122792.66			24112.488	470002.2	68925.1						543113.3	12735.774	646892.4	200146.45
O94888	UBXN7	UBXN7_HUMAN	0.875	0.875	0.625	1.3333333333333333	HUMAN	3316.669		10087.08	7014.7627		4684.614	59881.39	91533.734					113882.34	69192.82		1435.92	34295.297	206711.48	93514.59	664465.9					4393.5337				36658.188	18470.838
O94901	SUN1	SUN1_HUMAN	14.125	12.375	14.0	11.166666666666666	HUMAN	219684.94	905699.25	1482961.9	1305087.1	2495788.0	1860159.9	1592000.2	1832568.0	3409943.8	7724310.0	1123523.8	1210412.2	7674172.0	6639686.5	258195.27	16432.83	197986.97	1144991.6	1512902.2	1960199.2	269155.12	316634.3	1263969.6	2650929.8	718941.06	735668.5	2216479.0	1312208.0	2166958.2	967124.2
O94903	PLPBP	PLPHP_HUMAN	1.375	1.125	2.0	1.0	HUMAN	5226.4604		5578.71	12324.599	46519.242	7770.7974	14152.795		16633.818	21091.303	9768.295	1568700.9	3165023.0	127940.61				20453.352	40806.438	4134.482	11576.316	6367.283	12607.242	20507.555			17292.898	11485.458	21791.234	4290.3516
O94905	ERLIN2	ERLN2_HUMAN	7.75	7.625	8.5	7.666666666666667	HUMAN	359745.94	1262177.2	1459902.6	1133123.6	2120078.2	1347501.1	1509536.0	1137002.9	677768.4	1018611.1	996660.94	506351.6	2957426.8	3038661.0	259787.31	440296.97	957086.25	1160492.0	1474086.4	1419866.2	751662.75	500328.38	776301.7	1297190.8	1119926.0	455666.62	1902563.8	895867.9	1395437.8	1222217.6
O94906	PRPF6	PRP6_HUMAN	33.75	36.75	44.125	43.333333333333336	HUMAN	7473520.0	12937807.0	20186230.0	16335091.0	35055844.0	28082144.0	62209356.0	42455470.0	11600841.0	22417160.0	10718182.0	9013665.0	46771600.0	47235170.0	11971117.0	6757620.0	4815924.0	13718920.0	18512282.0	18433062.0	10743779.0	10756672.0	7596997.5	13447760.0	11764224.0	9674571.0	47644256.0	36449330.0	54014740.0	30102624.0
O94913	PCF11	PCF11_HUMAN	8.0	10.75	8.875	8.5	HUMAN	80846.32	516678.62	25024836.0	439276.72	588229.9	582456.94	463513.8	790309.75	218882.11	535912.9	451936.6	380011.6	19561894.0	55627344.0	56641.28		230333.48	339758.25	334489.4	206731.64	180736.62	65551.69	235181.12	396718.06	20625476.0	14538999.0	392791.3	372555.47	705500.0	593382.2
O94915	FRYL	FRYL_HUMAN	16.5	22.375	58.25	55.666666666666664	HUMAN	1499464.2	2927569.5	3187361.5	3258521.8	38542264.0	29571444.0	25873784.0	26564858.0	797761.2	2332618.0	2164013.8	1034980.6	37114800.0	45741108.0	6074028.5	5704157.5	633869.2	2799806.8	5088998.5	4477503.0	4728683.5	4028051.0	1145494.8	2233046.0	2059673.0	1986715.6	26731814.0	21766994.0	35540984.0	25497754.0
O94916	NFAT5	NFAT5_HUMAN	1.75	4.375	9.75	9.833333333333334	HUMAN	301984.25	51828.223	807534.9	446719.7	1558129.6	1189650.9	1371799.2	1184647.1		618346.1	34597.19	500432.9	1895271.8	951951.0	767378.75	306512.3	255216.3	416932.75	878066.1	830927.2	586191.94	109145.55	54919.69	433730.28	778226.06	55550.055	1897390.4	719597.56	2408126.0	778847.6
O94919	ENDOD1	ENDD1_HUMAN	3.125	2.125	4.25	4.166666666666667	HUMAN	78822.766	119068.06	165327.84	16358.564	353095.75	205390.98	104631.71	557513.3	60300.266	190414.44	47905.836	115752.53	1101851.8	529843.94	149393.6	38364.574	162929.22	196341.62	125954.35	122495.66	107613.27	19529.223	42614.5	145057.9	36619.56		166641.31	112837.38	281821.53	876395.5
O94923	GLCE	GLCE_HUMAN	0.5	0.25	0.75	0.5	HUMAN	67822.766	5754.0093			184360.33	32289.492		14769.947		36520.44	11509.961		26383.69	380810.16			182390.39									5697.9004	14814.397		14270.48	5197.748
O94925	GLS	GLSK_HUMAN	7.625	7.5	6.875	5.166666666666667	HUMAN	637636.1	1302785.9	1581225.8	1417390.5	786768.1	647217.8	665291.1	585225.3	807217.9	2017815.0	899206.6	610410.44	2936535.0	3694243.8	151986.02	101666.98	431400.75	1135853.2	1357042.0	931500.0	239436.58	113338.54	526371.5	1042327.44	1231610.9	570058.94	933450.8	525104.3	986415.4	827101.5
O94927	HAUS5	HAUS5_HUMAN	13.5	14.125	8.5	7.666666666666667	HUMAN	1369583.2	2112145.0	3401799.0	3109648.8	536781.9	439672.84	341946.75	354752.3	557319.44	1554256.5	1057462.1	1010981.9	845135.7	801349.4	15272.642	16019.178	600550.9	1338396.5	1537008.0	1073373.9	98422.13	27904.068	419962.78	1590349.9	1584993.8	944258.5	501003.12	137819.6	1139555.8	287069.1
O94929	ABLIM3	ABLM3_HUMAN	16.375	15.625	8.5	4.666666666666667	HUMAN	480553.3	698149.6	2121651.5	961614.4	1342229.9	1081940.5	549227.0	935232.9	964340.9	1729444.6	1002973.25	574275.06	1606027.6	2606194.5	238796.52		11527406.0	21375940.0	41033950.0	42164388.0	1532464.1	1015456.0	3716560.0	5345286.5	1252347.2	1061058.2	1568980.0	832870.8	1512539.6	397237.53
O94953	KDM4B	KDM4B_HUMAN	0.875	0.125	1.25	1.5	HUMAN	2865.0671	107773.305			1299.3271	155790.0	1436338.8	10715.51	4778.2944	3884.5317			238722.36	6150.5913	2801.3665		6876.373	3895.3848		8340.598				2572.8865			7219.8555	6550.8193	7300.8447	8502.988
O94955	RHOBTB3	RHBT3_HUMAN	0.625	1.5	1.0	1.8333333333333333	HUMAN			12612.984		24066.979	7563.89	81294.695	95272.52	23020.984	44777.23	40624.47	17407.447	21407.033	100697.99	7253.402		8251.357	26516.824	63103.062	89071.13			11639.105		38720.46	8288.156	12648.316	50953.543	154824.58	44197.97
O94964	MTCL2	MTCL2_HUMAN	27.375	31.125	30.0	33.333333333333336	HUMAN	7581259.5	11977061.0	15360045.0	16895292.0	26969456.0	17540298.0	34371976.0	35419076.0	7692859.0	17275622.0	12316416.0	7141460.0	29897568.0	25331696.0	6295769.5	4132810.2	5631628.0	13903838.0	13294698.0	15376153.0	1161097.2	565608.6	4821254.5	13131973.0	9974677.0	10077594.0	21135130.0	20408614.0	34620896.0	27093348.0
O94966	USP19	UBP19_HUMAN	0.5	0.875	1.375	1.5	HUMAN					10523.254	4201.31	10527.321	2497.9436		7678.386			2819.5308	16846.16				8189.121	18291.979	5072.117					5235.9624		12482.418	5676.6055	17565.246	3759.87
