Protein_Group	Genes	Protein_Names	IgG_dox-_Avg_Peptide_Count	IgG_dox+_Avg_Peptide_Count	AURKA_dox-_Avg_Peptide_Count	AURKA_dox+_Avg_Peptide_Count	Species	Intensity_IgG_dox-_BR1_TR1	Intensity_IgG_dox-_BR1_TR2	Intensity_IgG_dox+_BR1_TR1	Intensity_IgG_dox+_BR1_TR2	Intensity_AURKA_dox-_BR1_TR1	Intensity_AURKA_dox-_BR1_TR2	Intensity_AURKA_dox+_BR1_TR1	Intensity_AURKA_dox+_BR1_TR2	Intensity_IgG_dox-_BR2_TR1	Intensity_IgG_dox-_BR2_TR2	Intensity_IgG_dox+_BR2_TR1	Intensity_IgG_dox+_BR2_TR2	Intensity_AURKA_dox-_BR2_TR1	Intensity_AURKA_dox-_BR2_TR2	Intensity_AURKA_dox+_BR2_TR1	Intensity_AURKA_dox+_BR2_TR2	Intensity_IgG_dox-_BR3_TR1	Intensity_IgG_dox-_BR3_TR2	Intensity_IgG_dox+_BR3_TR1	Intensity_IgG_dox+_BR3_TR2	Intensity_AURKA_dox-_BR3_TR1	Intensity_AURKA_dox-_BR3_TR2	Intensity_IgG_dox-_BR4_TR1	Intensity_IgG_dox-_BR4_TR2	Intensity_IgG_dox+_BR4_TR1	Intensity_IgG_dox+_BR4_TR2	Intensity_AURKA_dox-_BR4_TR1	Intensity_AURKA_dox-_BR4_TR2	Intensity_AURKA_dox+_BR4_TR1	Intensity_AURKA_dox+_BR4_TR2
Q9Y2S7	POLDIP2	PDIP2_HUMAN	11.75	12.5	10.25	11.166666666666666	HUMAN	1249063.2	2170135.2	2651693.5	2506877.0	955019.2	478938.75	1564712.2	1040555.06	610084.5	1394809.8	819942.1	1038373.2	1272386.0	1460657.0	487616.5	240779.11	276763.3	733053.1	1043751.4	763110.06	284887.1	333498.5	638155.94	902870.5	1421036.2	1235601.6	841767.94	855443.3	1277201.5	942615.6
Q9Y2T2	AP3M1	AP3M1_HUMAN	8.5	9.5	10.0	9.333333333333334	HUMAN	745300.94	1062832.8	2095377.5	1475969.9	3102037.5	1722903.1	2547032.2	2182817.8	696129.75	1861001.0	1229343.6	822875.5	3715534.8	4057997.8	273757.44	468660.3	1279091.6	2432869.8	3574962.0	2921885.2	695775.75	480345.12	575111.44	2014210.5	1504289.0	580500.8	3969378.0	2237201.0	3723016.2	2984595.5
Q9Y2T3	GDA	GUAD_HUMAN	0.0	0.125	0.75	0.16666666666666666	HUMAN					50066.426								180432.95	217130.66		43388.67										3781.3708				
Q9Y2U8	LEMD3	MAN1_HUMAN	5.125	3.25	8.375	8.166666666666666	HUMAN	9846.868	19397.666	14657.897	153288.11	285973.72	376578.7	792216.94	503812.12	122996.53	281289.56	81880.16	9991.884	640974.6	856107.6	78213.76	67547.73	114391.01	396627.0	468059.2	384494.84	174550.55	150092.62	94924.4	310023.3	4137.907		378006.97	427757.3	825786.8	490709.34
Q9Y2V0	CDIN1	CDIN1_HUMAN	0.0	0.0	9.75	9.833333333333334	HUMAN					18627164.0	14069013.0	7086872.5	9162942.0					11354214.0	11064374.0	1960347.1	1765482.0					2234364.8	1753670.9					8410489.0	6523147.5	9041992.0	5270716.5
Q9Y2V2	CARHSP1	CHSP1_HUMAN	1.375	1.0	2.125	1.3333333333333333	HUMAN	11396.536			29011.277	40504.254			78307.52	12127.032	59651.797	66735.65	6848.5503	97102.11	57704.91				87712.375	44119.645	62859.133	72066.61	40951.637	25094.578	92258.16	48148.61		81813.1	61111.79	117098.25	55151.418
Q9Y2V7	COG6	COG6_HUMAN	2.0	1.375	2.75	1.8333333333333333	HUMAN	138179.97	274308.44	7628.1465	194882.5	102790.55	3536.8472	189060.16	270695.8	83359.414		91463.914		496670.1	660681.6	32608.82		158252.11	122412.25	109681.984	236135.5		46636.82	55540.457	145082.94	107644.44		254189.0	77277.984	116119.86	82335.99
Q9Y2W1	THRAP3	TR150_HUMAN	36.5	37.125	58.875	57.5	HUMAN	15180871.0	28365222.0	54906120.0	52461380.0	377224640.0	307142270.0	522247520.0	451977380.0	58441250.0	109605500.0	30784946.0	22411058.0	299862500.0	299029120.0	159663780.0	104500070.0	27109052.0	43603756.0	50875116.0	52727444.0	258009800.0	203546940.0	27729784.0	47668464.0	35220836.0	32518242.0	452243400.0	343053820.0	495552480.0	330990980.0
Q9Y2W2	WBP11	WBP11_HUMAN	7.0	1.625	8.625	10.0	HUMAN	74175.66	78395.27	85053.89	31914.156	663708.4	422414.75	498851.06	485188.7	1180860.8	2327190.2	144153.61		2368379.2	2238487.5	353902.25	227208.25	66997.62	83556.23	125146.56	81721.41	274951.5	30639.494	229086.31	412173.84	31656.27	56097.297	431135.12	489321.1	1469080.6	999612.2
Q9Y2X0	MED16	MED16_HUMAN	0.75	1.0	1.125	1.0	HUMAN	1381.6488	47271.0	3775.6663		21629.465	10971.945	4481.12	193420.8		6209.335	19520.955		19521.547	25338.97			2437.7234		14188.137	21563.775				10828.028	13558.745	9269.987		3082.2522	15665.41	
Q9Y2X3	NOP58	NOP58_HUMAN	20.125	15.75	36.375	34.166666666666664	HUMAN	2056303.0	4772040.0	4570113.0	2323250.5	91803860.0	64375120.0	189829740.0	168705440.0	26647328.0	60578024.0	3205615.0	3338283.5	101328880.0	126330104.0	14119110.0	9072568.0	3224495.2	7623051.0	12483984.0	12479278.0	31712668.0	29937844.0	5991437.0	12150970.0	7909951.0	5982966.5	168491440.0	116253040.0	198947950.0	110377520.0
