Protein_Group	Genes	TRM_day15_vs_MoMacs_day15_logFC	TRM_day15_vs_MoMacs_day15_pval	Removed?	Contaminant?
Q3UQN2	Fcho2	5.26509771245338	0.0015056060173788	No	No
Q3UZ39	Lrrfip1	3.66284203733939	0.0038049856751316	No	No
Q569Z5	Ddx46	4.8404229696742	0.0034189404440279	No	No
Q571E4	Galns	3.12996108891775	0.0001563172632797	No	No
Q5SQ27	Sec14l3	3.28418423485523	0.0022819316879997	No	No
Q60605	Myl6	2.50909583725971	0.0033890514487479	No	No
Q60692	Psmb6	2.48908325509213	0.001342449991202	No	No
Q60749	Khdrbs1	4.05630915410013	0.0058473570148158	No	No
Q60767	Ly75	5.26893391838879	1.46037081372924e-05	No	No
Q60854	Serpinb6	2.40268569106545	0.0005694505108763	No	No
Q60870	Reep5	2.21390540540166	0.0005152522757133	No	No
Q60931	Vdac3	3.78443783600929	0.0050303348677461	No	No
Q60996	Ppp2r5c	3.76150259881438	0.0019065237001256	No	No
Q61074	Ppm1g	3.2916170637138	0.0045271716213607	No	No
Q61206	Pafah1b2	2.26772420583673	0.0054653750254842	No	No
Q61425	Hadh	3.69451704687313	0.0002399099567604	No	No
Q61503	Nt5e	5.78286488812584	8.66484152059599e-07	No	No
Q61753	Phgdh	4.18297257392338	0.0020706071839155	No	No
Q61768	Kif5b	6.94954235806187	0.0036132735740347	No	No
Q61830	Mrc1	2.94469050653132	1.25765021841204e-05	No	No
Q61838	Pzp	4.76245571605465	0.0003013804060542	No	No
Q62186	Ssr4	8.02732353195236	4.84777187255286e-07	No	No
Q62348	Tsn	2.07134658552286	0.0040157627212298	No	No
Q62376	Snrnp70	4.99201634065897	0.0044766613317301	No	No
Q62446	Fkbp3	4.19751425426448	0.000441531941414	No	No
Q64152	Btf3	7.37398716365855	8.37322372004248e-07	No	No
Q64467	Gapdhs	3.95997095010534	0.0031195532489063	No	No
Q64737	Gart	3.25552939945331	0.0004401672849725	No	No
Q6PHU5	Sort1	4.66082352298045	9.58996641091362e-05	No	No
Q78JE5	Fbxo22	4.05994090121251	0.0013802842233512	No	No
Q7M6Y3	Picalm	2.97058849145317	0.0037318836200265	No	No
Q7TMQ7	Wdr91	4.23078268890311	0.0003693133744287	No	No
Q7TN29	Smap2	3.56110152332362	0.0037323414969166	No	No
Q7TNC4	Luc7l2	3.38793302851108	0.0077319128452468	No	No
Q7TNG5	Eml2	2.40503949304513	0.0012658863605718	No	No
Q7TPR4	Actn1	3.02699995925378	5.98443192778594e-06	No	No
Q80UG5	Septin9	5.06623416662262	0.0006007937534896	No	No
Q8BFR4	Gns	3.5808354817432	0.000130152895743	No	No
Q8BFR5	Tufm	9.16584578718026	1.96564796454622e-07	No	No
Q8BGB7	Enoph1	5.92133997152101	2.57588439314635e-08	No	No
Q8BH24	Tm9sf4	8.04392918698119	2.42056534752716e-07	No	No
Q8BHN3	Ganab	4.24388928938426	0.000248148924113	No	No
Q8BI08	Mal2	7.9553797113142	2.12005844454907e-07	No	No
Q8BJW6	Eif2a	3.46800626315661	0.0007190831924785	No	No
Q8BL66	Eea1	6.09285751233663	0.0051812374155145	No	No
Q8BV13	Cops7b	4.43099131293078	0.0001851664322403	No	No
Q8BVI4	Qdpr	2.57935227842272	5.84522465791058e-05	No	No
Q8BWT1	Acaa2	2.58200010075867	0.0010189691038915	No	No
Q8BX10	Pgam5	5.78595077264662	0.0006235915527331	No	No
Q8BYW1	Arhgap25	4.21255651454388	0.0014534811657151	No	No
Q8C0D5	Efl1	4.04195775934266	0.0013244805069774	No	No
Q8C0E2	Vps26b	3.37530654089091	4.50100515460344e-05	No	No
Q8C129	Lnpep	4.59256820448523	0.0085831156882922	No	No
Q8C7J6	Kctd12b	6.9957854294295	1.07066943701252e-10	No	No
Q8CA72	Gan	8.44882153220591	7.63815805814891e-06	No	No
Q8CC86	Naprt	2.51418468454751	0.0097285244464491	No	No
Q8CI51	Pdlim5	5.92152140593234	0.003494378194541	No	No
Q8JZK9	Hmgcs1	4.9512804680049	0.0078868387529054	No	No
Q8K0E8	Fgb	4.82498081009257	2.09939719161084e-05	No	No
Q8K0G5	Eipr1	4.08352484969388	0.0053645965557993	No	No
Q8K157	Galm	4.3581987252634	2.38967411505343e-05	No	No
Q8K2T8	Paf1	4.45373264773701	0.0009313092426695	No	No
Q8K310	Matr3	3.86771846537225	0.0045597015188055	No	No
Q8K4Z3	Naxe	4.39141823438186	0.0016421303362257	No	No
Q8R180	Ero1a	4.84887449335446	0.0008778885293241	No	No
Q8R242	Ctbs	3.64771792173394	0.0009699274345626	No	No
Q8R317	Ubqln1	6.12074712962428	2.03017019283913e-08	No	No
Q8VCH6	Dhcr24	7.53094169175965	3.25997923281495e-06	No	No
Q8VCH8	Ubxn4	3.39689967400506	0.000153978001859	No	No
Q8VCM7	Fgg	3.45026489829642	0.0002477113527067	No	No
Q8VCM8	Ncln	6.2307263507873	0.0001592757253078	No	No
Q8VCR7	Abhd14b	4.3497790251435	0.0045538799905726	No	No
Q8VCT4	Ces1d	4.27091143737676	6.25275307554138e-06	No	No
Q8VD75	Hip1	4.16595069667647	0.0010718991741966	No	No
Q8VEB4	Pla2g15	2.84916996221562	8.1378444807487e-05	No	No
Q91VH6	Memo1	3.08730402670919	0.0082339520930084	No	No
Q91VR8	Brk1	7.7588112340403	5.51830723278985e-09	No	No
Q91W90	Txndc5	6.0129801799558	0.0004470790467932	No	No
Q91XA9	Chia	6.28569703300907	1.24657500680079e-10	No	No
Q91YP2	Nln	4.55170373603068	5.70421359641607e-08	No	No
Q91YR1	Twf1	3.85152780228019	0.0063083493844195	No	No
Q91ZJ5	Ugp2	2.81771307973085	2.41048749971745e-05	No	No
Q91ZX7	Lrp1	2.85118115357306	0.0007809373343508	No	No
Q920A5	Scpep1	4.16882446013799	0.0001891623437991	No	No
Q922R8	Pdia6	4.0295218529105	0.0003408573524226	No	No
Q923D4	Sf3b5	2.51947320059034	0.0045825117250795	No	No
Q93092	Taldo1	2.63903623159457	8.26719643879285e-05	No	No
Q99J08	Sec14l2	7.46584126447215	3.1268822451511902e-09	No	No
Q99K51	Pls3	5.11421354514117	0.0070479582721628	No	No
Q99K85	Psat1	6.09406943793219	0.0001382512395713	No	No
Q99KH8	Stk24	4.60104234144671	0.0001505033657133	No	No
Q99KI0	Aco2	2.31160944164583	0.0040064626077922	No	No
Q99KK2	Cmas	3.3320578711996	0.0093875826239529	No	No
Q99KN2	Ciao1	2.8884321266103	0.0050617436114942	No	No
Q99KP3	Cryl1	2.24916714210065	0.0004012555465172	No	No
Q99LJ1	Fuca1	5.6190792896763	5.78858732932314e-06	No	No
Q99P88	Nup155	5.14316230488093	0.0041794514254159	No	No
Q9CPT4	Mydgf	3.31802074270134	0.0027064306413585	No	No
Q9CPV4	Glod4	3.59544939885952	0.0012157318709922	No	No
Q9CPX6	Atg3	3.97699483547659	0.0036496958932524	No	No
Q9CQ60	Pgls	2.4323813946967	0.0039864272595762	No	No
Q9CQ86	Mien1	4.98673868452577	4.08466802490254e-09	No	No
Q9CQC8	Spg21	3.945471772909	0.000586615277353	No	No
Q9CQE1	Nipsnap3b	4.28467224241527	0.0040425791586812	No	No
Q9CQH7	Btf3l4	7.47922593258851	3.29762619607713e-06	No	No
Q9CQQ7	Atp5pb	7.22246022972615	0.000473742250816	No	No
Q9CQV8	Ywhab	2.6025230252126	0.0010258482691004	No	No
Q9CRB6	Tppp3	4.21420409235896	0.0027233168714407	No	No
Q9CRC9	Gnpda2	2.52115497973549	0.0006002153200602	No	No
Q9CXF0	Kynu	3.29112844981892	0.0059464991469089	No	No
Q9CY27	Tecr	5.32378032573559	0.0091876283711375	No	No
Q9CY64	Blvra	2.70971788612504	5.11851737400219e-05	No	No
Q9CYL5	Glipr2	2.61699351067719	0.0054498398455964	No	No
Q9CYR0	Ssbp1	3.40370770191457	0.0023121199003746	No	No
Q9CYR6	Pgm3	2.21301456583285	0.0051488326573783	No	No
Q9D0M0	Exosc7	2.53622877345143	0.0037445952435405	No	No
Q9D154	Serpinb1a	3.36150760600976	6.01409285011998e-07	No	No
Q9D1D4	Tmed10	9.46967990822325	1.10145031933331e-06	No	No
Q9D1E6	Tbcb	4.28008419781535	0.0028990602565768	No	No
Q9D6N5	Drap1	2.80282392203117	0.0009877635159165	No	No
Q9D6P8	Calml3	2.68525262737706	0.0018139208680654	No	No
Q9D6R2	Idh3a	9.90154129516265	1.70970011646924e-08	No	No
Q9D7J7	Capns2	8.70446942152275	6.23174214185932e-08	No	No
Q9D7V9	Naaa	3.68560174655526	1.29648010048057e-05	No	No
Q9D8S4	Rexo2	7.88053948821379	1.16860814656807e-10	No	No
Q9D9V3	Echdc1	2.723841989592	0.0031845082523256	No	No
Q9DAR7	Dcps	2.45470801368608	0.0006601347818472	No	No
Q9DB27	Mcts1	7.43220702550653	8.08034416360199e-06	No	No
Q9DB73	Cyb5r1	7.92559294226182	2.75250561284749e-07	No	No
Q9DBG3	Ap2b1	2.3250284439434	0.0003640077293833	No	No
Q9DBG5	Plin3	2.78963120075343	0.0062232394679729	No	No
Q9DBP5	Cmpk1	2.85690067129568	0.0039265906945784	No	No
Q9DBR1	Xrn2	5.0489678394835	0.0004056424547235	No	No
Q9DBS1	Tmem43	7.21647511615373	0.0003807480275068	No	No
Q9DC29	Abcb6	2.81284731755088	0.0013741961696312	No	No
Q9DCN2	Cyb5r3	8.13480540568745	8.71282456618432e-06	No	No
Q9DCT2	Ndufs3	5.9961825281754	0.001133610099723	No	No
Q9EPL8	Ipo7	2.52387851519636	0.0025538835843245	No	No
Q9EPU0	Upf1	4.49480770754206	0.0015252321455054	No	No
Q9EQ08	Sgsh	7.73481280055729	3.63723474048264e-07	No	No
Q9EQH2	Erap1	5.70324142018531	1.69590175431962e-07	No	No
Q9ES97	Rtn3	3.32503559900893	0.0007579343089947	No	No
Q9EST1	Gsdma	4.3234057668958	0.0092429278877946	No	No
Q9ET01	Pygl	3.04835266056833	1.05353626732418e-06	No	No
Q9ET22	Dpp7	3.46021649709203	2.03346779350631e-05	No	No
Q9JHK5	Plek	5.75432715073428	1.05713270987062e-06	No	No
Q9JII6	Akr1a1	2.8397916692841	0.0003201501992939	No	No
Q9JJU8	Sh3bgrl	4.08568385689699	2.05927748927816e-05	No	No
Q9JMD3	Stard10	5.93748352037363	0.0002189411713546	No	No
Q9JMH6	Txnrd1	2.00949417496686	0.0010292142522156	No	No
Q9QUH0	Glrx	5.7219031354573	2.7804117882268e-06	No	No
Q9QXH4	Itgax	5.73695555650129	0.0071147205150097	No	No
Q9QXX4	Slc25a13	7.34237582720101	7.88290829096603e-06	No	No
Q9QYR9	Acot2	8.14875406980063	6.54562459282134e-05	No	No
Q9QZ08	Nagk	3.77765920163236	0.0001315992233324	No	No
Q9QZ88	Vps29	3.97346414836217	6.91090515862732e-05	No	No
Q9QZE7	Tsnax	3.37104202104745	0.0068293249697906	No	No
Q9R062	Gyg1	2.09349158644953	0.0090123459732459	No	No
Q9R1P3	Psmb2	2.00089932626054	0.0076894488935555	No	No
Q9R257	Hebp1	4.42546648404448	0.0003700425093031	No	No
Q9WTP7	Ak3	5.29052264274735	0.0003479637973277	No	No
Q9WUM4	Coro1c	2.50415034541579	0.0012313962108926	No	No
Q9WV02	Rbmx	6.35030575096283	0.0001515082872582	No	No
Q9WVA4	Tagln2	2.81594123134045	0.0002251209981166	No	No
Q9Z0J0	Npc2	2.99788209410771	0.00116988627103	No	No
Q9Z0X1	Aifm1	3.02782939153338	0.0001296430027215	No	No
Q9Z0Y1	Dctn3	3.89871210299621	0.0034855375799705	No	No
Q9Z110	Aldh18a1	4.18331281691797	0.0011409366734937	No	No
Q9Z1K6	Arih2	2.04078600110194	0.0060816662759717	No	No
Q9Z2D0	Mtmr9	2.344202906317	0.0051280408754192	No	No
Q9Z2R6	Unc119	3.23478943546766	9.36455492149358e-05	No	No
A2ANY6	Mdn1	-6.95200996545085	0.0004681363512305	No	No
E9Q2M9	Wdfy4	-2.84222178133753	0.0024596321603668	No	No
O08573	Lgals9	-3.69262161333132	0.0003327714219608	No	No
O08692	Ngp	-7.18682741859464	3.09796142289334e-11	No	No
O08784	Tcof1	-2.70372386091604	0.0029633722626969	No	No
O70200	Aif1	-6.00148830042866	3.61456916259558e-06	No	No
P06804	Tnf	-4.76733298025671	1.25496451001121e-06	No	No
P08226	Apoe	-5.72007077139533	2.88986765883135e-05	No	No
P11672	Lcn2	-6.96930013984745	5.12529562202327e-10	No	No
P24668	M6pr	-3.38374211034335	0.0047210676842273	No	No
P28650	Adss1	-4.14209120028632	0.0008503376022585	No	No
P31725	S100a9	-3.40515115572784	0.0002122569316317	No	No
P42225	Stat1	-2.99976252291004	0.0017479725379031	No	No
Q00519	Xdh	-2.28143477174315	0.0011258002190121	No	No
Q08642	Padi2	-4.81710495037602	3.80110304676877e-05	No	No
Q3T9E4;Q62293	Tgtp1;Tgtp2	-6.155584430224	2.1281426864851804e-09	No	No
Q3UND0	Skap2	-3.21003339531354	0.0016293147737338	No	No
Q61107	Gbp4	-5.18131170657388	3.34425145103937e-07	No	No
Q61881	Mcm7	-4.28307636051384	0.0060554836710414	No	No
Q80SU7	Gvin1	-2.22366504932369	0.004890249402929	No	No
Q8BH61	F13a1	-7.21356896442995	4.2797748796929e-09	No	No
Q8C0L6	Paox	-4.51002712512742	1.08321689600606e-06	No	No
