"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0060070","GO:0060070",29,"GO:0035567",0.888116741162415,316,"canonical Wnt signaling pathway","non-canonical Wnt signaling pathway",0.916593495934959,0.423333333333333,0.79
"GO:0000122","GO:0000122",33,"GO:0000122",0.888116741162415,980,"negative regulation of transcription by RNA polymerase II","negative regulation of transcription by RNA polymerase II",0.823422764227642,0.417333333333333,0
"GO:2000780","GO:2000780",27,"GO:2001032",0.888116741162415,36,"negative regulation of double-strand break repair","regulation of double-strand break repair via nonhomologous end joining",0.820325203252033,0.407777777777778,0.801
"GO:0045661","GO:0045661",23,"GO:0060538",0.888116741162415,73,"regulation of myoblast differentiation","skeletal muscle organ development",0.881691056910569,0.4055,0.689
"GO:0044839","GO:0044839",28,"GO:0045930",0.888116741162415,155,"cell cycle G2/M phase transition","negative regulation of mitotic cell cycle",0.97079674796748,0.39825,0.562
"GO:0022008","GO:0022008",6,"GO:0030182",0.888116741162415,1715,"neurogenesis","neuron differentiation",0.880333333333333,0.371833333333333,0.937
"GO:1904358","GO:1904358",32,"GO:1904358",0.888116741162415,37,"positive regulation of telomere maintenance via telomere lengthening","positive regulation of telomere maintenance via telomere lengthening",0.809073170731707,0.357,0
"GO:0000086","GO:0000086",28,"GO:0045930",0.888116741162415,140,"G2/M transition of mitotic cell cycle","negative regulation of mitotic cell cycle",0.96949593495935,0.3555,0.7
"GO:0051973","GO:0051973",27,"GO:2001032",0.888116741162415,34,"positive regulation of telomerase activity","regulation of double-strand break repair via nonhomologous end joining",0.798926829268293,0.352,0.603
"GO:0032212","GO:0032212",32,"GO:1904358",0.888116741162415,34,"positive regulation of telomere maintenance via telomerase","positive regulation of telomere maintenance via telomere lengthening",0.798317073170732,0.351333333333333,0.992
"GO:0008089","GO:0008089",18,"GO:0019896",0.888116741162415,51,"anterograde axonal transport","axonal transport of mitochondrion",0.927065040650407,0.335,0.87
"GO:0072384","GO:0072384",18,"GO:0019896",0.888116741162415,89,"organelle transport along microtubule","axonal transport of mitochondrion",0.920837398373984,0.297,0.885
"GO:0006936","GO:0006936",13,"GO:1903522",0.881840800774149,351,"muscle contraction","regulation of blood circulation",0.957739837398374,0.59,0.619
"GO:0051972","GO:0051972",27,"GO:2001032",0.864960899048196,46,"regulation of telomerase activity","regulation of double-strand break repair via nonhomologous end joining",0.809764227642276,0.347777777777778,0.616
"GO:0001822","GO:0001822",4,"GO:0060993",0.859466503400189,314,"kidney development","kidney morphogenesis",0.914414634146341,0.555,0.89
"GO:0006357","GO:0006357",33,"GO:0000122",0.8591228692571,2581,"regulation of transcription by RNA polymerase II","negative regulation of transcription by RNA polymerase II",0.820317073170732,0.486666666666667,0.814
"GO:0070534","GO:0070534",34,"GO:0070534",0.849104239948319,58,"protein K63-linked ubiquitination","protein K63-linked ubiquitination",0.873357723577236,0.423857142857143,0
