,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
32,GO:0007171,activation of transmembrane receptor protein tyrosine kinase activity,GO:0007171,0.1627416,119.1325,486.9961,NRG1,Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0007171)
33,GO:0042749,regulation of circadian sleep/wake cycle,GO:0042749,0.1627416,119.1325,486.9961,PER3,Regulation Of Circadian Sleep/Wake Cycle (GO:0042749)
34,GO:0019216,regulation of lipid metabolic process,GO:0019216,0.1753968,10.46235,41.71677,ADIPOR1;BBS4,Regulation Of Lipid Metabolic Process (GO:0019216)
35,GO:0030091,protein repair,GO:0030091,0.1775322,39.70281,135.1097,MSRB2,Protein Repair (GO:0030091)
36,GO:1905719,protein localization to perinuclear region of cytoplasm,GO:1905719,0.1775322,39.70281,135.1097,HOOK2,Protein Localization To Perinuclear Region Of Cytoplasm (GO:1905719)
37,GO:0045161,neuronal ion channel clustering,GO:0045161,0.1775322,59.56024,219.5718,NRCAM,Neuronal Ion Channel Clustering (GO:0045161)
38,GO:0002839,positive regulation of immune response to tumor cell,GO:0002839,0.1775322,39.70281,135.1097,NRG1,Positive Regulation Of Immune Response To Tumor Cell (GO:0002839)
39,GO:0060312,regulation of blood vessel remodeling,GO:0060312,0.1775322,39.70281,135.1097,NRG1,Regulation Of Blood Vessel Remodeling (GO:0060312)
40,GO:1900407,regulation of cellular response to oxidative stress,GO:1900407,0.1775322,59.56024,219.5718,DHFR,Regulation Of Cellular Response To Oxidative Stress (GO:1900407)
41,GO:0032412,regulation of monoatomic ion transmembrane transporter activity,GO:0032412,0.1775322,9.623415,36.96499,NLGN1;NLGN2,Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412)
42,GO:0051838,cytolysis by host of symbiont cells,GO:0051838,0.1775322,59.56024,219.5718,NRG1,Cytolysis By Host Of Symbiont Cells (GO:0051838)
43,GO:1905459,regulation of vascular associated smooth muscle cell apoptotic process,GO:1905459,0.1775322,39.70281,135.1097,PDCD4,Regulation Of Vascular Associated Smooth Muscle Cell Apoptotic Process (GO:1905459)
44,GO:0086073,bundle of His cell-Purkinje myocyte adhesion involved in cell communication,GO:0086073,0.1775322,39.70281,135.1097,DSG2,Bundle Of His cell-Purkinje Myocyte Adhesion Involved In Cell Communication (GO:0086073)
45,GO:0044065,regulation of respiratory system process,GO:0044065,0.1775322,39.70281,135.1097,NLGN2,Regulation Of Respiratory System Process (GO:0044065)
46,GO:0050865,regulation of cell activation,GO:0050865,0.1775322,59.56024,219.5718,NRG1,Regulation Of Cell Activation (GO:0050865)
47,GO:0032099,negative regulation of appetite,GO:0032099,0.1775322,59.56024,219.5718,BBS4,Negative Regulation Of Appetite (GO:0032099)
48,GO:0055022,negative regulation of cardiac muscle tissue growth,GO:0055022,0.1775322,39.70281,135.1097,VGLL4,Negative Regulation Of Cardiac Muscle Tissue Growth (GO:0055022)
49,GO:1900076,regulation of cellular response to insulin stimulus,GO:1900076,0.1775322,59.56024,219.5718,NCOA1,Regulation Of Cellular Response To Insulin Stimulus (GO:1900076)
50,GO:0006651,diacylglycerol biosynthetic process,GO:0006651,0.1775322,39.70281,135.1097,PLCE1,Diacylglycerol Biosynthetic Process (GO:0006651)
51,GO:0060836,lymphatic endothelial cell differentiation,GO:0060836,0.1775322,39.70281,135.1097,SOX18,Lymphatic Endothelial Cell Differentiation (GO:0060836)
52,GO:0070100,negative regulation of chemokine-mediated signaling pathway,GO:0070100,0.1775322,39.70281,135.1097,ROBO1,Negative Regulation Of Chemokine-Mediated Signaling Pathway (GO:0070100)
