Protein_Group	Genes	WM793_vs_FMC29_logFC	WM793_vs_FMC29_pval	Removed?	Contaminant?
P01011	SERPINA3	2.96301587265591	0.0023771569702665	No	No
P01135	TGFA	6.97424713901754	2.2045565292766602e-20	No	No
P01591	JCHAIN	3.48495902198887	2.40732455775601e-16	No	No
P01893	HLA-H	9.59721418696015	1.22477068787176e-25	No	No
P01903	HLA-DRA	11.7949894910218	7.068611701017161e-24	No	No
P01911	HLA-DRB1	7.99255974524914	8.40464968151145e-26	No	No
P02786	TFRC	3.03245729465087	1.2134220287018102e-15	No	No
P02795	MT2A	4.76337989132142	3.87788889233853e-10	No	No
P03956	MMP1	5.08610627458768	5.07109855424171e-07	No	No
P04083	ANXA1	2.58393162892749	3.0132509487506597e-22	No	No
P04150	NR3C1	3.30723726583354	1.4483931421432801e-09	No	No
P04180	LCAT	2.80489933565226	4.04496147021001e-10	No	No
P04233	CD74	4.68301438109624	8.659240715375811e-19	No	No
P04440	HLA-DPB1	11.3219585894405	4.454525213571531e-25	No	No
P05120	SERPINB2	3.46591884426443	3.88213657368596e-07	No	No
P05362	ICAM1	3.77865743524919	9.47989987131301e-18	No	No
P05556	ITGB1	2.69673822698424	3.76970402311162e-24	No	No
P07305	H1-0	2.84390141244546	0.0003436629127559	No	No
P07306	ASGR1	6.11970424182966	6.52114245463579e-12	No	No
P07550	ADRB2	5.1549759504516	4.46226507488371e-23	No	No
P07942	LAMB1	2.38188563306097	4.71922430665296e-07	No	No
P08138	NGFR	6.05605974190173	8.973894380812151e-21	No	No
P08183	ABCB1	2.67818116539913	9.821444203267531e-21	No	No
P08243	ASNS	6.10887145906809	2.22488277205802e-15	No	No
P08247	SYP	4.33399299271915	1.37169925046361e-22	No	No
P08493	MGP	8.50376154276865	2.38483522190213e-23	No	No
P08913	ADRA2A	5.33630263423893	4.65154420027965e-16	No	No
P08949	NMB	4.59671140110882	1.05869518257244e-07	No	No
P09131	SLC10A3	3.03900728997359	4.04827064551617e-05	No	No
P09341	CXCL1	3.03960375682998	5.26111462173858e-20	No	No
P09622	DLD	2.70879329878798	1.47984255998363e-06	No	No
P09848	LCT	3.58558329713729	1.44928208914183e-05	No	No
P0CG29;P0CG30	GSTT2;GSTT2B	6.21516017398433	1.1097433584355201e-14	No	No
P0DMU9	CT45A10	4.61435598856117	2.49413776887749e-19	No	No
P10070	GLI2	3.07008123913625	0.0005047290950476	No	No
P10515	DLAT	4.71431072961878	1.8890248188760602e-14	No	No
P10586	PTPRF	4.47766770217524	5.88881837783355e-27	No	No
P10646	TFPI	3.37221004015825	4.16028975248774e-08	No	No
P10915	HAPLN1	7.9030398892701	8.68301433889171e-14	No	No
P11166	SLC2A1	3.70802288017596	6.54486582452555e-25	No	No
P11387	TOP1	2.78827594453563	5.07873337322071e-06	No	No
P11717	IGF2R	2.49315688651807	6.274922028011081e-20	No	No
P13284	IFI30	5.48692259727226	3.76138479265575e-16	No	No
P13612	ITGA4	5.27896141647386	6.3713296623614004e-21	No	No
P13667	PDIA4	3.82992976373174	2.0341989824651998e-17	No	No
P13674	P4HA1	2.4978911419352	2.99086769094586e-13	No	No
P13726	F3	3.67224479132703	1.24611936117461e-21	No	No
P13762	HLA-DRB4	16.2370300828691	2.6395179832552297e-11	No	No
P14314	PRKCSH	2.74723414210334	3.43589520378477e-15	No	No
P14625	HSP90B1	3.12528752801825	6.4361661952746594e-18	No	No
P14778	IL1R1	3.8469888380902	3.08207310798766e-11	No	No
P15018	LIF	9.546456171289	2.13404565121618e-27	No	No
P15144	ANPEP	2.37257000313783	3.84191054302339e-08	No	No
P15151	PVR	2.59291822422062	5.76867733595223e-17	No	No
P15291	B4GALT1	3.28494275776858	2.0859367429236799e-16	No	No
P15407	FOSL1	3.97048770675955	6.494022853328689e-12	No	No
P15692	VEGFA	6.76461323049604	2.5350224449253403e-10	No	No
P15907	ST6GAL1	2.94550874384346	2.26184298087647e-05	No	No
P15941	MUC1	4.45274270637886	2.90518775409117e-10	No	No
P16104	H2AX	2.91622121343086	1.96657243740887e-10	No	No
P16112	ACAN	8.42173001760444	2.2440381839084597e-22	No	No
P16144	ITGB4	2.55201105806357	4.2784824444522e-07	No	No
P16150	SPN	3.31872203589343	0.0003403518217511	No	No
P16871	IL7R	7.09725786779584	3.55084698879363e-19	No	No
P17301	ITGA2	2.55616854558124	6.27640318267466e-16	No	No
P17676	CEBPB	6.11756362856574	1.29581152095201e-08	No	No
P17936	IGFBP3	5.59751311012093	5.82909155766005e-16	No	No
P17948	FLT1	2.72750432233941	5.274520982658869e-16	No	No
P19022	CDH2	5.36026194816934	6.3834161624093504e-24	No	No
P19801	AOC1	4.4740467355617	1.38205589052597e-16	No	No
P19883	FST	5.09095525409503	7.72148879571734e-13	No	No
P20036	HLA-DPA1	16.4530897693737	7.209942272618639e-34	No	No
P20138	CD33	8.4645774950956	4.4409567995427195e-33	No	No
P20273	CD22	7.2344807830846	2.51331212296025e-13	No	No
P20290	BTF3	3.54642499909934	2.98950732666313e-14	No	No
P20309	CHRM3	6.69628734773637	2.08943678884535e-16	No	No
P20366	TAC1	5.53835770594775	7.27010175710171e-12	No	No
P20645	M6PR	2.62234657712144	3.46849522399361e-11	No	No
P20711	DDC	10.5383069421124	9.07615529043733e-30	No	No
P20908	COL5A1	6.85968019699796	3.81371709764516e-15	No	No
P20933	AGA	2.94185246063433	1.00826742056732e-08	No	No
P20963	CD247	2.37045148378972	6.64031014002202e-09	No	No
P21359	NF1	3.36400691275461	3.81542007239655e-23	No	No
P21453	S1PR1	3.74978574680629	2.9180147742123495e-11	No	No
P21589	NT5E	3.51798214687965	2.73652814827655e-22	No	No
P21980	TGM2	4.71686450016458	1.08775444554099e-23	No	No
P22004	BMP6	4.4236015711568	4.2474637590798005e-21	No	No
P22303	ACHE	3.57885230110895	4.76473740895651e-12	No	No
P22455	FGFR4	3.39950286559018	1.5582023660782e-06	No	No
P22532;P35325	SPRR2B;SPRR2D	4.42330777143092	2.1756837698361e-09	No	No
P22794	EVI2A	4.27588380396812	7.88239684161948e-14	No	No
P23229	ITGA6	3.49010581330225	1.08417962665173e-24	No	No
P23284	PPIB	2.91346146754563	4.03466488740609e-17	No	No
P23467	PTPRB	2.81076681743566	5.253804456830229e-11	No	No
P23468	PTPRD	3.0858690018102	6.90630653951065e-08	No	No
P23469	PTPRE	2.72237357103967	2.22042402947425e-12	No	No
P24588	AKAP5	4.08804454069578	0.0013821497889449	No	No
P24821	TNC	9.25308326708528	1.73920779803741e-26	No	No
