Protein_Group	Genes	SK-Mel-147_vs_HIM-ST_logFC	SK-Mel-147_vs_HIM-ST_pval	Removed?	Contaminant?
P21589	NT5E	3.31099900085724	1.5394878295700201e-21	No	No
P21741	MDK	6.10060731462911	1.40394204428072e-12	No	No
P22532;P35325	SPRR2B;SPRR2D	3.69427955281307	8.14327128925975e-08	No	No
P22735	TGM1	3.85076407871667	0.001851947438117	No	No
P22794	EVI2A	4.56872632539422	1.43949069542541e-14	No	No
P23229	ITGA6	6.0972700498084	8.976866588964021e-32	No	No
P23352	ANOS1	9.67331649908426	7.66802947471224e-14	No	No
P23467	PTPRB	4.35164989455865	9.504108650168789e-16	No	No
P23468	PTPRD	4.2936745504886	6.44590999032067e-11	No	No
P24821	TNC	6.7304412242765	1.7074402349600098e-22	No	No
P25311	AZGP1	4.37357049339751	2.40643878566157e-07	No	No
P26010	ITGB7	5.86402152361131	7.02767604102648e-16	No	No
P26012	ITGB8	3.01464863145171	1.10298131986495e-21	No	No
P26368	U2AF2	3.23680518619159	2.7428335159108e-17	No	No
P27216	ANXA13	6.55873678848984	9.01553716320824e-16	No	No
P28906	CD34	2.67056891568699	8.30832554194255e-09	No	No
P29034	S100A2	4.80241478984399	2.6946465092257804e-23	No	No
P29317	EPHA2	3.74257815564861	6.44679474299263e-29	No	No
P29323	EPHB2	6.58222112230419	8.704376895595159e-18	No	No
P29372	MPG	4.16710888676879	1.8056530738824498e-16	No	No
P29508	SERPINB3	5.25786186158052	1.181063841793e-07	No	No
P29558	RBMS1	5.05362244800599	2.2181796179841197e-12	No	No
P30408	TM4SF1	9.22736535242173	1.54668244802245e-22	No	No
P30530	AXL	4.48402955864741	3.0453989541819402e-25	No	No
P30550	GRPR	7.12828195052898	2.89289173393268e-23	No	No
P30793	GCH1	10.0309168084054	1.04557907417649e-25	No	No
P31025	LCN1	3.58108282513801	2.58962622913746e-06	No	No
P31146	CORO1A	3.11558885879327	1.02801385250336e-17	No	No
P31151	S100A7	4.74822007569346	3.100653607485e-07	No	No
P31350	RRM2	3.13161311951783	1.59180728139015e-14	No	No
P31431	SDC4	4.96364651016798	4.07409860429179e-23	No	No
P31483	TIA1	4.52781581356566	4.87609975943723e-24	No	No
P31944	CASP14	4.42629348390036	7.50151896523628e-06	No	No
P32246	CCR1	7.3478175944765	2.2873249542546503e-25	No	No
P33981	TTK	3.23837702513408	1.71838807197016e-14	No	No
P35052	GPC1	4.39952257327059	6.56585142713406e-21	No	No
P35240	NF2	3.41578587663351	5.24281316658349e-26	No	No
P35354	PTGS2	3.12256154007203	8.48399126011076e-05	No	No
P35367	HRH1	4.1577615674255	3.17681725285635e-20	No	No
P35368	ADRA1B	11.5503495436253	3.10706108659475e-12	No	No
P35590	TIE1	7.38337123329806	2.79379369017882e-16	No	No
P35612	ADD2	3.70665720639915	1.04237467454006e-14	No	No
P35670	ATP7B	2.80220736113169	9.28856866569584e-10	No	No
P36021	SLC16A2	4.4562270377758	4.46182774488133e-06	No	No
P36382	GJA5	4.87711533771638	2.4886789963108497e-11	No	No
P36383	GJC1	4.63039340450431	1.59899389584811e-21	No	No
P37108	SRP14	7.17008254420719	3.77399676683018e-32	No	No
P40197	GP5	3.12623529995311	8.43682273567701e-08	No	No
P40938	RFC3	3.42593034497878	2.19083910023526e-11	No	No
P41143	OPRD1	2.59924537116278	1.61940737156276e-08	No	No
P41214	EIF2D	2.61053151681895	1.6375218282906e-18	No	No
P42330	AKR1C3	3.37161463161378	3.20394195377412e-14	No	No
P42694	HELZ	4.99564010698697	3.0634818333160304e-15	No	No
P42768	WAS	10.2223296073971	1.69314139388283e-23	No	No
P42892	ECE1	2.97678888864914	3.5132367818556e-18	No	No
P43146	DCC	11.8706225231615	1.76421919537116e-15	No	No
P43355	MAGEA1	7.17244627335046	1.95306221576038e-24	No	No
P43358	MAGEA4	13.3133772351075	2.85393528536916e-40	No	No
P43360	MAGEA6	7.78276574893109	1.99958894125765e-31	No	No
P43363	MAGEA10	8.39937871466051	2.32902509179978e-31	No	No
P43365	MAGEA12	8.93266286709169	1.7355549807079e-33	No	No
P46013	MKI67	3.44319978628541	5.59935627825142e-07	No	No
P47900	P2RY1	4.24579524540453	4.81314301460039e-07	No	No
P47929	LGALS7	4.29426450119239	0.000557541216029	No	No
P48060	GLIPR1	6.54691423740868	3.4486873450162904e-19	No	No
P48509	CD151	3.57382860060157	2.32265639895204e-23	No	No
P48740	MASP1	4.60677630758815	2.0329939203975502e-20	No	No
P49458	SRP9	7.63446028112825	3.3061193306401104e-31	No	No
P49703	ARL4D	5.40569532064836	1.31835742750031e-10	No	No
P49795	RGS19	2.7749216775023	2.00214235452959e-17	No	No
P49796	RGS3	3.2035742643042	1.05459448178362e-06	No	No
P50225	SULT1A1	5.95423283939066	1.94836521261892e-16	No	No
P50479	PDLIM4	3.03452673033293	1.18553788359335e-15	No	No
P50895	BCAM	4.31154101998687	2.89453732007171e-21	No	No
P51157	RAB28	2.5976359491355	0.0010155595139754	No	No
P51161	FABP6	9.28547141866522	3.82448566785399e-27	No	No
P51512	MMP16	6.9219975582752	3.86535910266824e-14	No	No
P51575	P2RX1	4.82586059233487	4.90723234343247e-07	No	No
P51617	IRAK1	4.16933308233991	2.08010402439179e-21	No	No
P51788	CLCN2	4.25870085021169	1.01715305742192e-06	No	No
P51857	AKR1D1	4.83645096844149	2.34568446455187e-08	No	No
P52735	VAV2	2.71186634307761	8.06108216756363e-18	No	No
P52799	EFNB2	5.28692894702457	5.06836004934575e-25	No	No
P52803	EFNA5	4.77563649758899	5.98282885084339e-21	No	No
P52926	HMGA2	6.14018965718655	3.0992283719062194e-11	No	No
P53350	PLK1	2.73252692426566	3.62082384661836e-23	No	No
P54252	ATXN3	3.18269256611559	1.0719121604768501e-19	No	No
P54368	OAZ1	8.54396006820253	7.38624841848164e-34	No	No
P54646	PRKAA2	3.08388946508824	4.660834591881009e-11	No	No
P54725	RAD23A	2.69098136950132	1.49718686645828e-17	No	No
P54762	EPHB1	5.78468858361522	1.76350063300606e-28	No	No
P54826	GAS1	5.03020376434152	1.80362359782236e-06	No	No
P55040	GEM	4.11827565557265	6.904496529405091e-09	No	No
P55285	CDH6	3.5441083159302	3.20624004084249e-06	No	No
P55290	CDH13	5.09620298149814	1.58394346123902e-18	No	No
P56159	GFRA1	2.68644736464707	7.3459546468297704e-09	No	No
P56559	ARL4C	4.77522453145862	1.77989604056207e-24	No	No
P56749	CLDN12	3.23450014651217	7.17625925298301e-13	No	No
P56945	BCAR1	3.94874024855923	5.46968388541359e-20	No	No
P57075	UBASH3A	4.08788552457837	0.0026886899938399	No	No
P57087	JAM2	3.01814567999403	2.4830505897407502e-15	No	No
P57723	PCBP4	8.01938571826702	3.85293428768773e-23	No	No
P58107	EPPK1	5.60662145157661	3.78607247170247e-10	No	No
P58335	ANTXR2	3.61751316102469	4.05942519630258e-21	No	No
P58340	MLF1	2.8021249595085	1.6304714621469e-07	No	No
P58753	TIRAP	3.07194568577363	6.212928366520191e-09	No	No
P61006	RAB8A	2.76321365189015	6.97782431652613e-19	No	No
P61587	RND3	4.38130319482255	4.1561211932498105e-23	No	No
