Protein_Group	Genes	SK-Mel-147_vs_HIM-ST_logFC	SK-Mel-147_vs_HIM-ST_pval	Removed?	Contaminant?
Q9H3S3	TMPRSS5	6.27030224211923	1.1287511431857401e-10	No	No
Q9H3S7	PTPN23	3.68650119564145	3.17239342031881e-27	No	No
Q9H3T3	SEMA6B	3.90261772860579	7.47598018637125e-13	No	No
Q9H461	FZD8	5.3293046058993	2.9892240085577996e-13	No	No
Q9H4B6	SAV1	3.75572280901912	2.3553948218454697e-11	No	No
Q9H4B7	TUBB1	5.91388818128864	3.45469470596155e-17	No	No
Q9H4E5	RHOJ	2.94037243070987	1.06656654178017e-16	No	No
Q9H4E7	DEF6	3.56871124998012	5.28330985293343e-06	No	No
Q9H4F1	ST6GALNAC4	8.66503342738718	3.73905690511668e-12	No	No
Q9H4F8	SMOC1	4.04964280027356	2.69329257551217e-08	No	No
Q9H4H8	FAM83D	2.97784496400887	2.63541351104322e-06	No	No
Q9H4K7	MTG2	4.75630608872828	8.45067349077293e-07	No	No
Q9H5Y7	SLITRK6	4.50491305141895	1.24097491332396e-13	No	No
Q9H6B4	CLMP	3.49485823456112	3.5957957134613204e-09	No	No
Q9H6D3	XKR8	2.69259173221678	7.41780391035685e-14	No	No
Q9H6E4	CCDC134	3.87402215451025	2.88882434297478e-07	No	No
Q9H6L4	ARMC7	2.86756077453046	1.17996494338671e-09	No	No
Q9H7P6	MVB12B	3.72170947220798	4.98601378656391e-22	No	No
Q9H814	PHAX	4.17397783042244	5.4012253746424903e-17	No	No
Q9H8K7	PAAT	6.95467081442135	7.346945423030761e-25	No	No
Q9H8V3	ECT2	3.15832015497308	2.73033659991411e-09	No	No
Q9H8X2	IPPK	5.16612415707884	8.19829920958454e-10	No	No
Q9H939	PSTPIP2	5.0257169105548	4.35301511424496e-13	No	No
Q9H977	WDR54	3.7036609688012	5.33806831424798e-18	No	No
Q9H992	MARCHF7	2.76685798026841	4.54790071321701e-10	No	No
Q9HAR2	ADGRL3	6.49419485937801	1.90822006726136e-16	No	No
Q9HAU4	SMURF2	2.99893082587544	1.55026991085146e-18	No	No
Q9HB09	BCL2L12	3.438427625031	3.41719738351038e-24	No	No
Q9HBI1	PARVB	3.69749437031867	6.2682212879023e-27	No	No
Q9HBW9	ADGRL4	6.17779550373537	2.03920162202236e-24	No	No
Q9HC16	APOBEC3G	4.72077842820623	7.08696479488936e-24	No	No
Q9HC56	PCDH9	4.33973513173202	2.4302004777412e-19	No	No
Q9HC98	NEK6	4.23274600750816	4.57886167271471e-23	No	No
Q9HCC8	GDPD2	4.46419717228991	1.8572495870540302e-09	No	No
Q9HCE1	MOV10	5.21380411080549	1.0182747866336401e-23	No	No
Q9HCJ0	TNRC6C	6.65788800739544	6.25935726409781e-16	No	No
Q9HDC9	APMAP	4.32226090976535	2.7060900452549703e-20	No	No
Q9NP84	TNFRSF12A	4.28131112228028	2.81473432904829e-19	No	No
Q9NPD8	UBE2T	3.46403747877156	3.3121001517113604e-17	No	No
Q9NQ25	SLAMF7	4.48127511126523	6.62650030398166e-07	No	No
Q9NQ66	PLCB1	6.59939865999295	3.2414790560790003e-21	No	No
Q9NQS3	NECTIN3	5.48757735036025	1.55463168893615e-26	No	No
Q9NQX4	MYO5C	2.99809376202898	2.41967861887484e-09	No	No
Q9NQY0	BIN3	5.46866964404949	5.23517428466e-25	No	No
Q9NR56	MBNL1	4.51138247326748	1.27315581956556e-22	No	No
Q9NRG1	PRTFDC1	8.16741958530539	1.83471789315968e-33	No	No
Q9NRH1	YAE1	3.29464979394199	1.45049612484886e-08	No	No
Q9NRJ7	PCDHB16	12.5253419258728	1.05059807935541e-24	No	No
Q9NRM2	ZNF277	7.36331013042928	3.28740510581008e-16	No	No
Q9NRM7	LATS2	3.46487610061757	1.47591715117279e-05	No	No
Q9NRN9	METTL5	2.90231937161661	3.2841742735963497e-18	No	No
Q9NRW3	APOBEC3C	4.65928206779867	7.8900036908065005e-22	No	No
Q9NS87	KIF15	3.43621851561374	1.2696597280749302e-15	No	No
Q9NSP4	CENPM	3.48983581371835	0.0002076808652408	No	No
Q9NT68	TENM2	3.18476857739584	7.09063621000293e-05	No	No
Q9NUD5	ZCCHC3	5.59293649390832	5.07447060922487e-22	No	No
Q9NUL3	STAU2	3.34959391399021	1.2384053893711e-08	No	No
Q9NUU7	DDX19A	2.8585029375744	1.09219890508126e-22	No	No
Q9NVN8	GNL3L	3.58748172457531	2.8168684411818302e-14	No	No
Q9NVZ3	NECAP2	2.86141242680284	4.13217637387509e-20	No	No
Q9NW61	PLEKHJ1	3.74910225715007	1.90044956289462e-06	No	No
Q9NWF9	RNF216	4.461525892958	3.35215650876858e-06	No	No
Q9NWM3	CUEDC1	2.96559129787929	7.98343827815576e-16	No	No
Q9NWQ9	C14orf119	4.6922598867279	3.1811707989564603e-15	No	No
Q9NX01	TXNL4B	5.12022797130572	1.7332338325979001e-18	No	No
Q9NX09	DDIT4	2.75149983750984	0.0039905516315711	No	No
Q9NX76	CMTM6	3.36915970089028	1.46880542670033e-22	No	No
Q9NXH8	TOR4A	3.33231108897381	2.97318883604142e-10	No	No
Q9NY57	STK32B	2.69358003263403	1.80633762194661e-13	No	No
Q9NYS0	NKIRAS1	4.16873469092635	2.16434119910868e-13	No	No
Q9NYY3	PLK2	4.00302685095678	3.51234760128649e-07	No	No
Q9NYZ1	TVP23B	2.75062248629474	3.59047997902064e-09	No	No
Q9NZ53	PODXL2	5.57755253002242	5.4610195716324997e-14	No	No
Q9NZD2	GLTP	2.75187737727554	1.46978697273321e-15	No	No
Q9NZI8	IGF2BP1	12.6031748705636	3.94719323709979e-23	No	No
Q9NZJ4	SACS	2.918437787454	2.01426538717066e-06	No	No
Q9NZM3	ITSN2	3.41455143270583	5.02226648328453e-21	No	No
Q9NZQ7	CD274	8.38262523894464	6.22467121008942e-26	No	No
Q9NZT1	CALML5	6.57132112849473	2.30925121051304e-08	No	No
Q9NZU0	FLRT3	6.26339484234666	8.92547522426554e-25	No	No
Q9P0N8	MARCHF2	5.11885407069627	3.81780651744203e-10	No	No
Q9P0P0	RNF181	3.11009517590237	1.12517147373572e-11	No	No
Q9P0V3	SH3BP4	4.06903311001921	1.94308994644058e-26	No	No
Q9P121	NTM	7.29096072537168	7.525835404738951e-25	No	No
Q9P126	CLEC1B	4.48222321408599	1.86587983026759e-10	No	No
Q9P1F3	ABRACL	2.67100246917709	6.34246227420569e-10	No	No
Q9P232	CNTN3	10.1763894882931	1.1714443239318602e-19	No	No
Q9P273	TENM3	2.6479712765312	4.11353764143973e-14	No	No
Q9P2E3	ZNFX1	3.82818729670687	1.41837228836352e-13	No	No
Q9P2G9	KLHL8	3.95021299366915	2.40896376449299e-06	No	No
Q9P2Q2	FRMD4A	4.35159135184183	3.1401606656212203e-25	No	No
Q9P2S5	WRAP73	6.1138118129436	2.23713342918195e-10	No	No
Q9UBC2	EPS15L1	2.75002257859747	4.20759203236371e-21	No	No
Q9UBP9	GULP1	3.66784268842632	3.8995867163608297e-22	No	No
Q9UBQ6	EXTL2	3.19116389315655	2.0310234311402e-11	No	No
Q9UBR5	CKLF	5.72783022781076	2.8136176329116003e-22	No	No
Q9UBS0	RPS6KB2	3.52367050563377	0.005798687180411	No	No
Q9UBY5	LPAR3	6.30347497921929	1.5276368964494902e-23	No	No
Q9UGM3	DMBT1	3.77601588494857	1.4972158928043902e-14	No	No
Q9UH17	APOBEC3B	8.49397089573927	3.42029692708457e-19	No	No
Q9UHC7	MKRN1	9.89373172629441	2.6803475620612e-22	No	No
Q9UHD9	UBQLN2	2.59519072267797	2.35654766793157e-17	No	No
Q9UHP7	CLEC2D	4.42992249038774	1.01405398783155e-14	No	No
Q9UI30	TRMT112	3.58070545097129	4.34493200673766e-18	No	No
Q9UI42	CPA4	4.997669494311	7.9370772827661e-06	No	No
Q9UJ68	MSRA	3.78517066300606	2.2237048199337e-21	No	No
Q9UJJ7	RPUSD1	4.72634725631037	2.52442036215264e-14	No	No
Q9UJP4	KLHL21	3.69964672491467	1.9266336094017998e-12	No	No
Q9UK39	NOCT	2.82807081301732	1.03087154432655e-20	No	No
Q9UK76	JPT1	2.84577911754727	6.34884837016027e-13	No	No
Q9UKS6	PACSIN3	3.01872597710021	9.084020494014371e-23	No	No
Q9UKT4	FBXO5	5.02367953157313	0.0007977460106559	No	No
Q9UKU6	TRHDE	12.6933178365146	1.12372142840884e-13	No	No
Q9UKZ4	TENM1	5.27629150928981	4.33407957105907e-10	No	No
Q9ULI3	HEG1	5.09091174248321	5.79366138571571e-28	No	No
Q9ULJ8	PPP1R9A	3.37932081614589	2.25213252219904e-09	No	No
Q9UM82	SPATA2	5.66738867060602	7.46088911597807e-14	No	No
Q9UMR2	DDX19B	2.81587803292828	1.7054573268380599e-18	No	No
Q9UN66	PCDHB8	13.21430182516	2.91879244102029e-17	No	No
Q9UN67	PCDHB10	9.92677279959137	1.32628037335219e-23	No	No
Q9UN72	PCDHA7	10.1637881921102	1.52009659799971e-16	No	No
Q9UN81	L1RE1	10.0834163073308	3.89205566384482e-16	No	No
Q9UNF0	PACSIN2	2.59805236114873	1.1151528650553e-23	No	No
Q9UNK4	PLA2G2D	5.86135744019698	8.424453577871871e-15	No	No
Q9UNN8	PROCR	4.05593361523322	8.91542798801e-15	No	No
Q9UNQ0	ABCG2	5.04458616219128	2.80632200049347e-21	No	No
Q9UP52	TFR2	4.41049936164862	3.31901724567209e-14	No	No
Q9UPQ9	TNRC6B	4.06861206013023	4.90863660078673e-18	No	No
Q9UPR0	PLCL2	3.31320891425331	6.173595099244711e-15	No	No
Q9UPY6	WASF3	2.70036953953149	1.3653026627744101e-17	No	No
Q9UQB3	CTNND2	6.29080666155977	6.457684349441761e-15	No	No
Q9UQC2	GAB2	2.68856280025573	4.80138835775185e-16	No	No
Q9Y221	NIP7	3.5828732551561	1.88250684012132e-17	No	No
Q9Y233	PDE10A	3.12653380801805	1.90978296134697e-05	No	No
Q9Y2G1	MYRF	3.41159886525193	2.49327995495584e-06	No	No
Q9Y2W2	WBP11	2.94679671171319	5.33790945544095e-08	No	No
Q9Y3B4	SF3B6	3.56229480677003	8.871145062249271e-15	No	No
Q9Y3C7	MED31	4.43731688797762	8.86096940569109e-10	No	No
Q9Y3Q0	NAALAD2	3.262889919595	4.88466857228008e-18	No	No
Q9Y3R0	GRIP1	4.87113494795255	6.5499798702785e-11	No	No
Q9Y3R4	NEU2	2.577615788486	0.0005492338658307	No	No
Q9Y3T6	R3HCC1	5.40232536135377	7.304455263568391e-14	No	No
Q9Y3X0	CCDC9	5.45318982747101	1.9013665407814802e-21	No	No
Q9Y446	PKP3	5.87901152033705	1.46834210619188e-17	No	No
Q9Y4K1	CRYBG1	6.389051765608	1.2720518529714801e-14	No	No
Q9Y4L5	RNF115	4.71157638771211	5.428496950075149e-13	No	No
Q9Y4U1	MMACHC	3.51760834125424	1.94704875221555e-06	No	No
Q9Y4X0	AMMECR1	4.55184792805736	6.36513787915721e-16	No	No
Q9Y508	RNF114	2.65126394973658	5.4244567471542093e-11	No	No
Q9Y530	OARD1	3.02740281579112	0.0033810832622923	No	No
Q9Y5E1	PCDHB9	4.3757561502378	5.6406568942594e-19	No	No
Q9Y5E2	PCDHB7	12.8146348537672	1.07895383727576e-28	No	No
Q9Y5E3	PCDHB6	7.56199767178399	5.39576824535175e-21	No	No
Q9Y5E4	PCDHB5	7.06679748314619	1.48381074162615e-20	No	No
Q9Y5E5	PCDHB4	9.11790326791189	1.8392371806560199e-28	No	No
Q9Y5E6	PCDHB3	10.1804457888855	6.7164971747704e-25	No	No
Q9Y5E7	PCDHB2	13.3894305544157	1.10831201031198e-24	No	No
Q9Y5E8	PCDHB15	9.85357191226834	1.5771356247339601e-21	No	No
Q9Y5E9	PCDHB14	7.77814906268955	6.61559606213838e-23	No	No
Q9Y5F0	PCDHB13	5.12511402674468	1.20561581496874e-16	No	No
Q9Y5F1	PCDHB12	11.9331670143209	1.82322379661434e-24	No	No
Q9Y5F2	PCDHB11	11.0800886704607	2.9618809247260303e-21	No	No
Q9Y5G1	PCDHGB3	4.45780971553132	4.45436044889123e-13	No	No
Q9Y5G2	PCDHGB2	5.85046402445463	6.58048622302226e-23	No	No
Q9Y5G4	PCDHGA9	6.93202229558638	2.86599680541947e-22	No	No
Q9Y5G9	PCDHGA4	6.45218790712822	7.89298096144513e-16	No	No
Q9Y5H4	PCDHGA1	2.87868630572519	9.312779078827229e-18	No	No
Q9Y5I1	PCDHA11	3.01266765997416	4.91813758248834e-05	No	No
Q9Y5J5	PHLDA3	3.34162684526886	1.14685411305532e-21	No	No
Q9Y5V0	ZNF706	4.02260291701532	1.57844606074744e-17	No	No
Q9Y5V3	MAGED1	2.96247724264849	2.2872266510133002e-15	No	No
Q9Y625	GPC6	5.03905323112931	8.543969522251269e-18	No	No
Q9Y676	MRPS18B	4.7800895661464	1.31138245193568e-08	No	No
Q9Y689	ARL5A	2.99776676812462	5.2232436206305105e-17	No	No
Q9Y6H1	CHCHD2	3.13860223755385	4.30748608070905e-06	No	No
Q9Y6I3	EPN1	3.47930565524732	7.04015794428409e-26	No	No
Q9Y6M1	IGF2BP2	4.46910198663941	1.1624212830495999e-29	No	No
Q9Y6R0	NUMBL	3.33881755533	1.19700369936968e-24	No	No
Q9Y6W6	DUSP10	3.59486425343078	1.75000882122524e-06	No	No
Q9Y6Z7	COLEC10	3.62490743695909	6.684013819523801e-10	No	No
A0A024RBG1	NUDT4B	-5.10276452331551	4.77403802057397e-06	No	No
A0A7I2V3R4	RNF228	-3.80494204871639	1.17418718645756e-17	No	No
A0AV96	RBM47	-6.17213051608116	0.0022594968418691	No	No
A0AVF1	IFT56	-2.70561257739044	8.92041050198656e-06	No	No
A1L0T0	ILVBL	-4.09069022573019	9.29810876182602e-12	No	No
A1Z1Q3	MACROD2	-5.20084500809675	2.16176375032487e-19	No	No
A2RRP1	NBAS	-4.85145131435677	4.07998990392292e-14	No	No
A2RTX5	TARS3	-4.73815501376681	0.0019538610120721	No	No
A3KN83	SBNO1	-3.9264680627707	7.13718800294969e-05	No	No
A4D1E9	GTPBP10	-2.66480605614737	0.0008149307470129	No	No
A5PLL7	PEDS1	-3.83729675232899	0.0024366696650761	No	No
A6NCS6	C2orf72	-6.48222126636786	2.67512338079679e-16	No	No
A6NDB9	PALM3	-6.95539078932874	3.32665405871336e-05	No	No
A6NGB9	WIPF3	-3.97050167518439	1.01199611325289e-14	No	No
A6NGN9	IGLON5	-5.56548611738098	0.000160695150941	No	No
A6NHR9	SMCHD1	-4.9430497746699	5.24139624591232e-12	No	No
A6NHX0	CASTOR2	-3.71600830251832	1.3181020564771699e-11	No	No
A6NKD9	CCDC85C	-2.92464854287979	0.0087389662067951	No	No
A6PVS8	LRRIQ3	-3.49311928436455	1.8186816990441e-18	No	No
A8MWY0	ELAPOR2	-6.53606458909259	9.61521399627888e-25	No	No
B2RUZ4	SMIM1	-5.86307514160201	5.815447450957491e-25	No	No
C9JI98	TMEM238	-3.35466843958755	1.17580270601555e-19	No	No
F2Z333	FNDC10	-6.89945108945789	1.36903056316182e-27	No	No
O00115	DNASE2	-3.34560003869939	6.55636542477438e-08	No	No
O00142	TK2	-4.65629720538195	4.1750127870715897e-13	No	No
O00144	FZD9	-2.85218891750073	1.2905299645559e-06	No	No
O00151	PDLIM1	-2.7560130387387	8.627570762510439e-16	No	No
O00165	HAX1	-2.78203851452977	6.77750942161021e-05	No	No
O00221	NFKBIE	-2.62668673842459	6.96100395108811e-05	No	No
O00268	TAF4	-2.60482800321608	0.0023130893236757	No	No
O00287	RFXAP	-4.30001657313743	1.96619431225542e-12	No	No
O00291	HIP1	-4.90137349568822	9.098134438067381e-14	No	No
O00300	TNFRSF11B	-4.40915376694259	4.6284780391274005e-10	No	No
O00339	MATN2	-2.66721950485444	3.4706600574107e-09	No	No
O00445	SYT5	-3.40448523170863	7.1831728211822e-18	No	No
O00463	TRAF5	-3.95644661581406	8.867730109862321e-20	No	No
O00469	PLOD2	-3.47860263150618	1.98745397124144e-09	No	No
O00519	FAAH	-6.06752601210899	2.66271059370361e-25	No	No
O00534	VWA5A	-5.68697371907157	3.30464213089016e-18	No	No
O00625	PIR	-3.73372576129533	2.5102712166255902e-23	No	No
O14497	ARID1A	-3.01215382114059	1.3962028698863799e-11	No	No
O14531	DPYSL4	-6.17133585754404	7.92491900444596e-12	No	No
O14556	GAPDHS	-11.2501961175417	2.7618153433088704e-31	No	No
O14558	HSPB6	-7.25820785983981	2.6050057280018796e-26	No	No
O14576	DYNC1I1	-3.06118160327278	1.31099378826788e-13	No	No
O14646	CHD1	-4.38605820271757	0.004310531084168	No	No
O14647	CHD2	-3.25146463604073	6.800023035111631e-10	No	No
O14653	GOSR2	-2.651379505674	1.98253630026278e-09	No	No
O14686	KMT2D	-2.94556041588054	2.20194981343482e-05	No	No
O14734	ACOT8	-3.55167768456434	0.0002644802354362	No	No
O14773	TPP1	-4.50728777478417	6.9791577838134e-10	No	No
O14795	UNC13B	-3.22776933806059	3.48187237129787e-05	No	No
O14802	POLR3A	-3.19961562120554	1.99747878247822e-06	No	No
O14841	OPLAH	-6.90618279500948	3.51403153026128e-18	No	No
O14863	SLC30A4	-7.55991797173463	1.8608928175351697e-12	No	No
O14874	BCKDK	-5.71951606210628	6.6623948109623e-12	No	No
O14879	IFIT3	-2.91370865100707	2.03106993488578e-13	No	No
O14944	EREG	-4.80335771612499	7.41641941748473e-19	No	No
O14994	SYN3	-9.27816857711633	3.0960870575771696e-26	No	No
O15040	TECPR2	-2.67194011146591	2.8297211368757e-09	No	No
O15041	SEMA3E	-4.2051164750065	7.74252864191304e-09	No	No
O15047	SETD1A	-10.145199486949	2.85765120110969e-11	No	No
O15061	SYNM	-4.98880919044482	6.13201534098972e-12	No	No
O15075	DCLK1	-6.84937317757753	8.02769676889362e-21	No	No
O15091	PRORP	-5.99454166855722	1.01438670101588e-14	No	No
O15120	AGPAT2	-2.66454532480137	0.0002272626381993	No	No
O15164	TRIM24	-2.64264739825729	0.0006157788628216	No	No
O15173	PGRMC2	-3.66306863861609	6.08536448783168e-16	No	No
O15226	NKRF	-2.74826344806164	0.0029690376090883	No	No
O15230	LAMA5	-4.55103956180443	2.25549622679444e-12	No	No
O15235	MRPS12	-6.37245123885703	1.90343908870655e-14	No	No
O15240	VGF	-5.0658945362513	2.54086902639538e-12	No	No
O15247	CLIC2	-2.73968825961277	1.7929713479947399e-12	No	No
O15264	MAPK13	-5.74127536489923	1.17331353421405e-24	No	No
O15270	SPTLC2	-4.54738342963811	5.96356804392046e-06	No	No
O15327	INPP4B	-3.27160138178216	4.0461641822836e-13	No	No
O15354	GPR37	-4.39933370508835	6.688579814518151e-15	No	No
O15375	SLC16A5	-4.8870960803605	4.5275693923404e-08	No	No
O15382	BCAT2	-3.50455624873045	8.18726509201525e-06	No	No
O15394	NCAM2	-8.32191892384377	1.9980125916392998e-23	No	No
O15400	STX7	-2.69398716867641	6.7921333937560606e-15	No	No
O15403	SLC16A6	-11.2579346959847	6.77532712614141e-20	No	No
O15488	GYG2	-7.63295366008327	4.344786355356669e-30	No	No
O15523	DDX3Y	-11.703786988589	1.97548282684911e-21	No	No
O15533	TAPBP	-3.60280238280928	8.52358510134462e-06	No	No
O15550	KDM6A	-3.60451882856673	3.20011292148307e-05	No	No
O43148	RNMT	-5.35957683987534	1.1122129138151698e-11	No	No
O43173	ST8SIA3	-8.45497584368729	4.14054712584119e-25	No	No
O43236	SEPTIN4	-5.44527069868851	1.4855496643301e-09	No	No
O43246	SLC7A4	-8.32331763803526	2.1381400382776e-26	No	No
O43278	SPINT1	-4.99237911170697	2.29823801460872e-16	No	No
O43281	EFS	-7.18699278451528	3.1831271705581e-14	No	No
O43290	SART1	-3.17157052034701	2.341387188605e-05	No	No
O43291	SPINT2	-7.39284379249787	8.0698834678949e-30	No	No
O43301	HSPA12A	-5.71967022998673	2.9051381570500204e-15	No	No
O43303	CCP110	-4.00544357065183	0.0071498210088415	No	No
O43347	MSI1	-4.71256234782364	8.14566887226548e-11	No	No
O43374	RASA4	-3.82284651774545	7.11195578861671e-09	No	No
O43422	THAP12	-3.40623093690787	3.82190242848963e-05	No	No
O43451	MGAM	-3.70067008967239	2.08398265472697e-20	No	No
O43464	HTRA2	-4.73654533649657	5.95441865622444e-13	No	No
O43520	ATP8B1	-4.09608232898066	7.23167560039705e-10	No	No
O43581	SYT7	-3.51206084678238	1.02044227000215e-10	No	No
O43602	DCX	-4.20898751232358	1.21340947108417e-16	No	No
O43615	TIMM44	-3.68938424475029	1.56303603831786e-10	No	No
O43715	TRIAP1	-2.95239539099404	1.33333720638767e-07	No	No
O43719	HTATSF1	-5.15209880187952	4.6212652549520495e-18	No	No
O43731	KDELR3	-4.52718009220754	1.29888472459545e-06	No	No
O43736	ITM2A	-5.8632716675581	1.04275650453658e-21	No	No
O43819	SCO2	-5.10142821410342	3.56089149097221e-15	No	No
O43822	CFAP410	-4.58424796742954	6.91898057850066e-14	No	No
O43824	GTPBP6	-3.66993052165752	0.0018828211769867	No	No
O43826	SLC37A4	-5.27240737974022	1.39272398891873e-07	No	No
O43837	IDH3B	-6.46826941724709	1.07747199239679e-16	No	No
O43852	CALU	-2.8083379905101	2.9475289756027397e-18	No	No
O43861	ATP9B	-3.75691745723647	8.88580769897149e-08	No	No
O43900	PRICKLE3	-3.26147063290405	2.39588048132963e-10	No	No
O43934	MFSD11	-7.2049790175341	1.10261523620333e-24	No	No
O60231	DHX16	-4.01361779166307	1.3516333531215e-07	No	No
O60237	PPP1R12B	-3.94068288145433	6.37801586346916e-07	No	No
O60244	MED14	-3.1067228814823	6.33164347659533e-05	No	No
O60245	PCDH7	-2.7724337280719	8.83903613483504e-10	No	No
O60287	URB1	-3.1595045838429	0.0065748244566615	No	No
O60296	TRAK2	-7.35286762288493	8.04688123906173e-14	No	No
O60307	MAST3	-5.38614337517576	6.93972048876415e-12	No	No
O60312	ATP10A	-7.60489008575178	7.90025985244673e-18	No	No
O60313	OPA1	-6.14115265107401	6.1839764836666e-23	No	No
O60315	ZEB2	-4.66256442407097	1.3464306440565e-09	No	No
O60318	MCM3AP	-5.77353939905289	6.44747604389206e-06	No	No
O60336	MAPKBP1	-2.81063475639623	8.83144191740256e-06	No	No
O60341	KDM1A	-3.88388891014911	5.5502463056697404e-14	No	No
O60478	GPR137B	-6.15913649090614	8.89608857642916e-20	No	No
O60486	PLXNC1	-5.69804790459824	2.15782437762983e-18	No	No
O60512	B4GALT3	-2.95986148452143	8.15462158200274e-07	No	No
O60518	RANBP6	-2.71522613693468	0.0004635854373086	No	No
O60565	GREM1	-5.83446851436638	2.2417578094077998e-13	No	No
O60603	TLR2	-4.25715676044213	4.2639498096474e-07	No	No
O60641	SNAP91	-8.98082032743406	2.68754335328793e-19	No	No
O60662	KLHL41	-8.70758139129088	7.64460461823023e-21	No	No
O60687	SRPX2	-4.90418847715769	6.279097407017509e-12	No	No
O60711	LPXN	-2.9548077220952	0.0006986966138401	No	No
O60725	ICMT	-3.07950604932977	1.34403012581318e-17	No	No
O60763	USO1	-3.47720345449832	2.97827357264333e-17	No	No
O60825	PFKFB2	-5.4231634662581	2.46547535958594e-16	No	No
O60831	PRAF2	-3.50489130358054	1.1679223495291401e-14	No	No
O60906	SMPD2	-2.98497917590182	5.86719492948868e-05	No	No
O60921	HUS1	-2.83043058731889	0.0061577370562604	No	No
O60928	KCNJ13	-10.3671031970237	1.58226122496118e-29	No	No
O60931	CTNS	-2.77402727177905	6.50576964255864e-11	No	No
O60939	SCN2B	-3.73956011236463	3.2148629418606498e-18	No	No
O60942	RNGTT	-4.18408730487166	1.26341723625274e-05	No	No
O75030	MITF	-2.65308615243123	1.74247995885222e-14	No	No
O75063	FAM20B	-3.15466332809637	2.13589531552247e-12	No	No
O75078	ADAM11	-3.27659706431316	3.92520652405218e-05	No	No
O75094	SLIT3	-3.66510318664527	7.70360834047762e-07	No	No
O75110	ATP9A	-2.77886920470171	8.09173198998627e-16	No	No
O75140	DEPDC5	-6.08453294274814	6.234371192070281e-14	No	No
O75145	PPFIA3	-3.40911784471282	0.0001176598638819	No	No
O75150	RNF40	-2.5998802051876	2.0007695951438e-06	No	No
O75151	PHF2	-5.37757339769807	8.6891976058094e-06	No	No
O75164	KDM4A	-2.73337513060365	0.0004190119028546	No	No
O75251	NDUFS7	-7.19485935349923	1.86656889494611e-08	No	No
O75298	RTN2	-2.7951822349764	1.07237931813807e-10	No	No
O75306	NDUFS2	-3.26654024332199	1.19406854838016e-06	No	No
O75330	HMMR	-7.47985505552243	2.0641009967802e-07	No	No
O75354	ENTPD6	-4.07994726275103	1.95379005539946e-07	No	No
O75355	ENTPD3	-3.37651653857698	9.67035921591139e-11	No	No
O75365	PTP4A3	-7.27185667133589	3.7291130274838004e-24	No	No
O75390	CS	-3.00369734734406	5.62168318984774e-11	No	No
O75396	SEC22B	-2.84115075718331	1.4949895448228001e-18	No	No
O75400	PRPF40A	-4.06089290679625	1.75259539418991e-11	No	No
O75410	TACC1	-2.88799102385187	2.50879400701689e-12	No	No
O75439	PMPCB	-5.06372528716722	7.916791988097251e-15	No	No
O75448	MED24	-6.80773460540204	8.831625450729981e-15	No	No
O75475	PSIP1	-5.38073368053023	5.4009505476445e-10	No	No
O75489	NDUFS3	-3.65538120042474	4.41881404522558e-08	No	No
O75508	CLDN11	-7.39009937543162	2.40129972107201e-19	No	No
O75521	ECI2	-4.87502028907448	4.52950243163314e-09	No	No
O75529	TAF5L	-4.6098060613367	0.0006288295059479	No	No
O75530	EED	-6.51646974727404	2.4632913767327e-11	No	No
O75554	WBP4	-7.10548292191381	6.74424349371266e-08	No	No
O75582	RPS6KA5	-4.24009629433201	8.9089299884872e-11	No	No
O75616	ERAL1	-4.86603225544053	3.8877981652419406e-15	No	No
O75628	REM1	-3.3146507777253	6.2776184805904e-09	No	No
O75648	TRMU	-4.53095554778875	2.59462778072629e-08	No	No
O75691	UTP20	-2.70356307715905	0.0002637910454577	No	No
O75746	SLC25A12	-6.50517493973175	2.38811347174676e-18	No	No
O75781	PALM	-6.41448066869452	7.08982331846893e-17	No	No
O75843	AP1G2	-3.29683886899712	8.71226196790696e-12	No	No
O75844	ZMPSTE24	-3.2662688993068	7.17498757646039e-13	No	No
O75879	GATB	-6.3641190977718	7.18132751894954e-24	No	No
O75899	GABBR2	-5.32561278260055	3.52075806523361e-15	No	No
O75943	RAD17	-3.3046586608155	1.57270036976175e-05	No	No
O75976	CPD	-3.08461586842649	2.11229105385396e-14	No	No
O76024	WFS1	-6.41164764094187	1.55108171135141e-23	No	No
O76031	CLPX	-5.29532181807098	3.56124969617265e-05	No	No
O94762	RECQL5	-3.80413020988903	0.0026728081594468	No	No
O94768	STK17B	-3.90107164689529	2.71448421400261e-05	No	No
O94776	MTA2	-2.8634285357692	3.08300384280652e-11	No	No
O94788	ALDH1A2	-7.89143679358631	4.7574330204714e-16	No	No
O94812	BAIAP3	-4.37376506499845	2.32583232591937e-13	No	No
O94819	KBTBD11	-6.67076669230766	3.54979191284685e-26	No	No
O94832	MYO1D	-3.08025937116667	1.85165112859536e-16	No	No
O94842	TOX4	-4.97449571420157	1.97216539355833e-08	No	No
O94874	UFL1	-3.76385588926	3.8433783804330304e-14	No	No
O94888	UBXN7	-2.58614785659973	4.19410916303793e-06	No	No
O94898	LRIG2	-3.62249015461234	5.05524637830638e-08	No	No
O94919	ENDOD1	-3.31150787718368	3.7643586974185e-19	No	No
O94923	GLCE	-3.24337227204744	1.9018149074217201e-10	No	No
O94925	GLS	-5.42990196396206	2.07073602959189e-14	No	No
O95057	DIRAS1	-4.56823071224862	6.73435942113735e-14	No	No
O95069	KCNK2	-2.66080146705466	0.0003014518036216	No	No
