Protein_Group	Genes	HIM-ST_vs_FMC29_logFC	HIM-ST_vs_FMC29_pval	Removed?	Contaminant?
P22692	IGFBP4	1.77026443292217	3.42712185060305e-05	No	No
P22695	UQCRC2	1.89976358931022	4.98695083147222e-05	No	No
P22830	FECH	4.38706361793846	1.25000414475532e-06	No	No
P23284	PPIB	1.78083207501134	1.2151381311564898e-11	No	No
P23786	CPT2	3.32983971509099	5.89264902230603e-07	No	No
P24588	AKAP5	3.38458786454204	0.0065988392741128	No	No
P24752	ACAT1	2.21147766118186	3.22783817607953e-06	No	No
P25101	EDNRA	3.86599787548112	1.2378279834859101e-14	No	No
P25391	LAMA1	3.77109084389617	9.95202387774942e-10	No	No
P25940	COL5A3	3.64999398907505	2.83823512799807e-07	No	No
P25942	CD40	1.90926360961208	4.60475764941181e-07	No	No
P26022	PTX3	14.3543347781648	1.8114201073865902e-20	No	No
P26440	IVD	2.39260620136489	5.21606498265314e-06	No	No
P26447	S100A4	3.1878031275111	3.6292973126844303e-09	No	No
P27144	AK4	2.59508598689506	6.90928461276783e-06	No	No
P27658	COL8A1	2.8884740221399	2.34187272172362e-07	No	No
P28067	HLA-DMA	3.30648160441758	2.23544533125289e-11	No	No
P28300	LOX	6.91823931491444	3.46546839705517e-21	No	No
P28799	GRN	1.92200538255735	0.0001385543383526	No	No
P29144	TPP2	1.78730124483378	4.51357092767026e-06	No	No
P29279	CCN2	3.82690311784095	2.3448559332674297e-12	No	No
P29728	OAS2	6.00237172202476	4.43863710357018e-10	No	No
P30038	ALDH4A1	3.40521461351023	7.696194519088421e-09	No	No
P30084	ECHS1	1.880566584588	9.24009255297467e-07	No	No
P30101	PDIA3	2.56098908994576	3.46247443189057e-16	No	No
P30405	PPIF	2.23846891710463	4.17389318265996e-08	No	No
P30419	NMT1	1.78399382695754	1.21363309068668e-09	No	No
P30530	AXL	2.57243002824003	2.1783398007611898e-18	No	No
P30533	LRPAP1	2.93513012638371	2.41350203155314e-06	No	No
P30556	AGTR1	2.33152302322868	2.4575232378906704e-09	No	No
P30559	OXTR	4.74108726611585	4.4440870173673106e-15	No	No
P30837	ALDH1B1	3.36724244860452	1.44732744993947e-05	No	No
P31040	SDHA	3.74896714136398	5.39003930848413e-06	No	No
P32246	CCR1	2.41702366265142	3.44767680582341e-12	No	No
P32322	PYCR1	5.99012861483168	1.44820383037203e-08	No	No
P32455	GBP1	2.55658285081194	6.24596957342485e-10	No	No
P33764	S100A3	7.20667078568226	6.01259437025414e-20	No	No
P33897	ABCD1	1.9785481155782	0.0006305077495119	No	No
P34897	SHMT2	3.5116818614985	6.65475141488135e-10	No	No
P35318	ADM	7.0509900630292	5.47280195487834e-23	No	No
P35367	HRH1	7.14334406529116	5.63699617083341e-27	No	No
P35442	THBS2	4.40898702215366	1.22692775799739e-10	No	No
P36269	GGT5	5.27377169297144	4.2926671323121096e-11	No	No
P36956	SREBF1	2.42148136171912	0.0021089790845419	No	No
