term,ES,NES,fdr,Gene %,Genes,description
DGIdb_Drug_Targets_2024__ATEZOLIZUMAB,0.3209341570604246,0.7590991513370969,0.9486775708538164,42.41%,FGFR3;JAK3;CX3CL1,DGIdb_Drug_Targets_2024__ATEZOLIZUMAB
DGIdb_Drug_Targets_2024__XL765,0.3105674557502795,0.7548117334397849,0.9487784956200734,66.89%,PIK3R1;PIK3CG;PIK3CB;CRTC2;MTOR,DGIdb_Drug_Targets_2024__XL765
DGIdb_Drug_Targets_2024__METHYLDOPA,0.3126272560132599,0.751617290626531,0.9511520779259228,28.94%,HSD17B10;CASP6,DGIdb_Drug_Targets_2024__METHYLDOPA
DGIdb_Drug_Targets_2024__GEDATOLISIB,0.3113600313910731,0.7514232870849019,0.951013227894042,66.89%,PIK3R1;PIK3CG;AKT1;PIK3CB;MTOR,DGIdb_Drug_Targets_2024__GEDATOLISIB
DGIdb_Drug_Targets_2024__AXITINIB,0.3315848192862246,0.749253177851892,0.950337858720876,43.92%,PDGFRB;FLT4;YES1,DGIdb_Drug_Targets_2024__AXITINIB
DGIdb_Drug_Targets_2024__ETANERCEPT,0.2907481393538506,0.747233944815058,0.9509297585464666,68.14%,HLA-E;NFKB1;CD84;HLA-B;GHRL;HLA-DRB1,DGIdb_Drug_Targets_2024__ETANERCEPT
DGIdb_Drug_Targets_2024__RITUXIMAB,0.3047749307024072,0.7444931288609646,0.9516596778387456,47.40%,RPS19;TGFB1;JAK2,DGIdb_Drug_Targets_2024__RITUXIMAB
DGIdb_Drug_Targets_2024__CI 1040,0.2733521027793391,0.7438833636805446,0.951659972083412,66.66%,ROCK1;PRKCA;MAPK1;MAP2K2;AKT1;RPS6KA1;MAP2K1;LCK,DGIdb_Drug_Targets_2024__CI 1040
DGIdb_Drug_Targets_2024__LAPATINIB,0.2699546673347526,0.7341182823401697,0.9545727566005738,2.19%,HLA-C,DGIdb_Drug_Targets_2024__LAPATINIB
DGIdb_Drug_Targets_2024__GDC 0941,0.3071656777727065,0.732241280272583,0.9545387769005004,69.33%,PIK3R1;PIK3CG;PIK3CB;PIK3R6;PIK3C3;PIK3R4,DGIdb_Drug_Targets_2024__GDC 0941
DGIdb_Drug_Targets_2024__TOSEDOSTAT,0.2506006508883028,0.7266360114255869,0.9567152965249932,74.25%,NPEPPS;LAP3;LNPEP;DNPEP;METAP2;METAP1;NPEPL1;RNPEP;ERAP1;ENPEP,DGIdb_Drug_Targets_2024__TOSEDOSTAT
DGIdb_Drug_Targets_2024__XL147,0.2891535328142458,0.7263488288109214,0.956640309823364,69.33%,PIK3R1;PIK3CG;PIK3CB;PIK3R6;PIK3C3;PIK3R4,DGIdb_Drug_Targets_2024__XL147
DGIdb_Drug_Targets_2024__DABRAFENIB,0.2652927540166565,0.7238954391176728,0.9568091882947976,72.24%,G6PD;EML4;RAC1;MAP2K2;AKT1;MAP2K1;HLA-DRB1;KRAS,DGIdb_Drug_Targets_2024__DABRAFENIB
DGIdb_Drug_Targets_2024__VEMURAFENIB,0.2540471521919031,0.7228809490817719,0.9564454678631646,72.24%,FGFR2;RAC1;YES1;MAP2K2;AKT1;CBL;MAP2K1;KRAS,DGIdb_Drug_Targets_2024__VEMURAFENIB
DGIdb_Drug_Targets_2024__QUERCETIN,0.2271510420656861,0.7221894774542602,0.9564732881665894,72.31%,HSD17B10;RELA;BAX;GALK1;F2;NFKB1;YES1;MBP;PIK3CB;HSPB1;CD34;PON1;NFKB2;ALDH1A1;APEX1,DGIdb_Drug_Targets_2024__QUERCETIN
DGIdb_Drug_Targets_2024__TRIMIPRAMINE,0.2698083351617012,0.7112702271770733,0.9584490387403728,50.39%,COMT;CES1;EPHX1;AKT1,DGIdb_Drug_Targets_2024__TRIMIPRAMINE
DGIdb_Drug_Targets_2024__PROGESTERONE,0.2250890127737946,0.7027665266037897,0.9619630193320368,60.39%,ROCK2;MAPK1;TARDBP;TPM3;ATP7A;TGM2;PIK3CB;PRKAB1;CTSC,DGIdb_Drug_Targets_2024__PROGESTERONE
DGIdb_Drug_Targets_2024__ATORVASTATIN,0.2240993120823854,0.7022849008405259,0.9617075872936968,71.19%,HSPD1;MTHFR;PIK3CG;CD40LG;LEPR;APOA5;TGM2;POR;ITGAM;LIPC;HLA-DRB1;TFPI,DGIdb_Drug_Targets_2024__ATORVASTATIN
DGIdb_Drug_Targets_2024__BEZ235,0.2628987228874459,0.7016673821997743,0.9619883483164352,69.33%,PIK3R1;PIK3CG;PIK3CB;PIK3R6;PIK3C3;MTOR;RICTOR;PIK3R4,DGIdb_Drug_Targets_2024__BEZ235
DGIdb_Drug_Targets_2024__PF 04691502,0.3067506607020582,0.700679631029655,0.9610945811960064,66.89%,PIK3R1;PIK3CG;PIK3CB;MTOR,DGIdb_Drug_Targets_2024__PF 04691502
DGIdb_Drug_Targets_2024__DS 7423,0.3067506607020582,0.700679631029655,0.9610945811960064,66.89%,PIK3R1;PIK3CG;PIK3CB;MTOR,DGIdb_Drug_Targets_2024__DS 7423
DGIdb_Drug_Targets_2024__VS 5584,0.3067506607020582,0.700679631029655,0.9610945811960064,66.89%,PIK3R1;PIK3CG;PIK3CB;MTOR,DGIdb_Drug_Targets_2024__VS 5584
DGIdb_Drug_Targets_2024__LOVASTATIN,0.2244957731233803,0.6994785754634197,0.9611748189100692,5.93%,LDLR;LPL,DGIdb_Drug_Targets_2024__LOVASTATIN
DGIdb_Drug_Targets_2024__HEPARIN,0.2196543552740008,0.6954903077320959,0.9614954266036004,64.70%,HSPA4;SDC1;F10;PIK3CG;F2;HPSE;TGM2;VWF;SRGN;LIPC,DGIdb_Drug_Targets_2024__HEPARIN
