term,ES,NES,fdr,Gene %,Genes,description
GO:1902993,0.6794466354438622,1.7871559717259786,0.2021718854227627,23.50%,ROCK2;LYN;RELA;APP;PICALM;CASP3,GO_Biological_Process_2025__Positive Regulation of Amyloid Precursor Protein Catabolic Process (GO:1902993)
GO:1900120,0.7457765446810559,1.781406712065784,0.2095740400484365,1.81%,ATP2A3;ATP2A2,GO_Biological_Process_2025__Regulation of Receptor Binding (GO:1900120)
GO:0072583,0.560737456785001,1.774582621351624,0.2143226595812551,28.23%,CLTA;AP2B1;FNBP1L;AP2M1;CLTC;DNM1;CANX;STON2;AP2S1;PICALM;CLTB;PIP5K1C,GO_Biological_Process_2025__Clathrin-Dependent Endocytosis (GO:0072583)
GO:1902992,0.5790278473466098,1.7715349445191144,0.2153151893803128,22.16%,SORL1;FLOT2;ROCK1;RTN1;RTN3;RTN2;NTRK2;RTN4,GO_Biological_Process_2025__Negative Regulation of Amyloid Precursor Protein Catabolic Process (GO:1902992)
GO:0048013,0.5806605776805404,1.767614831633589,0.2086559009494006,24.76%,LYN;KALRN;EFNB1;NCK2;FYN;PTK2;ARHGEF7;PKN1;PTPN11,GO_Biological_Process_2025__Ephrin Receptor Signaling Pathway (GO:0048013)
GO:0006816,0.4973529574737513,1.767406831450674,0.2041010951072761,21.01%,ATP2A3;CDH23;STIM1;ATP2A2;ASPH;ANO6;COPS2;ITPR1;FYN;ATP2C1;GAS6;P2RX1;LETM1,GO_Biological_Process_2025__Calcium Ion Transport (GO:0006816)
GO:0051276,-0.6826189850118328,-1.7651991027561251,0.4027292635053711,31.85%,NUP133;BANF1;H1-5;TOP2B;NAA10,GO_Biological_Process_2025__Chromosome Organization (GO:0051276)
GO:0007009,0.4974205380340575,1.7635948507822878,0.2076297872716,31.46%,PACSIN2;SPTBN1;FLOT1;SYTL4;ANO6;COL5A1;SNX9;NSF;FNBP1L;CAVIN2;STX4;CHMP4B;BIN2;EHD2;MYH9;CHMP5;EPB41L3;VPS4A;VPS4B;ARL8B,GO_Biological_Process_2025__Plasma Membrane Organization (GO:0007009)
GO:0035330,0.5704851009088713,1.755951214754596,0.2194688446536204,38.66%,STK24;STK4;SLMAP;STRN3;YWHAE;STRN4;VCP;PPP2R1A;MAP2K3;MOB4;MAPK14;MAP4K4;SRC,GO_Biological_Process_2025__Regulation of Hippo Signaling (GO:0035330)
GO:0031638,-0.3622573142660966,-1.739263955460349,0.4338983680443773,42.04%,F12;KLKB1;HGFAC;MMP14;HPR;PGK1;FGB;FGG;C1RL;FGA;FURIN;THBD;C1R;PRSS3;CTSH;KLK1,GO_Biological_Process_2025__Zymogen Activation (GO:0031638)
GO:1903779,0.723337550138541,1.7382169757613215,0.2578684963946697,13.94%,ATP2A3;ATP2A2;PRKCA,GO_Biological_Process_2025__Regulation of Cardiac Conduction (GO:1903779)
GO:0034374,-0.6028406102051551,-1.7175769959837854,0.4580010019944643,39.84%,PLA2G7;APOB;APOA2;LIPC;CETP;MPO,GO_Biological_Process_2025__Low-Density Lipoprotein Particle Remodeling (GO:0034374)
GO:0002090,0.5930451272712087,1.7141037908422767,0.3230815527167386,9.82%,ARAP1;FLOT1;CD63;SDCBP;EGF;ANGPT1,GO_Biological_Process_2025__Regulation of Receptor Internalization (GO:0002090)
GO:0016601,0.6134117276665798,1.7115584127099337,0.3244527762122702,9.59%,CYFIP1;NCKAP1;BRK1;WASF1;DBNL,GO_Biological_Process_2025__Rac Protein Signal Transduction (GO:0016601)
GO:0002283,0.6310908175374421,1.7115576103305827,0.3178312909834484,15.55%,FCER1G;DNASE1;VAMP7;VAMP8;STXBP3,GO_Biological_Process_2025__Neutrophil Activation Involved in Immune Response (GO:0002283)
GO:0016079,0.7188321935823251,1.706863427874695,0.3255538398756331,28.23%,STX11;SNAP23;SNAP29;SNCA;SNAPIN;PIP5K1C,GO_Biological_Process_2025__Synaptic Vesicle Exocytosis (GO:0016079)
GO:0006754,0.5736889365945237,1.7055486722414657,0.3229542215200891,24.58%,ATP5PB;ATP5PD;ATP5MG;ATP5F1C;ATP5MK;ATP5PF;ATP5MF;TGFB1;ATP5ME;ATP5MJ,GO_Biological_Process_2025__ATP Biosynthetic Process (GO:0006754)
GO:0046824,0.5152452661815663,1.681464068607894,0.3627835927776516,25.24%,HCLS1;MAVS;EMD;IPO5;PRKCD;CAMK1;YWHAE;GAS6;TGFB1;ZPR1;FLNA,GO_Biological_Process_2025__Positive Regulation of Nucleocytoplasmic Transport (GO:0046824)
GO:0110020,0.703107511912612,1.6803796588273965,0.3606027349938615,19.85%,ROCK2;WAS;ROCK1;SLC9A1;FHOD1,GO_Biological_Process_2025__Regulation of Actomyosin Structure Organization (GO:0110020)
GO:0006891,0.5213716907506464,1.6792575910264451,0.3584624297562285,13.55%,COPB2;RAB33B;COPE;RAB6B;NSF;RAB6A;COPZ1;COPG1;NAPG,GO_Biological_Process_2025__intra-Golgi Vesicle-Mediated Transport (GO:0006891)
GO:0008064,0.6204994615617907,1.6791765607154974,0.3527834232286053,13.71%,HCLS1;WAS;ESAM;BRK1;ARHGEF7,GO_Biological_Process_2025__Regulation of Actin Polymerization or Depolymerization (GO:0008064)
GO:1902430,0.5535952778571381,1.6774369636971145,0.352762171847157,22.16%,SORL1;ROCK1;RTN1;RTN3;RTN2;NTRK2;RTN4,GO_Biological_Process_2025__Negative Regulation of Amyloid-Beta Formation (GO:1902430)
GO:0031032,0.4668945149219333,1.676805496340091,0.3493115341040451,27.76%,ROCK2;MYH14;TMOD3;MYL9;FLII;ROCK1;DNM2;BMP10;CDC42BPB;ITGB5;TPM1;RHOA;ACTN2;MYO18A;MYH9;PDCD10;EPB41;EPB41L3;F11R,GO_Biological_Process_2025__Actomyosin Structure Organization (GO:0031032)
GO:0009152,0.5114689837793731,1.674638988216138,0.3509244845761743,26.55%,GUCY1B1;ATP5F1C;AMPD2;AK2;ATP5F1A;GUCY1A1;ADSL;TGFB1;ADCY6;GMPS;PFAS;GART,GO_Biological_Process_2025__Purine Ribonucleotide Biosynthetic Process (GO:0009152)
GO:0090151,0.6175656352388228,1.6688060314557325,0.3587576686931205,34.61%,HSPA4;TOMM70;HSP90AA1;NDUFA13;SAMM50;MTCH2;TOMM22;TOMM40,GO_Biological_Process_2025__Establishment of Protein Localization to Mitochondrial Membrane (GO:0090151)
GO:0006119,0.4478725590216625,1.6660078305212525,0.3629885126759236,46.93%,UQCRC2;ATP5PB;ATP5PD;ATP5MG;UQCRC1;ATP5F1C;SDHA;NDUFS1;ATP5PF;NDUFS3;ATP5MF;NDUFA8;SDHB;NDUFS2;ATP5ME;UQCRB;NDUFA13;NDUFV2;NDUFB3;NDUFV1;NDUFA11;NDUFA7;NDUFA10;ATP5PO;NDUFA6;NDUFA5;NDUFAB1;NDUFS8;NDUFS4;NDUFS5;NIPSNAP2;NDUFA9;NDUFB1;NDUFA2,GO_Biological_Process_2025__Oxidative Phosphorylation (GO:0006119)
GO:0017157,0.5099638745912299,1.6655710175760197,0.3589961780717947,28.97%,SYTL4;RAB33B;SEPTIN5;NSF;RAB37;RAB21;STX4;STXBP5;RALA;SNCA;RAB27B;UNC13D;RAB5A,GO_Biological_Process_2025__Regulation of Exocytosis (GO:0017157)
GO:0002228,0.5695871417610028,1.6648370133002035,0.3561347803244201,35.98%,CD226;KIF5B;VAV1;TUBB;GRB2;NECTIN2;TUBB4B;PIK3R1,GO_Biological_Process_2025__Natural Killer Cell Mediated Immunity (GO:0002228)
GO:0055002,0.6524788934739855,1.6593865425361602,0.3687239826989076,2.73%,TMOD3;MYL9;FLII,GO_Biological_Process_2025__Striated Muscle Cell Development (GO:0055002)
GO:0030866,0.614199895582838,1.6581409129672506,0.3674509883588198,19.85%,ROCK2;NCKAP1;ROCK1;NCKAP1L;RAB13;FHOD1,GO_Biological_Process_2025__Cortical Actin Cytoskeleton Organization (GO:0030866)
