,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
20,GO:0044242,cellular lipid catabolic process,GO:0044242,0.1139083,19.08004,96.78321,FAAH;ACADL,Cellular Lipid Catabolic Process (GO:0044242)
21,GO:0045596,negative regulation of cell differentiation,GO:0045596,0.1139083,5.724138,28.50392,RIOX1;WNT5A;LRP5;ADIPOR1,Negative Regulation Of Cell Differentiation (GO:0045596)
22,GO:0001570,vasculogenesis,GO:0001570,0.1139083,19.08004,96.78321,PDGFRB;TGFBR3,Vasculogenesis (GO:0001570)
23,GO:1902075,cellular response to salt,GO:1902075,0.1139083,9.665686,51.73182,SYT1;WNT5A;TGM2,Cellular Response To Salt (GO:1902075)
24,GO:0045668,negative regulation of osteoblast differentiation,GO:0045668,0.1139083,18.01821,89.57179,RIOX1;LRP5,Negative Regulation Of Osteoblast Differentiation (GO:0045668)
25,GO:0046546,development of primary male sexual characteristics,GO:0046546,0.1139083,19.08004,96.78321,WNT5A;NR0B1,Development Of Primary Male Sexual Characteristics (GO:0046546)
26,GO:0051055,negative regulation of lipid biosynthetic process,GO:0051055,0.1139083,21.62842,114.4874,ACADL;NR0B1,Negative Regulation Of Lipid Biosynthetic Process (GO:0051055)
27,GO:0071560,cellular response to transforming growth factor beta stimulus,GO:0071560,0.1325653,7.815079,37.45977,TGFBR3;GDF15;WNT5A,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)
28,GO:0015846,polyamine transport,GO:0015846,0.1422462,159.8226,699.1403,SLC47A1,Polyamine Transport (GO:0015846)
29,GO:0006702,androgen biosynthetic process,GO:0006702,0.1422462,159.8226,699.1403,SRD5A3,Androgen Biosynthetic Process (GO:0006702)
30,GO:0034698,response to gonadotropin,GO:0034698,0.1422462,159.8226,699.1403,TGFBR3,Response To Gonadotropin (GO:0034698)
31,GO:0120161,regulation of cold-induced thermogenesis,GO:0120161,0.1422462,6.737671,29.70249,CEBPB;ACADL;ADIPOR1,Regulation Of Cold-Induced Thermogenesis (GO:0120161)
32,GO:0032103,positive regulation of response to external stimulus,GO:0032103,0.1422462,6.928873,31.04567,PDGFRB;WNT5A;CCL26,Positive Regulation Of Response To External Stimulus (GO:0032103)
33,GO:0042758,long-chain fatty acid catabolic process,GO:0042758,0.1422462,159.8226,699.1403,ACADL,Long-Chain Fatty Acid Catabolic Process (GO:0042758)
34,GO:0071346,cellular response to type II interferon,GO:0071346,0.1422462,13.50546,60.21648,WNT5A;CCL26,Cellular Response To Type II Interferon (GO:0071346)
35,GO:0001501,skeletal system development,GO:0001501,0.1422462,6.928873,31.04567,COMP;WNT5A;TGM2,Skeletal System Development (GO:0001501)
36,GO:1905522,negative regulation of macrophage migration,GO:1905522,0.1422462,159.8226,699.1403,C5,Negative Regulation Of Macrophage Migration (GO:1905522)
37,GO:0015872,dopamine transport,GO:0015872,0.1422462,159.8226,699.1403,TGM2,Dopamine Transport (GO:0015872)
38,GO:0045956,positive regulation of calcium ion-dependent exocytosis,GO:0045956,0.1422462,159.8226,699.1403,SYT1,Positive Regulation Of Calcium Ion-Dependent Exocytosis (GO:0045956)
39,GO:0060973,cell migration involved in heart development,GO:0060973,0.1479829,53.26344,196.4114,PDGFRB,Cell Migration Involved In Heart Development (GO:0060973)
40,GO:0048015,phosphatidylinositol-mediated signaling,GO:0048015,0.1479829,8.992714,33.59262,PDGFRB;PITPNM2,Phosphatidylinositol-Mediated Signaling (GO:0048015)
41,GO:0048522,positive regulation of cellular process,GO:0048522,0.1479829,3.036779,11.96379,PDGFRB;CDH3;LRP5;IL31RA;DPF3;TGM2,Positive Regulation Of Cellular Process (GO:0048522)
42,GO:0062012,regulation of small molecule metabolic process,GO:0062012,0.1479829,11.57143,48.40693,ACADL;ADIPOR1,Regulation Of Small Molecule Metabolic Process (GO:0062012)
43,GO:0046164,alcohol catabolic process,GO:0046164,0.1479829,53.26344,196.4114,SRD5A3,Alcohol Catabolic Process (GO:0046164)
44,GO:0033632,regulation of cell-cell adhesion mediated by integrin,GO:0033632,0.1479829,53.26344,196.4114,FERMT3,Regulation Of Cell-Cell Adhesion Mediated By Integrin (GO:0033632)
45,GO:0060347,heart trabecula formation,GO:0060347,0.1479829,79.90323,317.3853,TGFBR3,Heart Trabecula Formation (GO:0060347)
46,GO:0090037,positive regulation of protein kinase C signaling,GO:0090037,0.1479829,79.90323,317.3853,WNT5A,Positive Regulation Of Protein Kinase C Signaling (GO:0090037)
47,GO:1904948,midbrain dopaminergic neuron differentiation,GO:1904948,0.1479829,53.26344,196.4114,WNT5A,Midbrain Dopaminergic Neuron Differentiation (GO:1904948)
48,GO:0070383,DNA cytosine deamination,GO:0070383,0.1479829,79.90323,317.3853,APOBEC3G,DNA Cytosine Deamination (GO:0070383)
49,GO:0010742,macrophage derived foam cell differentiation,GO:0010742,0.1479829,53.26344,196.4114,WNT5A,Macrophage Derived Foam Cell Differentiation (GO:0010742)
50,GO:0060216,definitive hemopoiesis,GO:0060216,0.1479829,79.90323,317.3853,TGFBR3,Definitive Hemopoiesis (GO:0060216)
51,GO:0051454,intracellular pH elevation,GO:0051454,0.1479829,79.90323,317.3853,TMEM175,Intracellular pH Elevation (GO:0051454)
52,GO:0001702,gastrulation with mouth forming second,GO:0001702,0.1479829,79.90323,317.3853,LRP5,Gastrulation With Mouth Forming Second (GO:0001702)
53,GO:0046813,receptor-mediated virion attachment to host cell,GO:0046813,0.1479829,79.90323,317.3853,ICAM1,Receptor-Mediated Virion Attachment To Host Cell (GO:0046813)
54,GO:0071716,leukotriene transport,GO:0071716,0.1479829,53.26344,196.4114,ABCC2,Leukotriene Transport (GO:0071716)
55,GO:0002286,T cell activation involved in immune response,GO:0002286,0.1479829,53.26344,196.4114,ICAM1,T Cell Activation Involved In Immune Response (GO:0002286)
56,GO:0021983,pituitary gland development,GO:0021983,0.1479829,53.26344,196.4114,NR0B1,Pituitary Gland Development (GO:0021983)
57,GO:0016554,cytidine to uridine editing,GO:0016554,0.1479829,53.26344,196.4114,APOBEC3G,Cytidine To Uridine Editing (GO:0016554)
58,GO:0070306,lens fiber cell differentiation,GO:0070306,0.1479829,53.26344,196.4114,WNT5B,Lens Fiber Cell Differentiation (GO:0070306)
