term,fdr,Odds Ratio,Combined Score,Genes,description
IRS Activation,0.8331711,10.88107,23.60955,IRS2,IRS Activation
Inhibition of Replication Initiation of Damaged DNA by RB1 E2F1,0.8331711,10.88107,23.60955,PPP2CA,Inhibition of Replication Initiation of Damaged DNA by RB1 E2F1
Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs IMPs VICKZs) Bind RNA,0.8331711,10.88107,23.60955,IGF2BP3,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs IMPs VICKZs) Bind RNA
TICAM1-dependent Activation of IRF3 IRF7,0.8331711,10.88107,23.60955,IRF3,TICAM1-dependent Activation of IRF3 IRF7
Maple Syrup Urine Disease,0.8331711,10.88107,23.60955,BCKDHB,Maple Syrup Urine Disease
Metal Sequestration by Antimicrobial Proteins,0.8331711,10.88107,23.60955,LCN2,Metal Sequestration by Antimicrobial Proteins
RHOB GTPase Cycle,0.8331711,2.659624,5.728364,MCF2L;ARHGEF3;ARHGAP5,RHOB GTPase Cycle
Peroxisomal Lipid Metabolism,0.8331711,3.636925,7.751731,HACL1;SLC27A2,Peroxisomal Lipid Metabolism
Formation of TC-NER Pre-Incision Complex,0.8331711,3.636925,7.751731,PPIE;PRPF19,Formation of TC-NER Pre-Incision Complex
TRAF6 Mediated NF-kB Activation,0.8331711,3.636925,7.751731,SAA1;S100A12,TRAF6 Mediated NF-kB Activation
Toll Like Receptor 4 (TLR4) Cascade,0.8331711,1.982082,4.167871,PPP2CA;IRF3;SAA1;S100A12;BIRC2,Toll Like Receptor 4 (TLR4) Cascade
Apoptotic Execution Phase,0.8331711,2.589233,5.434463,HMGB2;PKP1;BIRC2,Apoptotic Execution Phase
Intracellular Signaling by Second Messengers,0.8331711,1.661426,3.441279,PPP2CA;NBEA;AKT1S1;PIP5K1B;IRS2;RBBP7;FOXO1;TNRC6B,Intracellular Signaling by Second Messengers
Negative Regulators of DDX58 IFIH1 Signaling,0.8331711,3.444976,7.063298,IRF3;PIN1,Negative Regulators of DDX58 IFIH1 Signaling
Oxidative Stress Induced Senescence,0.8331711,3.444976,7.063298,RBBP7;TNRC6B,Oxidative Stress Induced Senescence
RHOQ GTPase Cycle,0.8331711,2.522452,5.160318,CDC42EP3;ARHGAP5;RHOQ,RHOQ GTPase Cycle
Cell-cell Junction Organization,0.8331711,2.45901,4.904221,AFDN;CDH24;TNRC6B,Cell-cell Junction Organization
AKT Phosphorylates Targets in the Nucleus,0.8331711,8.159548,16.00398,FOXO1,AKT Phosphorylates Targets in the Nucleus
Nucleosome Assembly,0.8331711,8.159548,16.00398,RBBP7,Nucleosome Assembly
PI5P Regulates TP53 Acetylation,0.8331711,8.159548,16.00398,PIN1,PI5P Regulates TP53 Acetylation
PP2A-mediated Dephosphorylation of Key Metabolic Factors,0.8331711,8.159548,16.00398,PPP2CA,PP2A-mediated Dephosphorylation of Key Metabolic Factors
Branched-chain Ketoacid Dehydrogenase Kinase Deficiency,0.8331711,8.159548,16.00398,BCKDHB,Branched-chain Ketoacid Dehydrogenase Kinase Deficiency
Phosphate Bond Hydrolysis by NUDT Proteins,0.8331711,8.159548,16.00398,NUDT18,Phosphate Bond Hydrolysis by NUDT Proteins
Caspase Activation via Dependence Receptors in the Absence of Ligand,0.8331711,8.159548,16.00398,DAPK3,Caspase Activation via Dependence Receptors in the Absence of Ligand
Deposition of New CENPA-containing Nucleosomes at the Centromere,0.8331711,8.159548,16.00398,RBBP7,Deposition of New CENPA-containing Nucleosomes at the Centromere
Regulation of NPAS4 Gene Expression,0.8331711,8.159548,16.00398,TNRC6B,Regulation of NPAS4 Gene Expression
Regulation of NPAS4 mRNA Translation,0.8331711,8.159548,16.00398,TNRC6B,Regulation of NPAS4 mRNA Translation
E2F Mediated Regulation of DNA Replication,0.8331711,8.159548,16.00398,PPP2CA,E2F Mediated Regulation of DNA Replication
Regulation of Gene Expression in Beta Cells,0.8331711,8.159548,16.00398,FOXO1,Regulation of Gene Expression in Beta Cells
Release of Hh-Np From the Secreting Cell,0.8331711,8.159548,16.00398,GPC5,Release of Hh-Np From the Secreting Cell
Erythropoietin Activates STAT5,0.8331711,8.159548,16.00398,IRS2,Erythropoietin Activates STAT5
Ficolins Bind to Repetitive Carbohydrate Structures on the Target Cell Surface,0.8331711,8.159548,16.00398,FCN2,Ficolins Bind to Repetitive Carbohydrate Structures on the Target Cell Surface
GDP-fucose Biosynthesis,0.8331711,8.159548,16.00398,FCSK,GDP-fucose Biosynthesis
Synthesis of Bile Acids and Bile Salts via 7Alpha-Hydroxycholesterol,0.8331711,8.159548,16.00398,SLC27A2,Synthesis of Bile Acids and Bile Salts via 7Alpha-Hydroxycholesterol
WNT Mediated Activation of DVL,0.8331711,8.159548,16.00398,PIP5K1B,WNT Mediated Activation of DVL
NRAGE Signals Death Through JNK,0.8331711,3.115921,5.926139,MCF2L;ARHGEF3,NRAGE Signals Death Through JNK
Assembly and Cell Surface Presentation of NMDA Receptors,0.8331711,3.115921,5.926139,NBEA;DLG4,Assembly and Cell Surface Presentation of NMDA Receptors
Kinesins,0.8331711,3.115921,5.926139,KIF3B;KIF1B,Kinesins
