,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
20,GO:0019852,L-ascorbic acid metabolic process,GO:0019852,0.147658,67.48299,264.3107,RGN,L-ascorbic Acid Metabolic Process (GO:0019852)
21,GO:2001223,negative regulation of neuron migration,GO:2001223,0.147658,inf,inf,COL3A1,Negative Regulation Of Neuron Migration (GO:2001223)
22,GO:0046629,gamma-delta T cell activation,GO:0046629,0.147658,67.48299,264.3107,MICB,Gamma-Delta T Cell Activation (GO:0046629)
23,GO:0072376,protein activation cascade,GO:0072376,0.147658,40.48163,142.3391,F13A1,Protein Activation Cascade (GO:0072376)
24,GO:0050982,detection of mechanical stimulus,GO:0050982,0.147658,33.73129,113.4869,PIEZO1,Detection Of Mechanical Stimulus (GO:0050982)
25,GO:0050848,regulation of calcium-mediated signaling,GO:0050848,0.147658,33.73129,113.4869,RGN,Regulation Of Calcium-Mediated Signaling (GO:0050848)
26,GO:0031054,pre-miRNA processing,GO:0031054,0.147658,25.29337,78.86526,TUT7,pre-miRNA Processing (GO:0031054)
27,GO:0034122,negative regulation of toll-like receptor signaling pathway,GO:0034122,0.147658,28.90962,93.47515,SMPDL3B,Negative Regulation Of Toll-Like Receptor Signaling Pathway (GO:0034122)
28,GO:0043632,modification-dependent macromolecule catabolic process,GO:0043632,0.147658,40.48163,142.3391,TUT7,Modification-Dependent Macromolecule Catabolic Process (GO:0043632)
29,GO:1902947,regulation of tau-protein kinase activity,GO:1902947,0.147658,28.90962,93.47515,DKK1,Regulation Of Tau-Protein Kinase Activity (GO:1902947)
30,GO:0150146,cell junction disassembly,GO:0150146,0.147658,inf,inf,DKK1,Cell Junction Disassembly (GO:0150146)
31,GO:0002683,negative regulation of immune system process,GO:0002683,0.147658,21.7193,115.6581,COL3A1;SMPDL3B,Negative Regulation Of Immune System Process (GO:0002683)
32,GO:1900424,regulation of defense response to bacterium,GO:1900424,0.147658,67.48299,264.3107,EMILIN2,Regulation Of Defense Response To Bacterium (GO:1900424)
33,GO:0006000,fructose metabolic process,GO:0006000,0.147658,50.60714,187.0446,ALDOB,Fructose Metabolic Process (GO:0006000)
34,GO:0033625,positive regulation of integrin activation,GO:0033625,0.147658,50.60714,187.0446,PIEZO1,Positive Regulation Of Integrin Activation (GO:0033625)
35,GO:0046394,carboxylic acid biosynthetic process,GO:0046394,0.147658,33.73129,113.4869,RGN,Carboxylic Acid Biosynthetic Process (GO:0046394)
36,GO:0010901,regulation of very-low-density lipoprotein particle remodeling,GO:0010901,0.147658,202.4898,932.4527,APOC3,Regulation Of Very-Low-Density Lipoprotein Particle Remodeling (GO:0010901)
37,GO:0046466,membrane lipid catabolic process,GO:0046466,0.147658,33.73129,113.4869,SMPDL3B,Membrane Lipid Catabolic Process (GO:0046466)
38,GO:1905684,regulation of plasma membrane repair,GO:1905684,0.147658,50.60714,187.0446,SYTL4,Regulation Of Plasma Membrane Repair (GO:1905684)
39,GO:0051004,regulation of lipoprotein lipase activity,GO:0051004,0.147658,28.90962,93.47515,APOC3,Regulation Of Lipoprotein Lipase Activity (GO:0051004)
