term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0051291,0.8162256,2.093118,3.166265,NUDT21;CPSF7;MAT2A;FARSA;HSD17B8;PKD1;FARSB,Protein Heterooligomerization (GO:0051291)
GO:1903894,0.8162256,2.093118,3.166265,PTPN1;UFL1;COPS5;HSPA5;DDRGK1;TMEM33;BAX,Regulation of IRE1-mediated Unfolded Protein Response (GO:1903894)
GO:0046850,0.8162256,2.093118,3.166265,CSF1R;SFRP1;SRC;ITGB3;LEP;SUCO;SLC4A2,Regulation of Bone Remodeling (GO:0046850)
GO:0051966,0.8162256,2.093118,3.166265,FXR1;NLGN1;NLGN2;RELN;OPHN1;NRXN1;PTK2B,"Regulation of Synaptic Transmission, Glutamatergic (GO:0051966)"
GO:0070723,0.8162256,2.093118,3.166265,SMAD2;TGFB1;PMVK;MLC1;GPLD1;LRP6;CES1,Response to Cholesterol (GO:0070723)
GO:0006814,0.8162256,2.093118,3.166265,NDUFA9;SLC12A2;SLC8A3;SLC6A6;ATP1B3;ATP1B1;SLC6A4,Sodium Ion Transport (GO:0006814)
GO:0090100,0.8162256,1.346537,2.02006,SMAD2;GDF11;BMP10;TGFB2;HSP90AB1;NOTCH1;TGFB1;NUMA1;TGFB1I1;GDF2;INHBA;THBS1;BMP7;BMP5;TGFBR3;CDH5;PPP3CA;SDCBP;TWSG1;DAB2;GIPC1;CSNK2B;UBE2O;JAK2,+ Reg of Transmembrane Receptor Prot Serine/Threonine Kinase Sgnlng Pway (GO:0090100)
GO:0046033,0.8162256,3.587419,5.374858,NT5E;AK3;AMPD2;ADSS2,AMP Metabolic Process (GO:0046033)
GO:0001782,0.8162256,3.587419,5.374858,DOCK10;LYN;DOCK11;NCKAP1L,B Cell Homeostasis (GO:0001782)
GO:0019724,0.8162256,3.587419,5.374858,CD74;IGLL5;FCER1G;SLA2,B Cell Mediated Immunity (GO:0019724)
GO:0048205,0.8162256,3.587419,5.374858,TMED9;TMED10;PTGES2;TMED2,COPI Coating of Golgi Vesicle (GO:0048205)
GO:0035964,0.8162256,3.587419,5.374858,TMED9;TMED10;PTGES2;TMED2,COPI-coated Vesicle Budding (GO:0035964)
GO:0048200,0.8162256,3.587419,5.374858,TMED9;TMED10;PTGES2;TMED2,Golgi Transport Vesicle Coating (GO:0048200)
GO:0170033,0.8162256,3.587419,5.374858,SHMT2;SHMT1;P4HB;ASS1,L-amino Acid Metabolic Process (GO:0170033)
GO:0006551,0.8162256,3.587419,5.374858,MCCC2;HMGCL;IVD;MCCC1,L-leucine Metabolic Process (GO:0006551)
GO:0071267,0.8162256,3.587419,5.374858,BHMT;MTAP;MRI1;ENOPH1,L-methionine Salvage (GO:0071267)
